item_id,premise,hypothesis,gold_label
ps_en_000043,"Sam believes that if Abigail finishes her presentation early, her colleague will treat her to lunch.",Abigail has a colleague.,E
ps_en_000044,"Is it true that if Abigail finishes her presentation early, her colleague will treat her to lunch?",Abigail has a colleague.,E
ps_en_000045,"If Elizabeth finishes her presentation early, her colleagues will take her out for celebratory drinks.",Elizabeth has colleagues.,E
ps_en_000046,"It's not the case that if Elizabeth finishes her presentation early, her colleagues will take her out for celebratory drinks.",Elizabeth has colleagues.,E
ps_en_000047,"Sam believes that if Elizabeth finishes her presentation early, her colleagues will take her out for celebratory drinks.",Elizabeth has colleagues.,E
ps_en_000048,"Is it true that if Elizabeth finishes her presentation early, her colleagues will take her out for celebratory drinks?",Elizabeth has colleagues.,E
ps_en_000049,"If Zoey finishes his meeting early, his colleague will drive him to the client's office.",Zoey has a colleague.,E
ps_en_000050,"It's not the case that if Zoey finishes his meeting early, his colleague will drive him to the client's office.",Zoey has a colleague.,E
ps_en_000051,"Sam believes that if Zoey finishes his meeting early, his colleague will drive him to the client's office.",Zoey has a colleague.,E
ps_en_000052,"Is it true that if Zoey finishes his meeting early, his colleague will drive him to the client's office?",Zoey has a colleague.,E
ps_en_000053,"If Kimberly finishes work early, his friend will drive him to the concert.",Kimberly has a friend.,E
ps_en_000054,"It's not the case that if Kimberly finishes work early, his friend will drive him to the concert.",Kimberly has a friend.,E
ps_en_000055,"Sam believes that if Kimberly finishes work early, his friend will drive him to the concert.",Kimberly has a friend.,E
ps_en_000056,"Is it true that if Kimberly finishes work early, his friend will drive him to the concert?",Kimberly has a friend.,E
ps_en_000057,"If Ashley decides to study abroad, her parents will help her with the application process.",Ashley has parents.,E
ps_en_000058,"It's not the case that if Ashley decides to study abroad, her parents will help her with the application process.",Ashley has parents.,E
ps_en_000059,"Sam believes that if Ashley decides to study abroad, her parents will help her with the application process.",Ashley has parents.,E
ps_en_000060,"Is it true that if Ashley decides to study abroad, her parents will help her with the application process?",Ashley has parents.,E
ps_en_000061,"If David attends the conference, his colleague will meet him at the hotel.",David has a colleague.,E
ps_en_000062,"It's not the case that if David attends the conference, his colleague will meet him at the hotel.",David has a colleague.,E
ps_en_000063,"Sam believes that if David attends the conference, his colleague will meet him at the hotel.",David has a colleague.,E
ps_en_000064,"Is it true that if David attends the conference, his colleague will meet him at the hotel?",David has a colleague.,E
ps_en_000065,"If Avery decides to attend the conference, her colleague will accompany her during the networking event.",Avery has a colleague.,E
ps_en_000066,"It's not the case that if Avery decides to attend the conference, her colleague will accompany her during the networking event.",Avery has a colleague.,E
ps_en_000067,"Sam believes that if Avery decides to attend the conference, her colleague will accompany her during the networking event.",Avery has a colleague.,E
ps_en_000068,"Is it true that if Avery decides to attend the conference, her colleague will accompany her during the networking event?",Avery has a colleague.,E
ps_en_000069,"If Steven drives to the concert, his friend will meet him at the venue.",Steven has a friend.,E
ps_en_000070,"It's not the case that if Steven drives to the concert, his friend will meet him at the venue.",Steven has a friend.,E
ps_en_000071,"Sam believes that if Steven drives to the concert, his friend will meet him at the venue.",Steven has a friend.,E
ps_en_000072,"Is it true that if Steven drives to the concert, his friend will meet him at the venue?",Steven has a friend.,E
ps_en_000073,"If Barbara's car breaks down, her neighbor will give her a ride to work.",Barbara has a neighbor.,E
ps_en_000074,"It's not the case that if Barbara's car breaks down, her neighbor will give her a ride to work.",Barbara has a neighbor.,E
ps_en_000075,"Sam believes that if Barbara's car breaks down, her neighbor will give her a ride to work.",Barbara has a neighbor.,E
ps_en_000076,"Is it true that if Barbara's car breaks down, her neighbor will give her a ride to work?",Barbara has a neighbor.,E
ps_en_000077,"If Christopher arrives on time, his friend will be waiting for him at the train station.",Christopher has a friend.,E
ps_en_000078,"It's not the case that if Christopher arrives on time, his friend will be waiting for him at the train station.",Christopher has a friend.,E
ps_en_000079,"Sam believes that if Christopher arrives on time, his friend will be waiting for him at the train station.",Christopher has a friend.,E
ps_en_000080,"Is it true that if Christopher arrives on time, his friend will be waiting for him at the train station?",Christopher has a friend.,E
ps_en_000081,"If Margaret decides to attend the conference, her colleague will share a ride with her.",Margaret has a colleague.,E
ps_en_000082,"It's not the case that if Margaret decides to attend the conference, her colleague will share a ride with her.",Margaret has a colleague.,E
ps_en_000083,"Sam believes that if Margaret decides to attend the conference, her colleague will share a ride with her.",Margaret has a colleague.,E
ps_en_000084,"Is it true that if Margaret decides to attend the conference, her colleague will share a ride with her?",Margaret has a colleague.,E
ps_en_000085,"If Emma lands in New York, her friend will drive her to the hotel.",Emma has a friend.,E
ps_en_000086,"It's not the case that if Emma lands in New York, her friend will drive her to the hotel.",Emma has a friend.,E
ps_en_000087,"Sam believes that if Emma lands in New York, her friend will drive her to the hotel.",Emma has a friend.,E
ps_en_000088,"Is it true that if Emma lands in New York, her friend will drive her to the hotel?",Emma has a friend.,E
ps_en_000089,"If Mary attends the conference, her colleague will accompany her to the networking event.",Mary has a colleague.,E
ps_en_000090,"It's not the case that if Mary attends the conference, her colleague will accompany her to the networking event.",Mary has a colleague.,E
ps_en_000091,"Sam believes that if Mary attends the conference, her colleague will accompany her to the networking event.",Mary has a colleague.,E
ps_en_000092,"Is it true that if Mary attends the conference, her colleague will accompany her to the networking event?",Mary has a colleague.,E
ps_en_000093,"If Donna finishes her work early, her colleagues will treat her to lunch.",Donna has colleagues.,E
ps_en_000094,"It's not the case that if Donna finishes her work early, her colleagues will treat her to lunch.",Donna has colleagues.,E
ps_en_000095,"Sam believes that if Donna finishes her work early, her colleagues will treat her to lunch.",Donna has colleagues.,E
ps_en_000096,"Is it true that if Donna finishes her work early, her colleagues will treat her to lunch?",Donna has colleagues.,E
ps_en_000097,"If Betty's car breaks down, her friend will drive her to the concert.",Betty has a friend.,E
ps_en_000098,"It's not the case that if Betty's car breaks down, her friend will drive her to the concert.",Betty has a friend.,E
ps_en_000099,"Sam believes that if Betty's car breaks down, her friend will drive her to the concert.",Betty has a friend.,E
ps_en_000100,"Is it true that if Betty's car breaks down, her friend will drive her to the concert?",Betty has a friend.,E
ps_en_000101,"If Hannah finishes her work early, her colleagues will take her out for lunch.",Hannah has colleagues.,E
ps_en_000102,"It's not the case that if Hannah finishes her work early, her colleagues will take her out for lunch.",Hannah has colleagues.,E
ps_en_000103,"Sam believes that if Hannah finishes her work early, her colleagues will take her out for lunch.",Hannah has colleagues.,E
ps_en_000104,"Is it true that if Hannah finishes her work early, her colleagues will take her out for lunch?",Hannah has colleagues.,E
ps_en_000105,"If Paul travels to London, his best friend will meet him at the train station.",Paul has a best friend.,E
ps_en_000106,"It's not the case that if Paul travels to London, his best friend will meet him at the train station.",Paul has a best friend.,E
ps_en_000107,"Sam believes that if Paul travels to London, his best friend will meet him at the train station.",Paul has a best friend.,E
ps_en_000108,"Is it true that if Paul travels to London, his best friend will meet him at the train station?",Paul has a best friend.,E
ps_en_000109,"If Susan arrives early, her husband will be waiting for her at the train station.",Susan has a husband.,E
ps_en_000110,"It's not the case that if Susan arrives early, her husband will be waiting for her at the train station.",Susan has a husband.,E
ps_en_000111,"Sam believes that if Susan arrives early, her husband will be waiting for her at the train station.",Susan has a husband.,E
ps_en_000112,"Is it true that if Susan arrives early, her husband will be waiting for her at the train station?",Susan has a husband.,E
ps_en_000113,"If Charles arrives early, his friend will meet him at the train station.",Charles has a friend.,E
ps_en_000114,"It's not the case that if Charles arrives early, his friend will meet him at the train station.",Charles has a friend.,E
ps_en_000115,"Sam believes that if Charles arrives early, his friend will meet him at the train station.",Charles has a friend.,E
ps_en_000116,"Is it true that if Charles arrives early, his friend will meet him at the train station?",Charles has a friend.,E
ps_en_000117,"If Dorothy finishes his presentation early, his colleague will treat him to lunch.",Dorothy has a colleague.,E
ps_en_000118,"It's not the case that if Dorothy finishes his presentation early, his colleague will treat him to lunch.",Dorothy has a colleague.,E
ps_en_000119,"Sam believes that if Dorothy finishes his presentation early, his colleague will treat him to lunch.",Dorothy has a colleague.,E
ps_en_000120,"Is it true that if Dorothy finishes his presentation early, his colleague will treat him to lunch?",Dorothy has a colleague.,E
ps_en_000121,"If Victoria gets the job, her colleagues will throw her a surprise party.",Victoria has colleagues.,E
ps_en_000122,"It's not the case that if Victoria gets the job, her colleagues will throw her a surprise party.",Victoria has colleagues.,E
ps_en_000123,"Sam believes that if Victoria gets the job, her colleagues will throw her a surprise party.",Victoria has colleagues.,E
ps_en_000124,"Is it true that if Victoria gets the job, her colleagues will throw her a surprise party?",Victoria has colleagues.,E
ps_en_000125,"If Chloe finishes his work on time, his colleague will treat him to lunch.",Chloe has a colleague.,E
ps_en_000126,"It's not the case that if Chloe finishes his work on time, his colleague will treat him to lunch.",Chloe has a colleague.,E
ps_en_000127,"Sam believes that if Chloe finishes his work on time, his colleague will treat him to lunch.",Chloe has a colleague.,E
ps_en_000128,"Is it true that if Chloe finishes his work on time, his colleague will treat him to lunch?",Chloe has a colleague.,E
ps_en_000129,"If Dorothy graduates, her parents will throw her a big celebration party.",Dorothy has parents.,E
ps_en_000130,"It's not the case that if Dorothy graduates, her parents will throw her a big celebration party.",Dorothy has parents.,E
ps_en_000131,"Sam believes that if Dorothy graduates, her parents will throw her a big celebration party.",Dorothy has parents.,E
ps_en_000132,"Is it true that if Dorothy graduates, her parents will throw her a big celebration party?",Dorothy has parents.,E
ps_en_000133,"If Jessica's flight is delayed, her husband will wait for her at the airport.",Jessica has a husband.,E
ps_en_000134,"It's not the case that if Jessica's flight is delayed, her husband will wait for her at the airport.",Jessica has a husband.,E
ps_en_000135,"Sam believes that if Jessica's flight is delayed, her husband will wait for her at the airport.",Jessica has a husband.,E
ps_en_000136,"Is it true that if Jessica's flight is delayed, her husband will wait for her at the airport?",Jessica has a husband.,E
ps_en_000137,"If James's team wins the championship, the coach will treat them to a celebratory dinner.",James has a coach.,E
ps_en_000138,"It's not the case that if James's team wins the championship, the coach will treat them to a celebratory dinner.",James has a coach.,E
ps_en_000139,"Sam believes that if James's team wins the championship, the coach will treat them to a celebratory dinner.",James has a coach.,E
ps_en_000140,"Is it true that if James's team wins the championship, the coach will treat them to a celebratory dinner?",James has a coach.,E
ps_en_000141,"If Karen finishes his presentation early, his colleagues will take him out for lunch.",Karen has colleagues.,E
ps_en_000142,"It's not the case that if Karen finishes his presentation early, his colleagues will take him out for lunch.",Karen has colleagues.,E
ps_en_000143,"Sam believes that if Karen finishes his presentation early, his colleagues will take him out for lunch.",Karen has colleagues.,E
ps_en_000144,"Is it true that if Karen finishes his presentation early, his colleagues will take him out for lunch?",Karen has colleagues.,E
ps_en_000145,"If Zoey finishes her work early, her colleague will treat her to lunch.",Zoey has a colleague.,E
ps_en_000146,"It's not the case that if Zoey finishes her work early, her colleague will treat her to lunch.",Zoey has a colleague.,E
ps_en_000147,"Sam believes that if Zoey finishes her work early, her colleague will treat her to lunch.",Zoey has a colleague.,E
ps_en_000148,"Is it true that if Zoey finishes her work early, her colleague will treat her to lunch?",Zoey has a colleague.,E
ps_en_000149,"If Chloe's students complete their homework, their teacher will reward them with extra credit points.",Chloe has students.,E
ps_en_000150,"It's not the case that if Chloe's students complete their homework, their teacher will reward them with extra credit points.",Chloe has students.,E
ps_en_000151,"Sam believes that if Chloe's students complete their homework, their teacher will reward them with extra credit points.",Chloe has students.,E
ps_en_000152,"Is it true that if Chloe's students complete their homework, their teacher will reward them with extra credit points?",Chloe has students.,E
ps_en_000153,"If Chloe's flight lands on time, her brother will be waiting for her at the airport.",Chloe has a brother.,E
ps_en_000154,"It's not the case that if Chloe's flight lands on time, her brother will be waiting for her at the airport.",Chloe has a brother.,E
ps_en_000155,"Sam believes that if Chloe's flight lands on time, her brother will be waiting for her at the airport.",Chloe has a brother.,E
ps_en_000156,"Is it true that if Chloe's flight lands on time, her brother will be waiting for her at the airport?",Chloe has a brother.,E
ps_en_000157,"If Victoria finishes her project on time, her boss will give her a promotion.",Victoria has a boss.,E
ps_en_000158,"It's not the case that if Victoria finishes her project on time, her boss will give her a promotion.",Victoria has a boss.,E
ps_en_000159,"Sam believes that if Victoria finishes her project on time, her boss will give her a promotion.",Victoria has a boss.,E
ps_en_000160,"Is it true that if Victoria finishes her project on time, her boss will give her a promotion?",Victoria has a boss.,E
ps_en_000161,"If Ella decides to attend the concert, her best friend will drive her to the venue.",Ella has a best friend.,E
ps_en_000162,"It's not the case that if Ella decides to attend the concert, her best friend will drive her to the venue.",Ella has a best friend.,E
ps_en_000163,"Sam believes that if Ella decides to attend the concert, her best friend will drive her to the venue.",Ella has a best friend.,E
ps_en_000164,"Is it true that if Ella decides to attend the concert, her best friend will drive her to the venue?",Ella has a best friend.,E
ps_en_000165,"If Ella's students study hard, their teacher will praise them for their dedication.",Ella has students.,E
ps_en_000166,"It's not the case that if Ella's students study hard, their teacher will praise them for their dedication.",Ella has students.,E
ps_en_000167,"Sam believes that if Ella's students study hard, their teacher will praise them for their dedication.",Ella has students.,E
ps_en_000168,"Is it true that if Ella's students study hard, their teacher will praise them for their dedication?",Ella has students.,E
ps_en_000169,"If Jacob passes his driving test, his friends will throw him a surprise party.",Jacob has friends.,E
ps_en_000170,"It's not the case that if Jacob passes his driving test, his friends will throw him a surprise party.",Jacob has friends.,E
ps_en_000171,"Sam believes that if Jacob passes his driving test, his friends will throw him a surprise party.",Jacob has friends.,E
ps_en_000172,"Is it true that if Jacob passes his driving test, his friends will throw him a surprise party?",Jacob has friends.,E
ps_en_000173,"If Victoria travels to Paris, her friend will meet her at the train station.",Victoria has a friend.,E
ps_en_000174,"It's not the case that if Victoria travels to Paris, her friend will meet her at the train station.",Victoria has a friend.,E
ps_en_000175,"Sam believes that if Victoria travels to Paris, her friend will meet her at the train station.",Victoria has a friend.,E
ps_en_000176,"Is it true that if Victoria travels to Paris, her friend will meet her at the train station?",Victoria has a friend.,E
ps_en_000177,"If Donald's flight is delayed, his colleague will cover for him at the meeting.",Donald has a colleague.,E
ps_en_000178,"It's not the case that if Donald's flight is delayed, his colleague will cover for him at the meeting.",Donald has a colleague.,E
ps_en_000179,"Sam believes that if Donald's flight is delayed, his colleague will cover for him at the meeting.",Donald has a colleague.,E
ps_en_000180,"Is it true that if Donald's flight is delayed, his colleague will cover for him at the meeting?",Donald has a colleague.,E
ps_en_000181,"If Patricia finishes her exam early, her friend will wait for her outside the classroom.",Patricia has a friend.,E
ps_en_000182,"It's not the case that if Patricia finishes her exam early, her friend will wait for her outside the classroom.",Patricia has a friend.,E
ps_en_000183,"Sam believes that if Patricia finishes her exam early, her friend will wait for her outside the classroom.",Patricia has a friend.,E
ps_en_000184,"Is it true that if Patricia finishes her exam early, her friend will wait for her outside the classroom?",Patricia has a friend.,E
ps_en_000185,"If Robert's car breaks down, his friend will give him a ride to the concert.",Robert has a friend.,E
ps_en_000186,"It's not the case that if Robert's car breaks down, his friend will give him a ride to the concert.",Robert has a friend.,E
ps_en_000187,"Sam believes that if Robert's car breaks down, his friend will give him a ride to the concert.",Robert has a friend.,E
ps_en_000188,"Is it true that if Robert's car breaks down, his friend will give him a ride to the concert?",Robert has a friend.,E
ps_en_000189,"If Anthony takes the train to the city, his friend will meet him at the station.",Anthony has a friend.,E
ps_en_000190,"It's not the case that if Anthony takes the train to the city, his friend will meet him at the station.",Anthony has a friend.,E
ps_en_000191,"Sam believes that if Anthony takes the train to the city, his friend will meet him at the station.",Anthony has a friend.,E
ps_en_000192,"Is it true that if Anthony takes the train to the city, his friend will meet him at the station?",Anthony has a friend.,E
ps_en_000193,"If Emily finishes her work early, her friend will take her out for dinner.",Emily has a friend.,E
ps_en_000194,"It's not the case that if Emily finishes her work early, her friend will take her out for dinner.",Emily has a friend.,E
ps_en_000195,"Sam believes that if Emily finishes her work early, her friend will take her out for dinner.",Emily has a friend.,E
ps_en_000196,"Is it true that if Emily finishes her work early, her friend will take her out for dinner?",Emily has a friend.,E
ps_en_000197,"If Liam travels to Paris, his best friend will meet him at the train station.",Liam has a best friend.,E
ps_en_000198,"It's not the case that if Liam travels to Paris, his best friend will meet him at the train station.",Liam has a best friend.,E
ps_en_000199,"Sam believes that if Liam travels to Paris, his best friend will meet him at the train station.",Liam has a best friend.,E
ps_en_000200,"Is it true that if Liam travels to Paris, his best friend will meet him at the train station?",Liam has a best friend.,E
ps_en_000201,"If Jackson confirms his arrival time, his friend will pick him up at the train station.",Jackson has a friend.,E
ps_en_000202,"It's not the case that if Jackson confirms his arrival time, his friend will pick him up at the train station.",Jackson has a friend.,E
ps_en_000203,"Sam believes that if Jackson confirms his arrival time, his friend will pick him up at the train station.",Jackson has a friend.,E
ps_en_000204,"Is it true that if Jackson confirms his arrival time, his friend will pick him up at the train station?",Jackson has a friend.,E
ps_en_000205,"If Mason completes his work early, his colleague will take him out for lunch.",Mason has a colleague.,E
ps_en_000206,"It's not the case that if Mason completes his work early, his colleague will take him out for lunch.",Mason has a colleague.,E
ps_en_000207,"Sam believes that if Mason completes his work early, his colleague will take him out for lunch.",Mason has a colleague.,E
ps_en_000208,"Is it true that if Mason completes his work early, his colleague will take him out for lunch?",Mason has a colleague.,E
ps_en_000209,"If Andrew's flight is delayed, his friend will wait for him at the airport.",Andrew has a friend.,E
ps_en_000210,"It's not the case that if Andrew's flight is delayed, his friend will wait for him at the airport.",Andrew has a friend.,E
ps_en_000211,"Sam believes that if Andrew's flight is delayed, his friend will wait for him at the airport.",Andrew has a friend.,E
ps_en_000212,"Is it true that if Andrew's flight is delayed, his friend will wait for him at the airport?",Andrew has a friend.,E
ps_en_000213,"If Alexander's team wins the championship, their fans will celebrate in the streets.",Alexander has fans.,E
ps_en_000214,"It's not the case that if Alexander's team wins the championship, their fans will celebrate in the streets.",Alexander has fans.,E
ps_en_000215,"Sam believes that if Alexander's team wins the championship, their fans will celebrate in the streets.",Alexander has fans.,E
ps_en_000216,"Is it true that if Alexander's team wins the championship, their fans will celebrate in the streets?",Alexander has fans.,E
ps_en_000217,"If Mary takes the train to the city, her best friend will meet her at the station.",Mary has a best friend.,E
ps_en_000218,"It's not the case that if Mary takes the train to the city, her best friend will meet her at the station.",Mary has a best friend.,E
ps_en_000219,"Sam believes that if Mary takes the train to the city, her best friend will meet her at the station.",Mary has a best friend.,E
ps_en_000220,"Is it true that if Mary takes the train to the city, her best friend will meet her at the station?",Mary has a best friend.,E
ps_en_000221,"If Nathan arrives early, his colleagues will welcome him at the conference.",Nathan has colleagues.,E
ps_en_000222,"It's not the case that if Nathan arrives early, his colleagues will welcome him at the conference.",Nathan has colleagues.,E
ps_en_000223,"Sam believes that if Nathan arrives early, his colleagues will welcome him at the conference.",Nathan has colleagues.,E
ps_en_000224,"Is it true that if Nathan arrives early, his colleagues will welcome him at the conference?",Nathan has colleagues.,E
ps_en_000225,"If Harper attends the conference, her colleague will drive her to the hotel.",Harper has a colleague.,E
ps_en_000226,"It's not the case that if Harper attends the conference, her colleague will drive her to the hotel.",Harper has a colleague.,E
ps_en_000227,"Sam believes that if Harper attends the conference, her colleague will drive her to the hotel.",Harper has a colleague.,E
ps_en_000228,"Is it true that if Harper attends the conference, her colleague will drive her to the hotel?",Harper has a colleague.,E
ps_en_000229,"If Sebastian confirms the date and time, his friend will drive him to the concert.",Sebastian has a friend.,E
ps_en_000230,"It's not the case that if Sebastian confirms the date and time, his friend will drive him to the concert.",Sebastian has a friend.,E
ps_en_000231,"Sam believes that if Sebastian confirms the date and time, his friend will drive him to the concert.",Sebastian has a friend.,E
ps_en_000232,"Is it true that if Sebastian confirms the date and time, his friend will drive him to the concert?",Sebastian has a friend.,E
ps_en_000233,"If Susan needs a ride, her best friend will give her a lift to the concert.",Susan has a best friend.,E
ps_en_000234,"It's not the case that if Susan needs a ride, her best friend will give her a lift to the concert.",Susan has a best friend.,E
ps_en_000235,"Sam believes that if Susan needs a ride, her best friend will give her a lift to the concert.",Susan has a best friend.,E
ps_en_000236,"Is it true that if Susan needs a ride, her best friend will give her a lift to the concert?",Susan has a best friend.,E
ps_en_000237,"If Chloe's flight is delayed, her brother will wait for her at the airport.",Chloe has a brother.,E
ps_en_000238,"It's not the case that if Chloe's flight is delayed, her brother will wait for her at the airport.",Chloe has a brother.,E
ps_en_000239,"Sam believes that if Chloe's flight is delayed, her brother will wait for her at the airport.",Chloe has a brother.,E
ps_en_000240,"Is it true that if Chloe's flight is delayed, her brother will wait for her at the airport?",Chloe has a brother.,E
ps_en_000241,"If Owen attends the conference, his colleague will drive him to the hotel.",Owen has a colleague.,E
ps_en_000242,"It's not the case that if Owen attends the conference, his colleague will drive him to the hotel.",Owen has a colleague.,E
ps_en_000243,"Sam believes that if Owen attends the conference, his colleague will drive him to the hotel.",Owen has a colleague.,E
ps_en_000244,"Is it true that if Owen attends the conference, his colleague will drive him to the hotel?",Owen has a colleague.,E
ps_en_000245,"If Emily finishes her work early, her colleague will join her for lunch.",Emily has a colleague.,E
ps_en_000246,"It's not the case that if Emily finishes her work early, her colleague will join her for lunch.",Emily has a colleague.,E
ps_en_000247,"Sam believes that if Emily finishes her work early, her colleague will join her for lunch.",Emily has a colleague.,E
ps_en_000248,"Is it true that if Emily finishes her work early, her colleague will join her for lunch?",Emily has a colleague.,E
ps_en_000249,"If Elizabeth finishes work early, his friend will give him a ride home.",Elizabeth has a friend.,E
ps_en_000250,"It's not the case that if Elizabeth finishes work early, his friend will give him a ride home.",Elizabeth has a friend.,E
ps_en_000251,"Sam believes that if Elizabeth finishes work early, his friend will give him a ride home.",Elizabeth has a friend.,E
ps_en_000252,"Is it true that if Elizabeth finishes work early, his friend will give him a ride home?",Elizabeth has a friend.,E
ps_en_000253,"If Caleb agrees to attend the conference, his colleague will drive him to the venue.",Caleb has a colleague.,E
ps_en_000254,"It's not the case that if Caleb agrees to attend the conference, his colleague will drive him to the venue.",Caleb has a colleague.,E
ps_en_000255,"Sam believes that if Caleb agrees to attend the conference, his colleague will drive him to the venue.",Caleb has a colleague.,E
ps_en_000256,"Is it true that if Caleb agrees to attend the conference, his colleague will drive him to the venue?",Caleb has a colleague.,E
ps_en_000257,"If Isaac travels to Paris, his best friend will show him around the city.",Isaac has a best friend.,E
ps_en_000258,"It's not the case that if Isaac travels to Paris, his best friend will show him around the city.",Isaac has a best friend.,E
ps_en_000259,"Sam believes that if Isaac travels to Paris, his best friend will show him around the city.",Isaac has a best friend.,E
ps_en_000260,"Is it true that if Isaac travels to Paris, his best friend will show him around the city?",Isaac has a best friend.,E
ps_en_000261,"If Henry drives to the concert, his best friend will meet him at the venue.",Henry has a best friend.,E
ps_en_000262,"It's not the case that if Henry drives to the concert, his best friend will meet him at the venue.",Henry has a best friend.,E
ps_en_000263,"Sam believes that if Henry drives to the concert, his best friend will meet him at the venue.",Henry has a best friend.,E
ps_en_000264,"Is it true that if Henry drives to the concert, his best friend will meet him at the venue?",Henry has a best friend.,E
ps_en_000265,"If Margaret's car breaks down, her brother will give her a ride to work.",Margaret has a brother.,E
ps_en_000266,"It's not the case that if Margaret's car breaks down, her brother will give her a ride to work.",Margaret has a brother.,E
ps_en_000267,"Sam believes that if Margaret's car breaks down, her brother will give her a ride to work.",Margaret has a brother.,E
ps_en_000268,"Is it true that if Margaret's car breaks down, her brother will give her a ride to work?",Margaret has a brother.,E
ps_en_000269,"If Nathan drives to the concert, his friend will meet him at the venue.",Nathan has a friend.,E
ps_en_000270,"It's not the case that if Nathan drives to the concert, his friend will meet him at the venue.",Nathan has a friend.,E
ps_en_000271,"Sam believes that if Nathan drives to the concert, his friend will meet him at the venue.",Nathan has a friend.,E
