sample_id,sentence_id,sentence
1,73,Russian peacemaker Alexander Lebed and Chechen separatist military leader Aslan Maskhadov started a new round of peace talks on Friday in this settlement just outside the rebel region .
1,74,"Algerian newspapers quoted the Human Rights National Observatory ( ONDH ) , a government-appointed watchdog , as saying earlier in August that about 1,400 civilians had been killed in bomb attacks blamed on Moslem guerrillas in the past two years ."
1,75,The Dole campaign released a letter Friday inviting their Clinton counterparts to meet with Dole campaign manager Scott Reed to discuss particulars of the televised debates .
1,76,""" I would like to thank the Eagles organisation and the wonderful fans of Philadelphia for supporting me throughout my career , "" Cunningham said ."
1,77,"In the conference call , Frater said he regarded Cofinec GDRs -- which are trading below their issue price of 6,425 forints -- as a buying opportunity ."
1,78,1. Mark Crear ( U.S. ) 13.26 seconds
1,79,Telgheder ( 2-5 ) snapped a personal three-game losing streak .
1,80,BRUSSELS 1996-08-31
1,81,"Our mission in Chechnya has done all it can within the given limitations . """
1,82,bank said .
1,83,""" The main subject ( of the talks ) was the search for a peaceful solution for Nagorno-Karabakh , "" the source said ."
1,84,The dollar slipped to 108.40 yen from 108.45 .
1,85,"But the radio report did not specify what guarantees , if any , the U.S. envoy had provided ."
1,86,"1993 - Six former Soviet republics , Russia , Belarus , Kazakhstan , Uzbekistan , Armenia and Tajikistan , signed framework agreement to keep the Russian rouble as their common currency ."
1,87,"Orders for durable goods , meant to last three years or more , rose a revised 1.7 percent in July after falling 0.2 percent in June ."
1,88,""" The war has ended if everything works out , if there is law there will be power ."
1,89,Baseball-Results of S. Korean pro-baseball games .
1,90,Brazil ( half-time 0-1 ) in a soccer friendly on Saturday .
1,91,"The fifth set stayed on serve until the sixth game , when Washington , after saving one break point with a forehand winner down the line , netted a backhand to give O'Brien a 4-2 lead ."
1,92,""" In the early innings , I was struggling , I was just trying to make it from pitch to pitch ."
1,93,"Attendance : 18,000"
1,94,September gasoline stood 0.87 cent lower at 62.85 cents a gallon .
1,95,JOHANNESBURG 1996-08-31
1,96,"Caltex Petroleum Corp plans to build a lubricants blender in a bonded zone in Tianjin , the newspaper said ."
1,97,"Singapore dealers said they were concerned that there had been a marked revival in offers to sell gold by South Korean traders , following the distress sales of recent months after the Seoul government 's crackdown on bullion arbitrage trade ."
1,98,OTTAWA 1996-08-30
1,99,"10. Paul Lawrie 211,420"
1,100,"The terrain is mountainous , the only roads are dirt tracks ."
2,1,TORONTO 63 71 .470 11 1/2
2,2,Maggie McNeil
2,3,"I 'm in a good position . """
2,4,"The Carl Vinson leads a battle group that includes seven other ships , and there are nine other U.S. ships in the Gulf for a total of 20 ."
2,5,"ESCHEN , Liechtenstein 1996-08-31"
2,6,""" The economy is not going to be expanding at the 4.8 percent ( annual ) rate that we had in the second quarter but it is likely to keep expanding in the 3 percent range , "" she said , above the 2 percent to 2-1/4 percent that the Fed considers to be non-inflationary ."
2,7,5. Marko Koers ( Netherlands ) 3:53.47
2,8,"Note - Lotte and Hyundai , Haitai and Samsung played two games ."
2,9,Spitzbergen lies some 500 miles ( 800 km ) off the northern tip of Norway and endures one of the most extreme climates on the planet .
2,10,New Zealand win test series 2-1 .
2,11,SOCCER - ENGLAND BEAT MOLDOVA IN UNDER-21 QUALIFIER .
2,12,"What kind of peace is this that prevents us from reaching our holy places ? """
2,13,"2011 110,000"
2,14,BALTIMORE 70 63 .526 4
2,15,"Comelf 's six-month output rose to 4,378 tonnes of equipment from 2,684 tonnes in the equivalent period in 1995 , the company report to the Bucharest stock exchange showed ."
2,16,"1. Donovan Bailey ( Canada ) , Michael Johnson ( U.S. ) , Frankie"
2,17,"1997 50,000"
2,18,Attendance : 300
2,19,ISSUE : Bldg auth ( law enforcement ctr ) Series 1996-A TAX STAT : Exempt-REV
2,20,""" The war has ended if everything works out , if there is law there will be power ."
2,21,"I dread to think what will happen to the premiums if the Koreans start selling in force , "" one dealer said ."
2,22,"The government of Canada 's cash balances fell in the week that ended August 28 , the Bank of Canada said on Friday ."
2,23,"Essex , however , look certain to regain their top spot after Nasser Hussain and Peter Such gave them a firm grip on their match against Yorkshire at Headingley ."
2,24,1. Felicia Ballanger ( France ) 34.829
2,25,Iran agents stormed German diplomat 's home -- Bonn .
2,26,"Henke , who called his round a "" pleasant surprise , "" finished with six birdies on the final eight holes ."
2,27,PHILADELPHIA 54 81 .400 30 1/2
2,28,They were given shelter in the town 's church overnight and ate a sombre breakfast before getting on a bus for the airport .
2,29,But the night belonged to the upstarts .
2,30,"Chesterfield : Worcestershire 238 and 133-5 , Derbyshire 471 ( J. Adams 123 , T.O'Gorman 109 not out , K. Barnett 87 ; T. Moody 6-82 )"
2,31,"Net loss 1,071 loss 277"
2,32,Government officials were not available to comment .
2,33,Roger Pavlik ( 15-7 ) gave up three runs and seven hits in 6 1/3 innings and became the fourth 15-game winner in the American League .
2,34,5. Falk Balzer ( Germany ) 13.52
2,35,"Men 's singles , second round"
2,36,BERLIN 1996-08-30
2,37,U.S. physicist who discovered the two zones of radiation encircling the earth to which he gave his name .
2,38,"Lentini , 27 , joined Milan from Torino in a $ 12 million deal that many have speculated involved far more money changing hands and which has subsequently been investigated by magistrates for alleged financial irregularities ."
2,39,1. Stefka Kostadinova ( Bulgaria ) 2.03
2,40,"One of the assumptions is his interpretation of the murky circumstances surrounding the shooting death of Collins , who had broken with his comrades when he sought a negotiated settlement with Britain , in an ambush in 1922 ."
2,41,Shearer 's Euro 96 striking partner Teddy Sheringham withdrew from the squad with an injury on Friday .
2,42,"Equipment problems and mechanical failure forced a recovery expedition to give up efforts to retrieve a giant slab of the RMS Titanic from the ocean floor , a spokeswoman said on Friday ."
2,43,9-177 .
2,44,""" My game feels very good ."
2,45,St Mirren 3 1 1 1 5 4 4
2,46,""" I think that , on balance , it is looking a little bit on the strong side , "" Lindsey said ."
2,47,Boroughmuir 20 Hawick 23
2,48,LG 2 OB 0
2,49,Most of the Marines are on three ships in the Tarawa Amphibious Readiness Group .
2,50,"The list was being studied for possible links to previous child kidnappings and prostitution , a prosecutors ' spokesman said ."
2,51,""" In July , average weekly hours and average hourly earnings declined , more than offsetting the effect of an increase in employment , "" Commerce said ."
2,52,"Warwickshire 195 and 109 ( J. Benjamin 4-17 , M. Bicknell 4-38 ) , Surrey 468 ( C. Lewis 94 , M. Butcher 70 , G. Kersey 63 , J. Ratcliffe 63 , D. Bicknell 55 ) ."
2,53,Montrose 3 1 0 2 3 4 3
2,54,""" That 's it , the war is over , "" Lebed told reporters who witnessed the signing ."
2,55,""" Bolesy ( Florida manager John Boles ) told me yesterday , ' You have to go nine tomorrow , ' "" Brown said ."
2,56,"Belgium - 1 - Filip De Wilde , 2 - Bertrand Crasson , 3 - Dirk Medved , 4 - Pascal Renier , 16 - Geoffrey Claeys , 6 - Gunther Schepens ( 15 - Nico Van Kerckhoven , 81st ) , 10 - Enzo Scifo , 7 - Gert Verheyen ( 14 - Frederic Peiremans , 62nd ) , 9 - Marc Degryse , 8 - Luc Nilis , 11- Luis Oliveira ( 18 - Gilles De Bilde , 88th ) ."
2,57,"10. Gil de Ferran ( Brazil ) , Reynard Honda , 54.774"
2,58,""" He was standing right there and knew the shot was down so I called him a cheat , "" said Hill , whose squash career has been blighted by fines and suspensions for unacceptable behaviour ."
2,59,Shr loss $ 0.22 loss $ 0.07
2,60,"May 24 Second one-day international ( at The Oval ,"
2,61,His aides said Arafat would hold the weekly meeting of the Palestinian self-rule Authority 's cabinet in Nablus on Saturday .
2,62,Two missing Belgian teenagers found unharmed .
2,63,DUBLIN 1996-08-31
2,64,Blackpool 0 Wycombe 0
2,65,8. Rasa Mazeikyte ( Lithuania ) 3:46.834
2,66,W D L PCT GB
2,67,Benin won 4-1 on aggregate .
2,68,Belgium 's best second-half effort came three minutes later when Degryse put the ball over the bar from close range with Recber beaten .
2,69,"Best known for appearances in "" Ice Cold in Alex "" , "" Lawrence of Arabia "" and , as Cardinal Wolsey , in "" Anne of a Thousand Days "" ."
2,70,ATLANTA 84 50 .627 -
2,71,Tranmere 4 2 1 1 6 4 7
2,72,At Chesterfield : Derbyshire beat Worcestershire by nine wickets .
2,73,"Four years later , after winning his third world crown , he announced his retirement ."
2,74,2. Lance Armstrong ( U.S. ) Motorola 2 seconds behind
2,75,"The dead were all Russians and Ukrainians , coming to work in the mining towns of Barentsburg and Pyramiden ."
2,76,Bradford 1 Tranmere 0
2,77,Results of South Korean pro-soccer
2,78,PRESS DIGEST - Tunisia - Aug 31 .
2,79,Austria and Scotland drew 0-0 in a World Cup soccer European group four qualifier on Saturday .
2,80,"It should give Magna the critical mass to be a bigger player in that market . """
2,81,Some who have been released have recounted torture methods like sleep and food deprivation and physical abuse .
2,82,62 Nolan Henke
2,83,Wolverhampton 4 2 1 1 5 3 7
2,84,Lithuania - Danius Gleveckas ( 13rd )
2,85,""" It appears that August is showing an economy again reversing course and is not moving onto a significantly slower track at this point , "" said economist Lynn Reaser of Barnett Banks Inc. in Jacksonville , Fla ."
2,86,"NYMEX refined product prices lingered at session lows amid slim volume before the close while crude experienced lackluster buying ahead of the U.S. Labor Day weekend , traders said ."
2,87,DUE : 11/1/96-11 SR MGR :
2,88,"1996 45,000"
2,89,Fifth place :
2,90,NOTE - Jeans Mate Corp is the full company name .
2,91,"I think I played very well tonight , very focused . """
2,92,""" When our people are tried , they are tried in a very secretive way ."
2,93,CRICKET - ESSEX AND KENT MADE TO SWEAT IN TITLE RACE .
2,94,"Around 2,000 of Indonesia 's controversial Timor national car made by Kia Motor Corp of South Korea arrived at Jakarta 's Tanjung Priok port on Thursday ."
2,95,I was disappointed when a 12-footer did n't go in .
2,96,It gave no details of their talks .
2,97,"L.O. : Bodman , Longely & Dahling , Detroit"
2,98,July 9 v Minor Counties XI
2,99,"The September Treasury bond future on the Chicago Board of Trade was trading at 107-11/32 , down 26/32 from Thursday 's settlement price ."
2,100,SOCCER - U.S. BEAT EL SALVADOR 3-1 .
3,1,It welcomed the international criticism of Israel 's settlement policies but called for practical steps to force the Israeli government to abandon this policy .
3,2,A.de Silva not out 83
3,3,"Between late June and July , a total of 192 people were poisoned by the toxic liquor , and 35 of them died and six were left severely handicapped , it said ."
3,4,metres ) at The Curragh on Saturday :
3,5,Republic ) 6-0 7-6 ( 7-5 ) 6-2
3,6,"But I think he served pretty well when he had to . """
3,7,Conversions : Andrew Mehrtens ( 2 ) .
3,8,Earlier this month he also beat world champion Bailey in Zurich .
3,9,"Cotti said Chechnya must remain part of Russia , but the solution to the conflict would be to accord the region maximum autonomy within Russia 's borders ."
3,10,TENNIS - DRAW FOR 1997 FED CUP WOMEN 'S TEAM TOURNAMENT .
3,11,W L PCT GB
3,12,Division three
3,13,"Lukashenko 's aides shrugged off Sharetsky 's charge . """
3,14,Haitai 2 Samsung 0
3,15,He settled for a birdie and a four-under opening round that left him five shots off the pace .
3,16,5. Natalia Karimova ( Russia ) 3:45.061
3,17,7. Luca Pavanello ( Italy ) Aki 11
3,18,But the night belonged to the upstarts .
3,19,In 1994 he served two months for shooting a thief in the backside .
3,20,"Mark Brooks , Tom Lehman and Mark O'Meara , who make up the rest of the top four on the money list , also took the week off ."
3,21,England face Moldova in a World Cup qualifier in the same stadium on Sunday .
3,22,D. Gough run out 0
3,23,PHILADELPHIA 54 80 .403 30
3,24,The Australian had upset Jansher 's rhythm with his mixture of gamesmanship and fluent stroke-making but eventually succumbed 15-7 17-15 14-15 15-8 .
3,25,Men 's pole vault
3,26,"Poland 's Foreign Minister Dariusz Rosati will visit Yugoslavia on September 3 and 4 to revive a dialogue between the two governments which was effectively frozen in 1992 , PAP news agency reported on Friday ."
3,27,SOCCER - FRANCE LAUNCH 1998 WORLD CUP BUILD-UP WITH 2-0 WIN .
3,28,"Two Scotland players were shown yellow cards , captain Gary McAllister for bringing down Andreas Heraf and Ferguson for arguing against the referee 's decision ."
3,29,SAN FRANCISCO 57 74 .435 16
3,30,Richard Finn
3,31,Switzerland at Slovak Republic
3,32,"Singapore hanged a Thai farmer at Changi Prison on Friday for drug trafficking , the Central Narcotics Bureau ( CNB ) said ."
3,33,BASEBALL - MAJOR LEAGUE STANDINGS AFTER THURSDAY 'S GAMES .
3,34,The town 's school and a shop doubling as a warehouse for humanitarian aid were destroyed in the fighting .
3,35,:
3,36,SOCCER - ARMENIA AND PORTUGAL DRAW 0-0 IN WORLD CUP QUALIFIER .
3,37,2. Trine Hattesta ( Norway ) 65.12
3,38,""" Next week , a small group of representatives from each of our campaigns should meet to address participants , format , timing and logistical issues surrounding the debates , "" Dole campaign manager Scott Reed wrote to Clinton campaign manager Peter Knight ."
3,39,Final overall placings ( after six stages ) :
3,40,COLOMBO 1996-08-30
3,41,Cukaricki 1 Vojvodina 0
3,42,1. Falilat Ogunkoya ( Nigeria ) 50.31 seconds
3,43,Parnevik tied the 18-hole record set by Loren Roberts in 1994 at the Brown Deer Park Golf Course and also equalled Saturday by Greg Kraft .
3,44,"Six months to June 30 ,"
3,45,RIGA 1996-08-31
3,46,"On Thursday , Iraq accused Iran of aggression and said it reserved the right to retaliate for Tehran 's alleged deployment of troops into northern Iraq , where fighting broke out between the two main Iraqi Kurdish rebel groups two weeks ago ."
3,47,"The company earned $ 11.2 million on sales of $ 299 million in the first six months of 1996 , up from year-earlier earnings of $ 4.7 million on sales of $ 285.7 million ."
3,48,1. Frankie Fredericks ( Namibia ) 19.97 seconds
3,49,TENNIS - SATURDAY 'S RESULTS FROM THE U.S. OPEN .
3,50,"Nolan Henke , who led by two strokes entering the third round , carded a four-under 67 and was one stroke back at 18-under 195 ."
3,51,"Belgium - 1 - Filip De Wilde , 2 - Bertrand Crasson , 3 - Dirk Medved , 4 - Pascal Renier , 16 - Geoffrey Claeys , 6 - Gunther Schepens ( 15 - Nico Van Kerckhoven , 81st ) , 10 - Enzo Scifo , 7 - Gert Verheyen ( 14 - Frederic Peiremans , 62nd ) , 9 - Marc Degryse , 8 - Luc Nilis , 11- Luis Oliveira ( 18 - Gilles De Bilde , 88th ) ."
3,52,FRANCE - Bond and PIBOR futures ended the day higher despite much stronger than expected U.S. data .
3,53,"Longyear is a town in mourning , a close-knit community that has been shattered ."
3,54,4. Brigita Bokovec ( Slovenia ) 12.92
3,55,OFK Beograd 4 1 3 0 5 4 6
3,56,"Her official programme will begin on Monday , and she will leave that day for Bolivia to attend a Latin American summit meeting in the city of Cochabamba ."
3,57,SAN DIEGO AT MONTREAL
3,58,The match boiled over when Hill made to walk off court after what he claimed was a game-winning point in the third .
3,59,HOUSTON 72 63 .533 -
3,60,"Refusing to go quietly in the night , Stefan Edberg extended his stay at his 14th and last U.S. Open when Bernd Karbacher , trailing and hurting , quit in the fourth set of their second-round match Friday ."
3,61,"KHASAVYURT , Russia 1996-08-31"
3,62,Wrexham 2 0 2 0 5 5 2
3,63,LONDON 1996-08-31
3,64,"Mehrtens missed three further penalties and a conversion in the first 40 minutes which could have put his side ahead , but it was the Springboks who looked the more dangerous ."
3,65,Moin Khan lbw b Mullally 0
3,66,"Iran , which denies the allegations , urged German authorities to disregard Banisadr 's testimony and said it could hurt relations ."
3,67,The three-month cash bill traded at 4.04 percent against the U.S. three-month bill at 5.26 percent .
3,68,Welsh rugby union matches on Saturday :
3,69,"In Oakland , Dave Telgheder scattered seven hits over eight innings and Mark McGwire hit his major-league leading 45th homer and drove in three runs as the Athetlics blanked the Boston Red Sox 7-0 ."
3,70,"Market-making in the rarely-traded FTO contract was expected to begin today , but an EOE spokesman said the 10 banks and brokers involved in the initiative needed time to get accustomed to changes in the electronic trading system ."
3,71,Twenty-three out of 25 charters flying illegal immigrants home since Prime Minister Alain Juppe 's government took office in May 1995 have been civilian jets .
3,72,""" We have chosen the challenge because it is our only option , "" proclaimed one banner on the road to Tripoli airport which serves only internal flights because of the sanctions ."
3,73,""" Unfortunately , in the auto industry these days , a $ 500 million company is not a big company anymore , "" Hoey said . """
3,74,"We really want the war to end , we hope and believe that our sons and brothers will win , "" said Dudayeva , adding that she was from Urus-Martan ."
3,75,"Some 150,000 people -- mostly civilians -- have died in Burundi since 1993 when the country 's first democratically elected Hutu president was killed in an attempted army coup ."
3,76,Far East gold traders thumped foreheads in frustration at the market 's foot-dragging this week and forecast on Friday that next week would not be much better .
3,77,"the $ 1.2 million Greater Milwaukee Open at the par-71 ,"
3,78,""" I did n't hit it very well today , "" said Henke . """
3,79,"Separately , Juppe confirmed the conservative government was preparing to submit a draft bill to parliament to tighten laws on illegal workers as part of a crackdown on immigration ."
3,80,"3. Bobby Rahal ( U.S. ) , Reynard Mercedes-Benz , 54.507"
3,81,Crewe 4 1 1 2 4 6 4
3,82,""" In July , average weekly hours and average hourly earnings declined , more than offsetting the effect of an increase in employment , "" Commerce said ."
3,83,"Multinational firms including Mobil , Shell and Caltex , were also attracted to Tianjin due to China 's rising demand for lube and oil-based products , the newspaper said ."
3,84,Brian Giles and Jim Thome homered for Cleveland .
3,85,"The number of working rigs in European / Mediterranean remained unchanged this week , with 105 rigs under contract out of a total fleet of 105 , a utilization rate of 100 percent ."
3,86,""" Bolesy ( Florida manager John Boles ) told me yesterday , ' You have to go nine tomorrow , ' "" Brown said ."
3,87,""" I 'm an emotional player , "" said the 104th-ranked Tarango . """
3,88,2. Jearl Miles ( U.S. ) 50.42
3,89,Southend 1 Swindon 3
3,90,Treasury bills 152.80 +0.300 - 11.900
3,91,DETROIT 1996-08-31
3,92,Spending rose 0.2 percent to a seasonally adjusted annual rate of $ 5.15 trillion after dropping a revised 0.4 percent in June .
3,93,Extras ( lb-3 nb-6 w-7 ) 16
3,94,Reading 4 1 1 2 5 10 4
3,95,CRICKET - ENGLAND V PAKISTAN ONE-DAY SCOREBOARD .
3,96,Haitai 64 2 43 .596 -
3,97,1969 - Scottish motor racing driver Jackie Stewart won the Italian Grand Prix to secure his first world championship .
3,98,"At the end of the match , Tarango blew sarcastic kisses to the crowd , then jiggled his body to a Rios rooting section in a jeering salute ."
3,99,"U.S. warplanes , ships in Gulf await Clinton order ."
3,100,BAKU 1996-08-31
