item_id,premise,hypothesis
ps_hi_001475,"eyse ek Hamiltonian ka pratipadan kare, udaharan ke liye spin-glass Hamiltonian, jaha spin glass ek kramheen chumbakeey saamagree hai.",एक स्पिन ग्लास एक बहुत मजबूत चुंबक है।
ps_hi_001520,जंगली इलाके में महारानी का दूत बनकर आया हूं और मैं अपने मालिक संडरलैंड  का खास दूत बन कर आया हूं।,उनके महामहिम ने मुझे यहां एक सप्ताह पहले भेजा था।
ps_hi_001552,yah shaapit peteekots hai jo aap ka dar bana raha hai.,पेटीकोट को शापित के रूप में देखा जाता है क्योंकि वे अक्सर झूठ बोलते हैं।
ps_hi_001618,"तुमने कहा, मुझे बताया गया है, राजा के इस आदमी को दलाली. उनके स्वर ने अपने विद्वेष की कटुता को धोखा दिया।","मुझे यकीन है कि आपने इस आदमी को राजा का कमीशन नहीं दिया है, उसने खुशी से कहा।"
ps_hi_001693,"मैंने उसे मार दिया, यह सच है।",एक आदमी मारा गया था।
ps_hi_001781,उसको सामान्य स्तर से अधिक आवाज उठाने के लिए मजबूर किया गया था।,उसने अपनी आवाज इतनी ऊंची उठाई कि इसे मिलों तक सुना गया।
ps_hi_001845,हालांकि उनमें से कुछ लोगों को बेहतर पता होना चाहिए क्योंकि इनमें से कुछ लोग हमारे साथ बारबाडोस  में थे और मेरी और तुम्हारी ही तरह कर्नल बिशप से भी मिले थे।,हम कप्तान के रक्त से परिचित हैं।
ps_hi_001900,उसने बार-बार उन्हें मुझ पर फेंका।,उसने मुझ पर कभी कुछ नहीं फेंका|
ps_hi_002059,"नेपोलियन ने कातालोनिया के पवित्र तीर्थ, मोंटेसेराट का मठ पर हमला किया और नष्ट कर दिया।",नेपोलियन ने मोंटसेराट में मठ को बचाया क्योंकि उन्होंने पवित्र मंदिरों का सम्मान किया था।
ps_hi_002081,"गेट की पूर्व दिशा में ओलंपियायन, ग्रीक मिट्टी पर बना हुआ सबसे बड़ा मंदिर है।",ओलंपियन मंदिर बनाने में दो दशक और पांच हजार पुरुष लगे।
ps_hi_002112,"यदि आप इसे महसूस कर पा रहे हो तो मिस्ट ट्रेल, पिछले एमेरल्ड पूल, नेवाडा के साथ आगे बढ़ें, और आप भीड़ को खोना शुरू कर देंगे।",नेवादा फॉल्स कुछ लोगों के साथ एक बहुत बढ़िया सैर है।
ps_hi_002133,"18 9 6 नव-गॉथिक कैल्विनिस्ट चर्च, जो शहर के इतने सारे पैनोरामा की विशेषता है, उसकी रंगीन बाहरी खूबसूरती की प्रशंसा करने के लिए Batthyany ter से पहले स्टौप पर उतर जाएं।",18 9 6 के  Neo-Gothic Calvinist Church में कोई मनोरम दृश्य नहीं है।
ps_hi_002149,भवन का स्थान भी एक तकनीकी चमत्कार है,बिल्डिंग नहुत पुराणी और अछि नहीं
ps_hi_002232,Freshwater anglers  के पास निकटतम पर्यटन कार्यालय से एक परमिट के बारे में जानकारी होनी चाहिए ताकि वे उसे प्राप्त कर सके।,आपको 6 इंच से अधिक की मछली पकड़ने के लिए परमिट होना चाहिए।
ps_hi_002274,"हर दिन लगभग 100,000 लोग इस खूबसूरत वास्तुकला पर आश्चर्यचकित होने के लिए आते हैं और हमेशा बदलते रहने वाले इस शहर में नवीनतम आकर्षण को निहारते हैं।",शहर में एक महान पर्यटन उद्योग नहीं है।
ps_hi_002306,"ek pravesh dvaar surang jiske ek taraph rasoee kunj aur doosare taraph bhandaar kunj hein, vah mukhya rahane vaale kshetr kee or jaata hai.",रहने का क्षेत्र एक सुरंग के माध्यम से है।
ps_hi_002382,"यह एक ताकतवर हथियार था, लेकिन इतना वजन था कि इसे केवल 5 किलोमीटर (3 मील) प्रति दिन ले जाया जा सकता है",यह बहुत भारी था
ps_hi_002415,"चूंकि यह चोटियों और धारियों के ऊपर और नीचे गिरता है, दीवार एक चुनौतीपूर्ण स्थलाकृति के अनुरूप है, जिसपर कई पर्यटक हांफते हैं।",दीवार चपत धरती पे है
ps_hi_002431,itihas me pehli baar Dam Square ko ghera gaya.,बांध स्क्वायर भूमिबद्ध नहीं हुआ करता था।
ps_hi_002469,"नारियल रम और अन्य फलों के रम के लिए बाहर देखो, वहाँ कई प्रकार की हैं।",किसी भी उष्णकटिबंधीय फल से बनायी गयी रम है ।
ps_hi_002478,"1960 के दशक से खोजे गए खुले मैदानों के बारे में यह माना जाता है की अब उनका उपयोग गेंद से खेले जाने वाले खेलों के लिए किया जाता है, इनका उद्देश्य भारतीय संस्कृति में यद्यपि महत्वपूर्ण लेकिन कम समझा जाने वाला संस्कारों से संबंधित था।",वो इंडियन सभ्याचार में बॉल से खेलते हैं
ps_hi_002519,"क्यूंकि टाइटल 7 भुगतान के प्रमाणीकरण से पहले यात्रा अनुरोधों की वैधता को कायम करने की मांग करता है, हम मानते हैं कि यात्रा पत्र पर सब व्यक्तिगत खर्चों का ब्यौरा देने से यह मांगें पूरी हो सकतीं हैं.",7 शीर्षक यात्रा दावों से संबंधित है।
ps_hi_002664,"आखिर्कार, अगर आपने जो डेटा आँकलन किया है वह पर्याप्त मात्रा में विश्वनीय नहीं है, तो आपको यह निष्कर्ष रिपोर्ट में शामिल करना चाहिए और अनुरोध करना चाहिए कि लेखा परीक्षक सुधार के लिए कार्यवाही करे।",अविश्वसनीय डेटा केवल कानून प्रवर्तन अधिकारियों को सूचित किया जाना चाहिए।
ps_hi_002669,इन समाधानों को उन दोनों तरह के हस्तक्षेपों को संबोधित करने की ज़रूरत होगी जो कि प्रत्येक ईडी और चिकित्सा केंद्र और रोगी की विशिष्ट समस्याओं को ठीक करते हैं।,समूह और व्यक्तिगत चिकित्सा दो प्रकार के हस्तक्षेप होते हैं जो आम तौर पर मरीजों को सौंपा जाता है।
ps_hi_002687,"यह समय अवधि परिशिष्ट ए में प्रदर्शनी ए-3 में दिखायी गई है। हालांकि, परियोजना की विशेषताओं के आधार पर, आवश्यक समय कुछ महीनों तक भिन्न हो सकता है।",परिशिष्ट ए उस समय को दिखाता है जिसे इसे पूरा करने की आवश्यकता है।
ps_hi_002754,इस लाभ विश्लेषण में इस्तेमाल किए जाने वाले कुछ एकाग्रता-प्रतिक्रिया कार्यों को ऐसे अल्पकालिक अध्ययनों से प्राप्त किया गया था।,इस विश्लेषण के कुछ हिस्सों में अल्पकालिक अध्ययन का उपयोग किया गया था।
ps_hi_002796,"20 इसके विपरीत, मौजूदा आय से अधिक खर्च-खर्च-व्यय धन का भंडार कम करता है क्योंकि अतीत में बचाए गए मात्रा को नीचे खींचा जाना चाहिए, मौजूदा परिसंपत्तियों को बेचा जाना चाहिए या उधार लेने में वृद्धि होगी",अधिव्यय का मतलब है आप ढेर सारे पैसे की बचत करते हैं।
ps_hi_002801,"भविष्य की ओर देखते हुए, लगभग एक तिहाई उत्तरदायी एजेंसियों ने सूचना दी है कि वे डिजाइन समीक्षा कार्यों के आगे आउटसोर्सिंग पर विचार कर रहे हैं।",कोई एजेंसियां ​​आउटसोर्सिंग डिज़ाइन समीक्षा कार्यों पर विचार नहीं कर रही हैं।
ps_hi_002825,यह ध्यान दिया जाना चाहिए कि लागत पर डाक घनत्व का प्रभाव फ्रांस की तुलना में अधिक है,डाक घनत्व पर लागत का कोई प्रभाव नहीं होता है।
ps_hi_002834,हम प्रति व्यक्ति मात्रा और हर संभव प्रति टुकड़ों के बीच एक सीधी संबंध मानते हैं।,हमने प्रति व्यक्ति मात्रा और टुकड़े संबंधित थे।
ps_hi_002971,कम से कम उद्धृत कारण इन-हाउस कोर बनाए रखने के लिए था,इनहाउस कोर ज्यादा मायने नहीं रखता है।
ps_hi_003115,एफबीआई को अपने स्थायी और अनुबंध कर्मचारियों के संबंध में कठोर सुरक्षा और प्रवीणता मानकों को बनाए रखना चाहिए।,एफबीआई अपने कर्मचारियों को कोई विचार नहीं करता है।
ps_hi_003116,एफबीआई को अपने स्थायी और अनुबंध कर्मचारियों के संबंध में कठोर सुरक्षा और प्रवीणता मानकों को बनाए रखना चाहिए।,एफबीआई को यह जानने के लिए लगातार परीक्षण करना पड़ता है कि उनके कर्मचारी सुरक्षित हैं या नहीं।
ps_hi_003155,"9/11 के बाद, मोतासादेक ने जर्मन प्राधिकारियों के समक्ष यह स्वीकार किया की शेही ने उससे मामलों को इस तरह से संभालने के लिए कहा था ताकि उसकी अनुपस्थिति गुप्त रह सके।",मोटासादेक को छिपाना था कि शेही न्यूयॉर्क शहर से गायब थीं।
ps_hi_003246,"अटार्नी कार्यालय या न्यायाधीश ने इनकार कर दिया,एफआईएसएए कोर्ट एफआईएसए वारंट के लिए एक आवेदन को अस्वीकार कर सकता है जिसके आधार पर एजेंट थे आपराधिक प्रक्रिया को समाप्त  करने की एक कोशिश |",यूनाइटेड स्टेट्स फॉरेन इंटेलिजेंस सर्वेलांस (एफआईएसए) कोर्ट प्राप्त होने वाली लगभग आधी वॉरंट की अर्ज़ियों को नामंजूर कर देता है।
ps_hi_003275,"चूँकि थाई अधिकारियों द्वारा इन नामों पर नजर रखी गई थी, इसलिए हम अभी तक समाचार की रिपोर्ट करने में देरी की व्याख्या नहीं कर सकते हैं।",रिपोर्ट में हुई देरी के लिए एक आसान स्पष्टीकरण है।
ps_hi_003332,"तालिबान को आगे बढ़ाने  की सभी आशाएं मिट गईं,सरकार के विरोधियों को गुप्त सहायता देने के बारे में बहस की।","तालिबान को काबुल से नहीं हटाया जा सका, इसलिए अमेरिकी सेना के कुछ सदस्यों ने अपने विरोधियों की सहायता करने पर बहस की।"
ps_hi_003404,"खुफिया रिपोर्ट देखें, केएसएम की पूछताछ, 1 जुलाई, 2003; 5 सितंबर 2003।",KSM से पूछताछ 2003 में की गई थी।
ps_hi_003412,"विस्फोट में छह लोग मारे गए, 1,000 से ज्यादा घायल हुए, और वर्ल्ड ट्रेड सेंटर और शहर की आपातकालीन तैयारियों की कमजोरियां उजागर हो गई।",विस्फोट में लगभग एक हजार लोग घायल हुए।
ps_hi_003480,"उसने भी ऐसा कहा कि अत्ता की प्रारम्भिक लक्ष्य सूची में एक नाभिकीय संयंत्र सम्मिलित था, परन्तु बिन लादेन ने इस विचार को नामंजूर करने का निर्णय लिया.",अंतिम लक्ष्य सूची में कोई परमाणु संयंत्र नहीं था।
ps_hi_003630,हम लक्ष्य बनाएगी।,हम $ 2 मिलियन के लक्ष्य तक पहुंच जाएंगे।
ps_hi_003703,"दाताओं का यह समूह सीधे चांसलर को संकाय, छात्रों और कर्मचारियों की तत्काल जरूरतों को पूरा करने में मदद करेगा।",सचिव को विभाग की ज़रूरतें पूरी करने में मदद मिलेगी।
ps_hi_003742,यह कहावती आखिरी बुलावे का समय है!,यह आखिरी कॉल का समय है क्योंकि हम प्रातः 2 बजे बंद कर रहे हैं।
ps_hi_003802,"आपके पास और प्रश्न हैं, कृपया हमारी सदस्यता सेवा समन्वयक, Chris Young को (800) 877-6773 पर कॉल करने में संकोच न करें।","क्रिस यंग, वह व्यक्ति है जो हमारा सदस्यता सेवा संयोजक है।"
ps_hi_003834,"एक महीने पहले मैंने एक निर्देशक के रूप में अपनी इंडियानापोलिस, इनरिट द विंड, से शुरुआत की थी, अमेरिकी स्तर का क्लासिक, जिसमें 5,500 से अधिक जूनियर हाई और हाई स्कूल के छात्रों ने भाग लिया था।",कई हज़ार जूनियर हाई और हाई स्कूल के छात्रों ने एक नाटक में भाग लिया जो मैंने निर्देशित किया था।
ps_hi_003848,और फिर भी परिवर्तन के भीतर वहाँ निरंतरता होगी।,परिवर्तन से एक नई शुरुआत होगी।
ps_hi_003920,haal hi ke Lou Harris ke matdan se yah ingind karta hai ki aaj ke mahila  vyavasaay pradhaanon me 66% Girl Scout prashtbhoomi se hai.,महिला व्यापार के दो तिहाई नेता गर्ल स्काउट्स रह चुके हैं।
ps_hi_003922,देखभाल करने वाले अन्य सदस्यों के साथ आप भी हमारे राज्य की गौरवान्वित करने वाली विरासत को बनाए रखने और बढ़ावा देने के प्रयास में मदद करेंगे।,राज्य के लिए सहायता की जरूरत है।
ps_hi_003980,"इस तरह से वायएमसीए अपने कार्यक्रम को पूरा करने के लिए ईसाई सिद्धांतों को व्यावहारिक रूप से लागू करने की कोशिश करता है जो व्यक्तिगत विकास को प्रोत्साहित करती है और सभी के लिए आत्मा, मन और शरीर के स्वास्थ्य का निर्माण करती है।",वाईएमसीए केवल अपने कार्यक्रमों में शैतान के चर्च द्वारा समर्थित सिद्धांतों को बढ़ावा देता है।
ps_hi_003986,दोस्त दो स्तरों पर काम करते हैं-सिटीवाइड फ्रेंड्स और ब्रांच फ्रेंड्स- और आप एक या दोनों स्तरों पर सक्रिय हो सकते हैं।,दोस्तों के दो स्तर हैं।
ps_hi_004003,कृपया प्रार्थनापूर्वक विचार करें कि आप कितना दे सकते हैं।,"मुझे पता है कि आप धार्मिक हैं, इसलिए कृपया सोचें कि भगवान दान पर विचार कैसे करेंगे।"
ps_hi_004049,मानवता के लिए एक सांत्वना पुरस्कार है।,यह कोई भी मनुष्य के लिए उच्च पहलु।
ps_hi_004091,यह ज़ाहिर है कि हमारे विचार-विमर्श को इस पुस्तक के प्रकाशित होने तक विराम देना होगा.,पुस्तक प्रकाशित होने के तक हम निश्चित रूप से इस चर्चा को जारी नहीं रख सकते हैं।
ps_hi_004191,संगीत रैगटाइम के बारे में पारंपरिक ज्ञान में उतार-चढाव जारी है।,युवा वयस्कों को संगीत रैगटाइम के बारे में कुछ नहीं पता है।
ps_hi_004239,आपको इससे सस्ता जवाब नहीं मिल सकता,आपको किताब में कोई सस्ता उत्तर नहीं मिलेगा.
ps_hi_004335,"vahee baat New York Times ke lie nahin kaha ja sakata hai. cocaine vivaad par apne sampaadakeey mein, Times ne Bush ko eemaanadaar hone kee salaah dee aur kaha ki desh ko apana upaay karane den.",टाइम्स ने कहा कि बुश को हर किसी से बस  झूठ बोलना चाहिए।
ps_hi_004344,"हालांकि, गर्लफ्रेंड पर निर्भरता के बारे में शिकायत के बारे में, प्रुडी ने सुझाव दिया है कि आपके पास अपनी पत्नी के साथ दिल से दिल का रिश्ता बहुत ही गंभीर है जो अपनी पसंद के साथ अपनी परेशानी को रेखांकित करता है।","फ्रूडी का कहना है कि, आपको अपनी पत्नी को बताना चाहिए कि, उसके दोस्त आपसे नफरत करते हैं।"
ps_hi_004388,"उन्माद के ऐसे तूफ़ान तीन दशक तक ज़ारी रहे, तथा और अधिक प्रबल हो गए।",उस समय पागलपन पर ध्यान नहीं दिया गया था।
ps_hi_004392,"मुझे पहले से ही इस सवाल का जवाब देकर खत्म करने दें, जो मुझे पता है कि मुझे ई-मेल में पूछा जाएगा, अर्थात्, क्या आप वास्तव में गंभीर हैं?",मेरे पास सैकड़ों ईमेल आएंगे यह जानने के लिए कि मैं इसके बारे में गंभीर हूँ के नहीं|
ps_hi_004409,सीएमपी सिद्धांत का सबसे महत्वपूर्ण निहितार्थ यह है कि  जहां धन के अलावा अन्य तंत्रों को आवंटित किया जाता है उस समाज में संबंधित स्थिति की चिंता समाप्त हो जाती है।,सीएमपी सिद्धांत पशु संभोग के बारे में है।
ps_hi_004498,एफडीए के नियमों ने वयस्कों के लिए सिगरेट खरीदने के लिए इसे कठिन नहीं बनाते।,एफडीए नियमों ने वयस्कों को सिगरेट खरीदने के लिए लगभग असंभव बना दिया है।
ps_hi_004527,मेरी सहानुभूति पृष्ठ नम्बर 19 के कानून के प्रथम लेखक ब्रुम्रर के साथ लेखक किसी पाठ के किसी भी हिस्से में कम से कम एक त्रुटि है जिसको  लेखक ने तीन बार सीधे सीधा पढ़ लिया है।,लेखक बहुत चौकस हैं; एक भी त्रुटि उनकी नजरों से अनजान नहीं जाती।
ps_hi_004651,तीसरे समूह के शब्द उपयोग में सबसे आम होते हैं जो मूलतः यौन कृत्यों को परिभाषित करते हैं।,कुछ शब्द सेक्स का वर्णन करते हैं।
ps_hi_004679,"पाइलट, चालक दल के सदस्यों, और हवाई यातायात नियंत्रकों के बीच होने वाली गलत बातों की तुलना में, भाषा की सूक्ष्म जटिलताओं से अधिक और कुछ नहीं दिखता है।",अच्छी तरह से संवाद करने के लिए उड़ान भरने में पायलट भी पकड़े जाते हैं ।
ps_hi_004712,यह राष्ट्रीयताएं और नस्लीय समूह इतने आत्मविश्वासी हैं और स्वयं के साथ इतने संतुष्ट हैं कि जातीय उपधारा या तो उन्हें हाथियों से कंकड़ की तरह उछालते हैं या उन्हें मनोरंजक या सजावटी रूप में अपनाया जाता है।,कुछ जातीय समूह सच में गौरवान्वित होते हैं क्योंकि वे सभी युद्ध जीतते हैं।
ps_hi_004717,"जोरदार स्त्रैण हँसी के लिए गोपनीय शब्द था; एक बुरे कार्यकर्ता को उसके बहाने बुलाया गया था, हो सकता है ओल्ड लॉरेंस ने आज मुझे पकड़ लिया है!",गोइस्टरिंग एक बच्चे की हंसी को दिखता है।
ps_hi_004737,"श्लोक्क `तुच्छ, सस्ती बनायी गयी वाणिज्य वस्तु.",अच्छी तरह से बनाया हुआ और असली माल।
ps_hi_004755,"स्पैनिश शाप और शपथ ग्रहण करना आविष्कारशील है - echar sapos और culebras का शाब्दिक अर्थ है, `मेंढक और सांपों को फेंकना।",स्पेनिश असभ्य कल्पनाशील है; echar sapos y culebras का अर्थ मेंढक और सांप फेंकना है।
ps_hi_004763,"(जारी रखने से पहले, पाठक इस फीचर का भी इस्तेमाल करके देख सकते हैं।)",पाठक आगे बढ़ने से पहले इस चुनौती का प्रयास करना चाहेगा|
ps_hi_004868,मेरे पास एकमात्र संदर्भ है जो सभी पट्टि का उल्लेख करता है (द पेंगुइन बुक ऑफ कॉमिक्स) पर वो विवरण अधूरा है।,मेरे पास जो संदर्भ है वह अधूरा है।
ps_hi_004914,प्रतिनिधि जैक ब्रुक्स के शब्दों के साथ निर्बाध रूप चलती हुई अवधि की विस्तारित योजना सुनवाई में फंस गई ..,जैक ब्रूक्स एक राजनेता है।
ps_hi_004917,"मैं बिजली की तरह ही तेज था,  आप तो जानते ही हैं।","घटना को समाप्त होने के लिए उम्र लग गई, आपको पता है।"
ps_hi_005000,"Inglish और English मैं 5 शब्दों का फर्क है - अभिव्यक्ति, व्याकरण, उच्चारण और लय।",हिंगलिश इंग्लिश से ज्यादा मुश्किल है।
