item_id,sentence,option_a,option_b,gold_answer,model_prediction,correct
pr_en_000063,Jennifer discreetly admitted to Erin that she didn't know how to apply eye shadow.  _ was reassuring.,Jennifer,Erin,B,,
pr_en_000064,Jennifer discreetly admitted to Erin that she didn't know how to apply eye shadow.  _ was embarrassed.,Jennifer,Erin,A,,
pr_en_000065,The employees threw a party and drank so much alcohol that they could not go into work the next day. The _ was loud.,party,alcohol,A,,
pr_en_000066,The employees threw a party and drank so much alcohol that they could not go into work the next day. The _ was copious.,party,alcohol,B,,
pr_en_000067,"Once in Poland, Dennis enjoyed the trip more than Jason because _ had a shallow understanding of the Polish language.",Dennis,Jason,B,,
pr_en_000068,"Once in Poland, Dennis enjoyed the trip more than Jason because _ had a deeper understanding of the Polish language.",Dennis,Jason,A,,
pr_en_000069,"The house Benjamin designed for Joseph was beautiful, so _ used it in his portfolio.",Benjamin,Joseph,A,,
pr_en_000070,"The house designed for Benjamin by Joseph was beautiful, so _ used it in his portfolio.",Benjamin,Joseph,B,,
pr_en_000071,John poured the entire bowl of fish into the hot pan on the stove until the _ was full.,bowl,pan,B,,
pr_en_000072,John poured the entire bowl of fish into the hot pan on the stove until the _ was empty.,bowl,pan,A,,
pr_en_000073,Sue wanted to practice meditation so she went to the gym with her class but the _ was too busy.,class,gym,B,,
pr_en_000074,Sue wanted to practice meditation so she went to the gym with her class but the _ was too late.,class,gym,A,,
pr_en_000075,Natalie thinks emeralds are beautiful gems but Betty does not. _ bought a necklace featuring a big diamond.,Natalie,Betty,B,,
pr_en_000076,Natalie thinks emeralds are beautiful gems but Betty does not. _ bought a necklace featuring a big emerald.,Natalie,Betty,A,,
pr_en_000077,Aaron hung his hunting rifle over the hearth after the most recent trip ended up with Benjamin making the fatal shot.  _ was happy for him.,Aaron,Benjamin,A,,
pr_en_000078,Aaron hung his hunting rifle over the hearth after the most recent trip ended up with Benjamin making the fatal shot.  _ was happy for himself.,Aaron,Benjamin,B,,
pr_en_000079,"Kevin is far more physically versatile than Nick, because _ is an injured athlete in bed.",Kevin,Nick,B,,
pr_en_000080,"Kevin is far more physically versatile than Nick, because _ is a seasoned athlete in training.",Kevin,Nick,A,,
pr_en_000081,Adam put handwash only clothes in the washer but Aaron washed them by hand as _ was lazy.,Adam,Aaron,A,,
pr_en_000082,Adam put handwash only clothes in the washer but Aaron washed them by hand as _ was conscientious.,Adam,Aaron,B,,
pr_en_000083,Kyle loves the flavor of apricots but Matthew likes plums better. _ couldn't wait for plum season.,Kyle,Matthew,B,,
pr_en_000084,Kyle loves the flavor of apricots but Matthew likes plums better. _ couldn't wait for apricot season.,Kyle,Matthew,A,,
pr_en_000085,"Derrick was unable to stay focused at work unlike Justin, because _ had a fun job.",Derrick,Justin,B,,
pr_en_000086,"Derrick was unable to stay focused at work unlike Justin, because _ had a boring job.",Derrick,Justin,A,,
pr_en_000087,"Avery was debating on taking up German instead of Latin, because the _ was newer.",Latin,German,B,,
pr_en_000088,"Avery was debating on taking up German instead of Latin, because the _ was old.",Latin,German,A,,
pr_en_000089,"Kayla dated many more people at once than Betty, because _ was in an open relationship.",Kayla,Betty,B,,
pr_en_000090,"Kayla dated many more people at once than Betty, because _ was in an exclusive relationship.",Kayla,Betty,A,,
pr_en_000091,Steven proudly showed Michael the mangoes he grew himself all this summer.  _ is hardworking.,Steven,Michael,A,,
pr_en_000092,Steven proudly showed Michael the mangoes he grew himself all this summer.  _ is astonished.,Steven,Michael,B,,
pr_en_000093,"The letter that Joel has written is being read by Adam, so _ is the writer.",Joel,Adam,A,,
pr_en_000094,"The letter that Joel has written is being read by Adam, so _ is the editor.",Joel,Adam,B,,
pr_en_000095,"Kyle was more comfortable speaking in front of large groups than Nick, because _ had taken public speaking courses in college.",Kyle,Nick,A,,
pr_en_000096,"Kyle was more comfortable speaking in front of large groups than Nick, because _ was not able to take public speaking courses in college.",Kyle,Nick,B,,
pr_en_000097,In the lagoon Emily swam in the nude while Felicia opted for a full body swimsuit. _ was very hesitant with showing their body.,Emily,Felicia,B,,
pr_en_000098,In the lagoon Emily swam in the nude while Felicia opted for a full body swimsuit. _ was very free with showing their body.,Emily,Felicia,A,,
pr_en_000099,Sarah Jane's watch smashed when the book hit it since the _ was too strong.,watch,book,B,,
pr_en_000100,Sarah Jane's watch smashed when the book hit it since the _ was too weak.,watch,book,A,,
pr_en_000101,"Joseph had to have well manicured nails for work, but not Kevin, because _ worked at a bank.",Joseph,Kevin,A,,
pr_en_000102,"Joseph had to have well manicured nails for work, but not Kevin, because _ worked at a farm.",Joseph,Kevin,B,,
pr_en_000103,"While out playing golf, Dennis fell in the mud, but Christopher kept their balance because _ had spiked shoes on.",Dennis,Christopher,B,,
pr_en_000104,"While out playing golf, Dennis fell in the mud, but Christopher kept their balance, because _ had slippery shoes on.",Dennis,Christopher,A,,
pr_en_000105,"I couldn't control the moisture like I controlled the rain, because the _ was coming in at one spot.",moisture,rain,B,,
pr_en_000106,"I couldn't control the moisture like I controlled the rain, because the _ was coming in everywhere.",moisture,rain,A,,
pr_en_000107,"Leslie was fascinated with collecting new shoes compared to Derrick, because _ loved fashion trends.",Leslie,Derrick,A,,
pr_en_000108,"Leslie was fascinated with collecting new shoes compared to Derrick, because _ hated fashion trends.",Leslie,Derrick,B,,
pr_en_000109,Jessica thought Sandstorm was the greatest song ever written but Patricia hated it. _ bought a ticket to the jazz concert.,Jessica,Patricia,B,,
pr_en_000110,Jessica thought Sandstorm was the greatest song ever written but Patricia hated it. _ bought a ticket to the Darude rave.,Jessica,Patricia,A,,
pr_en_000111,Bill poured the entire bowl of cheese snack into his mouth until the _ was empty.,mouth,bowl,B,,
pr_en_000112,Bill poured the entire bowl of cheese snack into his mouth until the _ was full.,mouth,bowl,A,,
pr_en_000113,"Ben played soccer and bowling every week. However, it was easy for him to play in the _ game because he hurt his arm.",bowling,soccer,B,,
pr_en_000114,"Ben played soccer and bowling every week. However, it was difficult for him to play in the _ game because he hurt his arm.",bowling,soccer,A,,
pr_en_000115,Nick had a bigger dog than Craig because _ fed their dog much more food.,Nick,Craig,A,,
pr_en_000116,Nick had a smaller dog than Craig because _ fed their dog much more food.,Nick,Craig,B,,
pr_en_000117,There was more shade in the yard of Christine than there was in the yard of Victoria because _ had more plants.,Christine,Victoria,A,,
pr_en_000118,There was more shade in the yard of Christine than there was in the yard of Victoria because _ had less plants.,Christine,Victoria,B,,
pr_en_000119,Kyle loves chocolate and candy and Steven loves pickles and lemons. _ loves sour foods.,Kyle,Steven,B,,
pr_en_000120,Kyle loves chocolate and candy and Steven loves pickles and lemons. _ loves sweet foods.,Kyle,Steven,A,,
pr_en_000121,"Since Benjamin ate unhealthy desserts far more frequently than Brett, _ had strong will power.",Benjamin,Brett,B,,
pr_en_000122,"Since Benjamin ate unhealthy desserts far more frequently than Brett, _ had weak will power.",Benjamin,Brett,A,,
pr_en_000123,Eric asked Michael on a date to go to the movies on Friday night because _ was very confident.,Eric,Michael,A,,
pr_en_000124,Eric asked Michael on a date to go to the movies Friday night because _ was very attractive.,Eric,Michael,B,,
pr_en_000125,"Amy hated the smell of bleach, but still Kayla used it all the time to clean so _ tries to use it less.",Amy,Kayla,B,,
pr_en_000126,"Amy hated the smell of bleach, but still Kayla used it all the time to clean so _ always leaves the house.",Amy,Kayla,A,,
pr_en_000127,Eric looked at Neil in shock and started to react violently because _ lied to him.,Eric,Neil,B,,
pr_en_000128,Eric looked at Neil in shock and started to react violently because _ felt betrayed.,Eric,Neil,A,,
pr_en_000129,"Matthew made sure to use an oil lubricant when expanding his piercing, unlike Jeffrey, so the painful experience from _ made a lot of sense.",Matthew,Jeffrey,B,,
pr_en_000130,"Matthew made sure to use an oil lubricant when expanding his piercing, unlike Jeffrey, so the agreeable experience from _ made a lot of sense.",Matthew,Jeffrey,A,,
pr_en_000131,Samantha brought a get well card to the hospital but Emily forgot to because _ was preoccupied.,Samantha,Emily,B,,
pr_en_000132,Samantha brought a get well card to the hospital but Emily forgot to because _ was thoughtful.,Samantha,Emily,A,,
pr_en_000133,Jessica took off the gloves and gave them to Katrina because _ 's hands were cold.,Jessica,Katrina,B,,
pr_en_000134,Jessica took off the gloves and gave them to Katrina because _ 's hands were warm.,Jessica,Katrina,A,,
pr_en_000135,"The lawsuit bankrupted the company, causing Megan to be let go from their job while Mary was promoted. _ felt relieved and elated.",Megan,Mary,B,,
pr_en_000136,"The lawsuit bankrupted the company, causing Megan to be let go from their job while Mary was promoted. _ felt depressed and hopeless.",Megan,Mary,A,,
pr_en_000137,John's certification was less important that Jim's degree because the _ was from a minor University.,certification,degree,A,,
pr_en_000138,John's certification was less important that Jim's degree because the _ was from a major University.,certification,degree,B,,
pr_en_000139,"They opted not to go to the dance but to the movie instead, the _ seemed like a proper destination for their date.",dance,movie,B,,
pr_en_000140,"They opted not to go to the dance but to the movie instead, the _ seemed like an inappropriate destination for their date.",dance,movie,A,,
pr_en_000141,"The thermostat showed that it was twenty degrees cooler downstairs than it was upstairs, so Byron stayed in the _ because he was hot.",downstairs,upstairs,A,,
pr_en_000142,"The thermostat showed that it was twenty degrees cooler downstairs than it was upstairs, so Byron stayed in the _ because he was cold.",downstairs,upstairs,B,,
pr_en_000143,Michael wanted to take Craig out on the water in his new boat. _ said it would be fun to show him the ropes.,Michael,Craig,A,,
pr_en_000144,Michael wanted to take Craig out on the water in his new boat. _ said it would be confusing to see how the boat works.,Michael,Craig,B,,
pr_en_000145,"Come over here and take a look at my scalp today  Natalie told Katrina, _ hates providing her  opinion.",Natalie,Katrina,B,,
pr_en_000146,"Come over here and take a look at my scalp today  Natalie told Katrina, _ needs a second opinion.",Natalie,Katrina,A,,
pr_en_000147,"The sushi rotted on the counter unless it was put in the cooler, as the _ exposed it to contamination.",counter,cooler,A,,
pr_en_000148,"The sushi rotted on the counter unless it was put in the cooler, as the _ protected it from contamination.",counter,cooler,B,,
pr_en_000149,The contract could not be drafted at the business during that day because the _ was too small to care about.,contract,business,A,,
pr_en_000150,The contract could not be drafted at the business during that day because the _ was too big to care about it.,contract,business,B,,
pr_en_000151,"Laura always had more motivation in life and achieving goals than Katrina, as _ was optimistic.",Laura,Katrina,A,,
pr_en_000152,"Laura always had more motivation in life and achieving goals than Katrina, as _ was lazy.",Laura,Katrina,B,,
pr_en_000153,Ben had to either stop eating chocolates or nuts. He chose to stop eating the _ because they were savory.,chocolates,nuts,B,,
pr_en_000154,Ben had to either stop eating chocolates or nuts. He chose to stop eating the _ because they were sweet.,chocolates,nuts,A,,
pr_en_000155,James was looking if there is any space to put the book into the shelf. The _ is small.,space,book,A,,
pr_en_000156,James was looking if there is any space to put the book into the shelf. The _ is big.,space,book,B,,
pr_en_000157,James was writing a poem on his jotter when the ink finished. The _ is a long .,poem,ink,A,,
pr_en_000158,James was writing a poem on his jotter when the ink finished. The _ is a low.,poem,ink,B,,
pr_en_000159,"The couple drank wine out of glasses instead of mugs, because the _ were clean.",mugs,glasses,B,,
pr_en_000160,"The couple drank wine out of glasses instead of mugs, because the _ were dirty.",mugs,glasses,A,,
pr_en_000161,Dividing the candy was more difficult than dividing the apples because every kid wanted the _ .,candy,apples,A,,
pr_en_000162,Dividing the candy was more difficult than dividing the apples because no kid wanted the _ .,candy,apples,B,,
pr_en_000163,Brian wanted to be a home based administrative assistant and Kenneth didn't because _ liked staying at home.,Brian,Kenneth,A,,
pr_en_000164,Brian wanted to be a home based administrative assistant and Kenneth didn't because _ did not like staying at home.,Brian,Kenneth,B,,
pr_en_000165,"Brian had a large collection of coins that Kevin really admired, so _ asked him for some duplicates.",Brian,Kevin,B,,
pr_en_000166,"Brian had a large collection of coins that Kevin really admired, so _ offered him some duplicates.",Brian,Kevin,A,,
pr_en_000167,"William forgot about all the times when Ian saved them, despite how _ was generally self-sacrificing.",William,Ian,B,,
pr_en_000168,"William forgot about all the times when Ian saved them, because _ was generally self-involved.",William,Ian,A,,
pr_en_000169,"Katrina's being taught how to speak Korean by Felicia, so _ was most likely born in Korea.",Katrina,Felicia,B,,
pr_en_000170,"Katrina's being taught how to speak Korean by Felicia, so _ was most likely born in the US.",Katrina,Felicia,A,,
pr_en_000171,Jason denied Ian's passport application because _ did not provide the correct paperwork in time.,Jason,Ian,B,,
pr_en_000172,Jason denied Ian's passport application because _ did not receive the correct paperwork in time.,Jason,Ian,A,,
pr_en_000173,I wanted a combination of Vanilla and tea tree essence scents but it smelled like Vanilla because the _ essence was too weak.,Vanilla,tea tree,B,,
pr_en_000174,I wanted a combination of Vanilla and tea tree essence scents but it smelled like Vanilla because the _ essence was too strong.,Vanilla,tea tree,A,,
pr_en_000175,I'd rather play on a soccer team than be a kicker on a foot ball team since the _ ball is harder to kick.,soccer,foot,B,,
pr_en_000176,I'd rather play on a soccer team than be a kicker on a foot ball team since the _ ball is easier to kick.,soccer,foot,A,,
pr_en_000177,"Kyle thought the temperature was too warm while William thought it was too cold, so _ turned the heat down.",Kyle,William,A,,
pr_en_000178,"Kyle thought the temperature was too warm while William thought it was too cold, so _ turned the heat up.",Kyle,William,B,,
pr_en_000179,"William wanted an egg for breakfast, but Kevin ate the last one, so _ had to give them cereal.",William,Kevin,B,,
pr_en_000180,"William wanted an egg for breakfast, but Kevin ate the last one, so _ had to eat cereal.",William,Kevin,A,,
pr_en_000181,The woman sprayed cleaner on the mirror but skipped the countertop because the _ was clean.,mirror,countertop,B,,
pr_en_000182,The woman sprayed cleaner on the mirror but skipped the countertop because the _ was dirty.,mirror,countertop,A,,
pr_en_000183,Justin wrote a paragraph in his planner every day unlike Matthew because _ was disorganized.,Justin,Matthew,B,,
pr_en_000184,Justin wrote a paragraph in his planner every day unlike Matthew because _ was organized.,Justin,Matthew,A,,
pr_en_000185,The children could only count the number of balls in one jar and not the beans in the other because the _ were too numerous.,balls,beans,B,,
pr_en_000186,The children could only count the number of balls in one jar and not the beans in the other because the _ were more manageable.,balls,beans,A,,
pr_en_000187,Erin is known an an entrepreneur while Victoria is only an employee because _ owns a business.,Erin,Victoria,A,,
pr_en_000188,Erin is known as an entrepreneur while Victoria is only an employee because _ doesn't yet own a business.,Erin,Victoria,B,,
pr_en_000189,Since _ arrived at work later Dennis would eat their lunch before Adam in the break room at their job.,Dennis,Adam,B,,
pr_en_000190,Since _ arrived at work sooner Dennis would eat their lunch before Adam in the break room at their job.,Dennis,Adam,A,,
pr_en_000191,"The stomach of Neil was rumbling, but Samuel seemed fine, due to _ being hungry.",Neil,Samuel,A,,
pr_en_000192,"The stomach of Neil was rumbling, but Samuel seemed fine, due to _ being satiated.",Neil,Samuel,B,,
pr_en_000193,After Logan contracted the chickenpox from Joseph so _ spent the day sending nice texts about it.,Logan,Joseph,B,,
pr_en_000194,After Logan contracted the chickenpox from Joseph so _ spent the day sending mean texts about it.,Logan,Joseph,A,,
pr_en_000195,The man wanted to put the luggage in the house but the _ was too small.,house,luggage,A,,
pr_en_000196,The man wanted to put the luggage in the house but the _ was too large.,house,luggage,B,,
pr_en_000197,The experience was totally unforgettable for Betty but not Samantha because _ had dreaded it for months.,Betty,Samantha,B,,
pr_en_000198,The experience was totally unforgettable for Betty but not Samantha because _ had anticipated it for months.,Betty,Samantha,A,,
pr_en_000199,Kyle got a new cell phone and showed it to Leslie because _ was happy about the new phone.,Kyle,Leslie,A,,
pr_en_000200,Kyle got a new cell phone and showed it to Leslie but _ was upset about the new phone.,Kyle,Leslie,B,,
pr_en_000201,"When one experiences cramps they can get into a warm bath or use a heating pad, but the _ is more of an inconvenience.",bath,heating pad,A,,
pr_en_000202,"When one experiences cramps they can get into a warm bath or use a heating pad, but the _ is more convenient.",bath,heating pad,B,,
pr_en_000203,"Neil agreed to help wash Adam's large dog, and _ was very eager to help.",Neil,Adam,A,,
pr_en_000204,"Neil agreed to help wash Adam's large dog, and _ was very grateful for the help.",Neil,Adam,B,,
pr_en_000205,"Cricket is a favorite past time of Lindsey, while Rachel has never heard of it. _ is more likely to be American.",Lindsey,Rachel,B,,
pr_en_000206,"Cricket is a favorite past time of Lindsey, while Rachel has never heard of it. _ is more likely to be British.",Lindsey,Rachel,A,,
pr_en_000207,It was clear that Jessica understood and was entertained by the article from Monica because _ was the reader.,Jessica,Monica,A,,
pr_en_000208,It was clear that Jessica understood and was entertained by the article from Monica because _ was the writer.,Jessica,Monica,B,,
pr_en_000209,"In an effort to control kennel cough, Emily sent Maria to get the medication but _ was busy examining the animals.",Emily,Maria,B,,
pr_en_000210,"In an effort to control kennel cough, Emily sent Maria to get the medication because _ was busy examining the animals.",Emily,Maria,A,,
pr_en_000211,Jan poured the entire cup of lemon juice into the bowl bananas until the _ was empty.,cup,bowl,A,,
pr_en_000212,Jan poured the entire cup of lemon juice into the bowl bananas until the _ was full.,cup,bowl,B,,
pr_en_000213,The insurance company blamed Leslie instead of Logan for the accident since _ had a green light.,Leslie,Logan,B,,
pr_en_000214,The insurance company blamed Leslie instead of Logan for the accident since _ ran a red light.,Leslie,Logan,A,,
pr_en_000215,The chef decided to store the food in the container but the _ was too large.,food,container,A,,
pr_en_000216,The chef decided to store the food in the container but the _ was too small.,food,container,B,,
pr_en_000217,"My sister enjoyed writing on the blog more than in her journal, because the _ for everyone to see.",blog,journal,A,,
pr_en_000218,"My sister enjoyed writing on the blog more than in her journal, because the _ for nobody to see.",blog,journal,B,,
pr_en_000219,"Derrick spent the entire summer laying on the hot beach, while Jeffrey spent the summer indoors, so _ 's hair had more sun damage.",Derrick,Jeffrey,A,,
pr_en_000220,"Derrick spent the entire summer laying on the hot beach, while Jeffrey spent the summer indoors, so _ 's hair had less sun damage.",Derrick,Jeffrey,B,,
pr_en_000221,This menu was very eclectic. They served everything from  a three tiered burger to sushi to omeletes. The _ was juicy.,burger,sushi,A,,
pr_en_000222,This menu was very eclectic. They served everything from  a three tiered burger to sushi to omeletes. The _ was raw.,burger,sushi,B,,
pr_en_000223,"the statistics show many females compared to the males are being born everyday, the _ are few.",females,males,B,,
pr_en_000224,"the statistics show many females compared to the males are being born everyday, the _ are many.",females,males,A,,
pr_en_000225,"Robert made the choice to buy Neil's house, so _ had a lot more money in the bank afterwards.",Robert,Neil,B,,
pr_en_000226,"Robert made the choice to buy Neil's house, so _ had a lot less money in the bank afterwards.",Robert,Neil,A,,
pr_en_000227,The medical exam for the broken arm was longer than the exam on the heart because the _ was a serious problem.,heart,arm,B,,
pr_en_000228,The medical exam for the broken arm was shorter than the exam on the heart because the _ was a serious problem.,heart,arm,A,,
pr_en_000229,"When opening up about their crushes, Kenneth sighed at Jeffrey because _ forgot who their crush was.",Kenneth,Jeffrey,B,,
pr_en_000230,"When opening up about their crushes, Kenneth laughed at Jeffrey because _ remembered who their crush was.",Kenneth,Jeffrey,A,,
pr_en_000231,"Jack loved math and disliked social sciences, so when deciding to take sociology or math that semester, the counselor entered the _ because Jack was receptive to it.",math,sociology,A,,
pr_en_000232,"Jack loved math and disliked social sciences, so when deciding to take sociology or math that semester, the counselor deleted the _ because Jack was resistant to it.",math,sociology,B,,
pr_en_000233,Christopher wanted to be a specialist but not Adam because _ had an interest in a limited number of subjects.,Christopher,Adam,A,,
pr_en_000234,Christopher wanted to be a specialist but not Adam because _ had an interest in a many number of subjects.,Christopher,Adam,B,,
pr_en_000235,Megan enjoyed summer while Felicia did not.   _  spent much time indoors.,Megan,Felicia,B,,
pr_en_000236,Megan enjoyed summer while Felicia did not.  _  spent much time at the beach.,Megan,Felicia,A,,
pr_en_000237,John could not remove the wallpaper attached to the wall with a glue without the wallpaper tearing apart. The _ is weak.,glue,wallpaper,B,,
pr_en_000238,John could not remove the wallpaper attached to the wall with a glue without the wallpaper tearing apart. The _ is strong.,glue,wallpaper,A,,
pr_en_000239,The counselor treated the child who suffered from abuse by giving her a teddy instead of a blanket because the _ was boring.,teddy,blanket,B,,
pr_en_000240,The counselor treated the child who suffered from abuse by giving her a teddy instead of a blanket because the _ was comforting.,teddy,blanket,A,,
pr_en_000241,John cared for the pot while it was being transported in the box but it eventually got broken. The _ is hard.,pot,box,B,,
pr_en_000242,John cared for the pot while it was being transported in the box but it eventually got broken. The _ is fragile.,pot,box,A,,
pr_en_000243,Donald offered Leslie their last stick of  mint gum as _ had a minty breath already.,Donald,Leslie,A,,
pr_en_000244,Donald offered Leslie their last sick some mint gum as _ had a stinky breath already.,Donald,Leslie,B,,
pr_en_000245,"After Samuel won the cherry jam contest, Kyle still believed they should have won since _ sweetened with low calorie sweetener and the judges went by taste.",Samuel,Kyle,B,,
pr_en_000246,"After Samuel won the cherry jam contest, Kyle still believed they should have won since _ sweetened with high calorie sweetener and the judges went by taste.",Samuel,Kyle,A,,
pr_en_000247,Felicia looked sad and disappointed after she asked Christine refused to be her girlfriend because _ liked her.,Felicia,Christine,A,,
pr_en_000248,Felicia looked sad and disappointed after she asked Christine refused to be her girlfriend because _ she was not lesbian.,Felicia,Christine,B,,
