item_id,sentence,option_a,option_b
pr_en_002663,Cynthia asked Megan how to grow lettuce and a variety of other vegetables as _ was an inexperienced gardener.,Cynthia,Megan
pr_en_002699,"Sandra wanted to put the new painting in the foyer of her home, but the _ didn't have room.",painting,foyer
pr_en_002738,"Ryan went on a drive on his boat with Steven during the summer, because _ like to drive.",Ryan,Steven
pr_en_002863,"The developer went to the web for the information instead of going to the book, because the _ was quicker.",web,book
pr_en_002924,The wood on the chopstick began to splinter after John picked up a chicken wing because the _ was too light.,wood,wing
pr_en_002959,Patricia made a peanut butter and honey sandwich for her daughter Emily's lunch. _ sang happily to herself as she made the sandwich.,Patricia,Emily
pr_en_003090,"Christine knew that Kayla didn't like roses, so _ asked for none in the bouquet.",Christine,Kayla
pr_en_003157,Shelly touched the bruise but was careful not to touch the sore since the _ was an open wound.,sore,bruise
pr_en_003159,"On a daily basis, Michael always prays, but Hunter sees no need to. _ is an atheist.",Michael,Hunter
pr_en_003341,"When Kenneth fought last night, they were very aggressive with Ian, because _ had wanted this match for a long time and lost.",Kenneth,Ian
pr_en_003351,"Robert wanted to swim in the hot tub at Benjamin's house, but _ was disappointed.",Robert,Benjamin
pr_en_003455,Felicia likes working for the company in the city more than the one in the country.  The _  is fun.,city,country
pr_en_003548,The activities that he had planned out could not fit into the schedules because the _ were full.,activities,schedules
pr_en_003591,The band often practice in the park instead of the bar because the _ interferes with their concentration.,park,bar
pr_en_003763,"Laura accused Megan of always treating her like a child no matter what, even though _ is an adult.",Laura,Megan
pr_en_003888,Michael was able to impress everyone at the party unlike Randy because _ was very refined.,Michael,Randy
pr_en_003930,"Back when I was obese, I ate too many snacks and ate too few vegetables, but my weight reacted best when the _ were bland.",vegetables,snacks
pr_en_004050,She knew the questions on the math test and not the reading test since the _ test was on a shorter timer.,math,reading
pr_en_004137,"The reporter missed the details of the mugging but got it right on the crash, since the _ happened so slowly.",mugging,crash
pr_en_004166,"At school, students knees could not show, so the girl changed out of her skirt and put on the dress because the _ was long.",skirt,dress
pr_en_004316,"Rachel asked Betty if she had ever applied for a bank loan, because _ couldn't remember.",Rachel,Betty
pr_en_004509,Patricia got bit by a snake while camping and Mary got bit by a mosquito. _ was itchy from their injury.,Patricia,Mary
pr_en_004520,"After Natalie did Victoria's makeup, she was not impressed with her new look, so _ was self-conscious about her work.",Natalie,Victoria
pr_en_004749,Damien's cat was dying and he needed to decided rather to let it live or put it to sleep. The _ then it would be peaceful.,let it live,put it to sleep
pr_en_004914,The snow in England is less severe than the rain because the _ happens always.,snow,rain
pr_en_005069,Elena was a worse overall tennis player than Mary however _ had a great serve.,Elena,Mary
pr_en_005078,"Jen tried to get rid of her baby's cradle cap with dandruff shampoo and a soft brush, and the _ helped heal the dry skin.",brush,shampoo
pr_en_005353,"The ninja hid in the garage, instead of the shed, because there was more light in the _ .",garage,shed
pr_en_005469,"After having their babies, Christine fed her baby formula while Victoria was nursing, leading to _ spending much less money.",Christine,Victoria
pr_en_005496,Coconut oil was always used by Emily and not Angela because _ lived a healthier lifestyle.,Emily,Angela
pr_en_005550,I had to communicate the news over the phone or at the restaurant tonight. I told them at the _ even though I wanted them to enjoy their evening.,phone,restaurant
pr_en_005626,When writing a paper it's important to start with a draft before the final report. The _ will likely have most errors fixed.,draft,report
pr_en_005685,"Mark hired a truck instead of using his own SUV to drive his stuff to the new apartment, because the _ was larger.",truck,SUV
pr_en_005731,"Christine is working as a doctor and Victoria is working as a volunteer, so _ is rich.",Christine,Victoria
pr_en_005854,"The ball was thrown father than the disc, because the _ was a lot heavier.",ball,disc
pr_en_005948,Carrie had improved flexibiity in her leg while Felicia had improved flexibility in her hand. _ had hand flexibility.,Carrie,Felicia
pr_en_006063,"given between working and going for holiday, I will choose the _ because it is easy.",holiday,work
pr_en_006146,"Donald asked Nick to teach them to boogie board, because _ grew up far away from the ocean.",Donald,Nick
pr_en_006352,"The bagel shop sells muffins, but not donuts, because _ have a much higher profit margin.",muffins,donuts
pr_en_006440,Rachel hadn't ever gotten a tattoo while Carrie had many. _ never went to a tattoo parlor.,Rachel,Carrie
pr_en_006481,Samantha used ladders a lot at work but Carrie did not because _ was a house painter.,Samantha,Carrie
pr_en_006584,"The prestigious scholarship is awarded to Laura, instead of Katrina, so _ is likely dumber.",Laura,Katrina
pr_en_006603,"After it snowed, Marc used the shovel to clear the driveway, instead of the plow. He enjoys getting a workout with the _ .",shovel,plow
pr_en_006714,The water in the fountain tasted worse than the water in the bottle because the water in the _ had more iron.,fountain,bottle
pr_en_007103,The woman wanted to grow potatoes in her gardens but the _ were too large.,potatoes,gardens
pr_en_007119,The sportsman could not tie his fishing boat to the dock because the _ was too long.,dock,boat
pr_en_007168,"Rachel took their dog for a walk while Lindsey played with their dog at home, and _ enjoyed the time at home.",Rachel,Lindsey
pr_en_007343,"Kyle asked Adam for some tips on how he could earn money, because _ didn't have any ideas.",Kyle,Adam
pr_en_007454,"Although Elena was a worse lawyer than Sarah, _ was able to connect with their clients emotional problems.",Elena,Sarah
pr_en_007468,"Jessica gave her glass of red wine to Erin, because _ preferred to stay inebriated.",Jessica,Erin
pr_en_007471,"Since Rebecca could speak several languages, but Jennifer only one, most people characterized _ as multilingual.",Rebecca,Jennifer
pr_en_007530,Jen needed to detox her body with either pills or fruits. She chose the _ because it was natural.,fruits,pills
pr_en_007555,"For two months Lindsey was on a diet while Carrie ate fast food. Afterwards, when they weighed themselves _ was delighted to see a 5 pounds loss.",Lindsey,Carrie
pr_en_007791,An inflammatory skin condition plagued Jennifer and Carrie is a dermatologist so _ gave a prescription.,Jennifer,Carrie
pr_en_007923,"The mayor replaced the stained carpet in the court lobby with new hardwood, the _ was trendy.",carpet,hardwood
pr_en_008085,Sally knew not to ask the doctor for antibiotics when her illness was caused by a virus rather than bacteria. Only the _ would respond to antibiotics.,virus,bacteria
pr_en_008306,Writing with the chalk was a little more difficult than with the marker as the _ was rather invisible to the naked eye at a distance.,chalk,marker
pr_en_008310,The meticulous carpenter used the sandpaper to sand the wood until the _ was worn out.,wood,sandpaper
pr_en_008416,"The teacher said that Brett was unable to learn the language like Joel, by reason that _ always studied.",Brett,Joel
pr_en_008594,The young monk would meditate for hours a day on a chair but not a pillow because the _ was uncomfortable.,chair,pillow
pr_en_008607,The man dumped out the beer and grabbed a soda because the _ was cold.,beer,soda
pr_en_008654,The stain was removed when he poured more soda on it and then scrubbed with a brush.  The _ was large.,soda,brush
pr_en_008732,Kevin's swamp Hibiscus was thriving whereas Matthew's wasn't because _ had a sunny boggy spot outdoors for it.,Kevin,Matthew
pr_en_008887,"My home from childhood was much nicer than my condo now, because the _ is in a poor area.",home,condo
pr_en_009076,"Late on Monday, Christine was doing an excel report for Erin because _ was the employee.",Christine,Erin
pr_en_009099,Erin liked holding the hamster more than Rachel did because _ was entertained by rodents.,Erin,Rachel
pr_en_009276,Eric was having a hard time sleeping at night while Christopher slept well because _ had a guilty conscience.,Eric,Christopher
pr_en_009310,I like to play with the golf ball rather than a tennis ball as the _  extends my fist.,golf ball,tennis ball
pr_en_009547,The nails were coming out of the wood and needed to be replaced with screws so the _ were inserted.,nails,screws
pr_en_009591,The customer wanted to buy the cardigan but settled on the belt because the _ was cheap.,cardigan,belt
pr_en_009674,"The public elected Jason as president instead of Randy, because _ delivered a much less persuasive speech.",Jason,Randy
pr_en_009756,Sarah was pulled over by Cynthia who was a police officer because _ caught them speeding.,Sarah,Cynthia
pr_en_009876,Nelson burst out laughing when someone's stomach made a loud growling sound and Christopher went red.The teacher could tell  _ was very amused.,Nelson,Christopher
pr_en_009979,Alexandria was buying cleaning supplies at the store. She ended up getting a mop but leaving the duster because the _ was overpriced.,mop,duster
pr_en_010139,The bait Amy was using wasn't as good as that of Mary because _ is a pro fisherman.,Amy,Mary
pr_en_010177,The Ukulele is being taught to Matthew by Justin in class. _ must be the person teaching.,Matthew,Justin
pr_en_010221,It was easier to comb the hair on the dog than on the cat because the _ had longer hair.,cat,dog
