item_id,premise,hypothesis,gold_label,model_label,correct
ps_ru_002519,"Так как согласно пункту 7 перед одобрением платежа необходимо установить корректность претензий относительно поездки, мы считаем, что перечисление всех расходов по отдельности в путевом ваучере поможет выполнить это требование.",Раздел 7 посвящен требованиям на возмещение командировочных расходов.,E,,
ps_ru_002664,"Наконец, если данные, которые вы оценили, не являются полностью достоверными, вы должны включить данные факты в отчет и рекомендовать объекту аудита принять корректирующие действия.",Недостоверные данные должны сообщаться только сотрудникам правоохранительных органов.,C,,
ps_ru_002669,"Эти решения следует применить и к типам вмешательств, соответствующих каждому образовательному и медицинскому центру, и к специфическим проблемам пациента.",Двумя наиболее частыми видами лечения пациентов являются групповая и частная терапия.,N,,
ps_ru_002687,"Этот временной промежуток отображет в Документе А-3 в Приложении А. Однако, в зависимости от специфики проекта, необходимое количество времени может отличаться на пару месяцев.","В Приложении А указано время, необходимое для выполнения.",N,,
ps_ru_002754,"выводы о некоторых функциях, явившихся результатом реакции на уровень концентрации, использованные в этом анализе результатов, были сделаны на основании таких краткосрочных исследований.",В отдельных разделах данной аналитической работы использовались кратковременные исследования.,E,,
ps_ru_002796,"В то же время, отрицательные сбережения - расходование средств сверх дохода - уменьшает накопленное богатство, потому что суммы, накопленные ранее, должны быть вынужденно израсходованы, существующие активы - проданы, а займы - увеличены.","Расходование сбережений означает, что вы экономите очень много денег.",C,,
ps_ru_002801,"Глядя в будущее, примерно треть ответивших организаций сообщили, что они рассматривают возможность дальнейшей передачи функций контроля дизайна внешним исполнителям.",Ни одно из агенств не рассматривает передачу на аутсорсинг функцию проверки дизайна.,C,,
ps_ru_002825,"Нужно отметить, что влияние почтовой плотности на побережье более велико во Франции, нежели чем в",Компактность почтового отправления не влияет на стоимость.,C,,
ps_ru_002834,Мы предполагаем прямую линейную зависимость между объемом на душу населения и возможного количества,Мы подсчитали средний объем на душу населения и его составляющие.,E,,
ps_ru_002971,"Наименее упоминаемая причина заключалась в том, чтобы поддерживать внутреннее ядро",Внутренние ресурсы не имеют большого значения.,N,,
ps_ru_003115,ФБР должно поддерживать строгие стандарты безопасности и квалификации в отношении своих штатных и наемных сотрудников.,ФБР совсем не думает о своих сотрудниках.,C,,
ps_ru_003116,ФБР должно поддерживать строгие стандарты безопасности и квалификации в отношении своих штатных и наемных сотрудников.,ФБР должен постоянно проверять безопасность своих сотрудников.,N,,
ps_ru_003155,"После 11 сентября, Мотассадек признался властям Германии, что Шеххи попросил его сделать так, чтобы никто не заметил его отсутствие.","Предполагалось, что Мотассадек скроет, что Шехи пропал из Нью-Йорка.",N,,
ps_ru_003246,"При отказе адвокатского бюро или судьи суд по контролю над внешней разведкой FISA может отвергнуть заявку на ордер FISA на том основании, что агенты пытались свести дело к уголовному процессу.","Суд по контролю за внешней разведкой отклоняет половину ордеров, которые он получает.",N,,
ps_ru_003275,"Так как эти имена были занесены в списки наблюдения Тайскими властями, мы пока что не можем объяснить задержку в подаче новостей.",Задержка выхода отчетов объясняется очень просто.,C,,
ps_ru_003332,"Когда вся надежда на передвижение Талибана иссякла, возобновились дебаты об оказании скрытой помощи противникам режима.","Изгнать Талибан из Кабула не представлялось возможным, поэтому некоторые военные США обсуждали возможность оказания помощи их противникам.",N,,
ps_ru_003404,"См. разведсводки, допросы KSM от 1 июля 2003; 5 сентября 2003.",Допрос KSM состоялся в 2003 году.,E,,
ps_ru_003412,"Взрыв уничтожил 6 людей, ранил 1000 людей и выявил уязвимости в подготовке Всемирного торгового центра и города к чрезвычайным ситуациям.",В результате взрыва пострадали около 1000 людей.,E,,
ps_ru_003480,"Он также утверждал, что Атта включил в предварительный перечень целей атомную станцию, но бен Ладен оставить эту идею.",В окончательном целевом списке не было ядерной установки.,E,,
ps_ru_003630,мы поставим цель.,Мы достигнем цели в 2 миллиона долларов.,N,,
ps_ru_003703,Данная группа доноров будет напрямую оказывать содействие ректору по вопросам обеспечения нужд преподавательского состава и учащихся.,"Ректор получит помощь, которая удовлетворит потребности факультета.",E,,
ps_ru_003742,Пришло время пресловутого ПОСЛЕДНЕГО ЗВОНКА!,"Осталась последняя возможность, ведь мы закрываемся в 2 часа ночи.",N,,
ps_ru_003802,"Если у вас есть дополнительные вопросы, пожалуйста, свяжитесь с нашим координаторам по работе с членством Крисом Янгом по номеру (800) 877-6773.","Крис Янг - это человек, который является нашим координатором служб членства.",N,,
ps_ru_003834,"Я дебютировал в Индианаполисе как сценический режиссёр месяц назад с постановкой Пожнёшь Бурю, классикой американской сцены, которую посетило свыше 5,500 учащихся средней и старшей школы.","Несколько тысяч учащихся старших классов посетили спектакль, режиссером которого я был.",E,,
ps_ru_003848,Однако даже при изменениях будет возможна преемственность.,Изменение будет новым началом.,C,,
ps_ru_003920,"Недавний опрос Лу Харриса показывает, что более 66% современных женщин, стоящих во главе бизнеса, в прошлом были частью движения бойскаутов.",Среди женщин две трети бизнес-лидеров имеют подготовку девочек-скаутов.,E,,
ps_ru_003922,Наряду с другими заботливыми участниками вы будете содействовать усилиям по сохранению и продвижению гордого наследия нашего государства.,Штат нуждается в помощи.,E,,
ps_ru_003980,"Тем самым Юношеская христианская ассоциация стремится претворять принципы поступать по христиански на практике через программы, стимулирующие личное развитие и укрепление здоровья духа, ума и тела для всех.",YMCA пропагандирует принципы Церкви Сатаны в своих программах.,C,,
ps_ru_003986,"Друзья оперировают на двух уровнях: «Друзья по всей городе» и «Отраслевые Друзья», и вы можете стать активными на одном или обоих уровнях.",Есть два уровня друзей.,E,,
ps_ru_004003,"Просим вас со всем милосердием обдумать, сколько вы можете дать.","Я знаю, что вы религиозный человек, потому подумайте о том, что думает Бог о пожертвованиях.",N,,
ps_ru_004049,Хотя бы есть утешительный приз для человечества.,В этой ситуации нет плюсов для человечества.,C,,
ps_ru_004091,"Очевидно, то наше обсуждение следует приостановить до публикации этой амбициозной книги.","Мы, конечно же, не можем продолжать эту дискуссию до тех пор, пока книга не будет опубликована.",E,,
ps_ru_004191,Традиционное представление о музыкальном Ragtime продолжает колебаться.,Молодежь ничего не знает о музыкальном жанре регтайм.,N,,
ps_ru_004239,Вы не сможете найти ответ дешевле,В книге найти более дешевый ответ невозможно.,N,,
ps_ru_004335,"То же самое можно сказать и о New York Times. В своей статье о кокаине, Times посоветовали Бушу быть честным и позволить стране принять меры.","в The Times было сказано, что Буш должен всем лгать.",C,,
ps_ru_004344,"А что касается жалоб на надежность девушек, Пруди рекомендует вам провести дооооолгую и серьезную задушевную беседу с вашей женой, изложив ей свое беспокойство ее решениями.","Пруди говорит, что тебе стоит сказать жене, что ее друзья ненавидят тебя.",N,,
ps_ru_004388,"Такая эволюции безумия продолжалась три десятилетия, принимая претенциозный характер.",В то время безумие не было замечено.,N,,
ps_ru_004392,"Позвольте мне заканчивать отвечая заранее на вопрос который, я знаю, я получу по электронной почте, именно: Вы действительно серьезно?","Конечно же, я получу сотни писем, в которых меня будут спрашивать, не пошутил ли я.",N,,
ps_ru_004409,"Наиболее шокирующий вывод теории CMP заключается в том, что забота об относительном положении  исчезает в обществах, где спутники жизни отбираются по иным критериям кроме богатства.",Теория CMP связана со скрещиванием животных.,N,,
ps_ru_004498,Регламенты FDA не затрудняют покупку сигарет взрослыми.,"Правила Управления по контролю за продуктами и лекарствами стали причиной того, что взрослым почти невозможно купить сигареты.",C,,
ps_ru_004527,"Мне симпатично ваше примечание на странице 19: Первый закон авторства Брюннера  В любом объеме текста есть не менее одной ошибки, которую автор пропустил три раза.",Писатели очень дотошны; от их глаз не ускользнет ни одна ошибка.,C,,
ps_ru_004651,"Чаще всего используются слова третьей группы, которые изначально обозначают половой акт.",Некоторые слова описывают секс.,E,,
ps_ru_004679,"Ничто более ярко не высвечивает нюансированные сложности языка, чем непонимание, возникающее между пилотами, членами экипажа и авиадиспетчерами.","Пилоты слишком увлечены полетом, чтобы хорошо общаться.",N,,
ps_ru_004712,"Существуют национальности и этнические группы, настолько уверенные в себе, настолько собой довольные, что этнические эпитеты либо отскакивают от них как камешки от слона, либо берутся ими на вооружение для забавы, или даже принимаются в качестве лестных.","Некоторые этнические группы действительно гордятся тем, что выигрывают все войны.",N,,
ps_ru_004717,"Goistering — любопытный термин для громкого женского смеха; был назван плохой рабочий, его оправданием стало: возможно, старый Лоуренс завладел мной сегодня!",Агуканьем называют детский лепет.,C,,
ps_ru_004737,"халтура, дешевка, товары дешевого производства.",Хорошо изготовленный и оригинальный товар.,C,,
ps_ru_004755,Испанцы изобретательны в проклятиях и ругани: echar sapos y culebras буквально означает выбрасывать лягушек и змей.,Испанские ругательства очень изобретательны - echar sapos y culebras означает бросать лягушек и змей.,E,,
ps_ru_004763,"(Прежде чем продолжать, читатель может захотеть попробовать эту опцию)","Читатель может захотеть попробовать принять этот вызов, прежде чем продолжить.",N,,
ps_ru_004868,Единственная упоминание (юмористическая The Penguin Book) достаточно кратко.,Мой источник довольно сомнителен.,E,,
ps_ru_004914,Чудовищно нагруженный термин разработанная схема прозвучал в ходе слушаний из уст агента Джека Брукса....,Джек Брукс - политик.,E,,
ps_ru_004917,"это было так же быстро как - как молния, знаете ли.","Это мероприятие не могло закончиться целую вечность, ну ты понимаешь.",C,,
ps_ru_005000,"Индийский/пакистанский английский отличается от стандартного лексикой, грамматикой, произношением и интонацией.","Диалекты английского труднее освоить, чем английский.",N,,
