item_id,sentence,option_a,option_b,correct_answer_num,gold_answer,correct_text
99,"ናታሊ ሞኒካን ወደ ህክምና ፕሮግራም እንድትገባ ረድታታለች, _ የአደንዛዥ ዕፅ ሱሰኛ እነደሆነች ከተናገረች በኋላ ነው.",ናታሊ,ሞኒካ,2,B,ሞኒካ
138,_ ቅልጥፍናን መቀነስ ከጀመረች በኋላ ቤቲ የሳማንታን ደሞዝ ለመቀነስ ወሰነች.,ቤቲ,ሳማንታ,2,B,ሳማንታ
139,_ ሹሩባዋ በባለሙያ እንዲሰራላት ላውራ ለሞኒካ የጸጉር መቀጠያዎች አመጣችላት.,ላውራ,ሞኒካ,1,A,ላውራ
140,ኬይላ ለልደት ቀን ለሳይንቲያ የእግር ማጠቢያ ገንዳ አዘጋጅታለች. ስለዚህ _ ውሃ እየቀዳች ነው.,ኬይላ,ሳይንቲያ,1,A,ኬይላ
141,ብዙ ነገር አብረው ስላሳለፉ እና _ የተወሰነ ገንዘብ ስለወረሰች ፓትሪሺያ ለፌሊሺያ እራት ለመግዛት ወሰነች.,ፓትሪሺያ,ፌሊሺያ,1,A,ፓትሪሺያ
182,_ ስለሰለቸች ለሁሉም ነገር እንደ ማጽጃ መፍትሄ ሆምጣጤን መሆኑን ሞኒካ ስትገልጽ ሳራ ዓይኖቿን ገላምጣለች.,ሳራ,ሞኒካ,1,A,ሳራ
183,ኔልሰን ሁል ጊዜ ከኒይል በስተቀር ከሌሎች ጋር ጥሩ ወዳጅነት ነበረው. ምክንያቱም _ ሁልጊዜ በጣም ጨዋ ነበር.,ኔልሰን,ኒይል,1,A,ኔልሰን
254,ኢየን ለዴኒስ ሞግዚት መሆን ነበረባት. ነገር ግን _ ስለተረሳ አልመጣችም.,ኢየን,ዴኒስ,2,B,ዴኒስ
286,"ላውራ ብረቱን ለፕሮጀክታቸው ስትይዝ ካሪ የነፋስ ችቦን ተጠቅማለች,ምክንያቱ _ የበለጠ ባለ ሞያ ስለነበረች ነው.",ላውራ,ካሪ,2,B,ካሪ
289,መፃፍ ለካሪ ሲቀላት ለናታሊ ደግሞ አስቸጋሪ ነበር. ምክንያቱም _ በኮሌጅ ምህንድስና ተምራለች.,ካሪ,ናታሊ,2,B,ናታሊ
324,የኬኔዝ ጀርባ በቢሮው በዴሪክ እንክብካቤ እየተደረገለት ነው. ስለዚህ _ ደንበኛ ነው.,ኬኔዝ,ዴሪክ,1,A,ኬኔዝ
325,መስታወቱ ፓትሪሺያ ምን ያህል ውፍረት እንዳላት እና ፌሊሺያ ምን ያህል እንደከሳች ሲያሳይ አልዋሸም ነበር. ስለዚህ _ ክብደት የሚቀንስ አመጋገብ መጀመር ነበረባት.,ፓትሪሺያ,ፌሊሺያ,1,A,ፓትሪሺያ
386,_ ዝግጅቱን እንዲያደርግ ሲጠየቅ ዶናልድ የሠርግ ኬክ ከሮበርት አዘዘ.,ዶናልድ,ሮበርት,1,A,ዶናልድ
400,ሎጋን እየጮኸ ሲመጣ ዶናልድ የስቶቭ የላየኛው ክፍል እሳቱን አብርቶ ትቶ እና በጭስ ታፍኖ _ ራሱን ስቶ አገኘው.,ዶናልድ,ሎጋን,1,A,ዶናልድ
433,ናታሊ ኤሚን እርዳታ መጠየቅ ነበረባት ምክንያቱም _ ሁልጊዜ የጣሪያ ንጣፎችን ለመተካት ከዚህ በፊት የተጠቀለለ ጣሪያ ትጠቀም  ስለነበር.,ናታሊ,ኤሚ,2,B,ኤሚ
437,ኤሚሊ ተመሳሳይ ቀለም ያለው ልብስ መልበስ ላውራን እንደሚያናድድ ብታስብም _ እንድትለብሰው ነገረቻት.,ኤሚሊ,ላውራ,2,B,ላውራ
440,_ አበቦቹን መንከባከብ ስለሚፈልግ ኒይል ከስቲቨን እንዴት አበቦቹን በትክክል መቁረጥ እንዳለበት ይማራል.,ኒይል,ስቲቨን,1,A,ኒይል
487,"ጄፍሪ ብዙ ቋንቋዎችን ይናገር ነበር, ነገር ግን ጀስቲን የሚናገረው እንግሊዘኛ ብቻ ነው, ስለዚህ _የውጭ ፊልሞችን በቀላሉ መረዳት አይችልም.",ጄፍሪ,ጀስቲን,2,B,ጀስቲን
503, _ በውትድርና ውስጥ ስላልነበረች ስርቆት ከኤሌና የበለጠ ሬቤካን የሚስማማ ነገር ነበር.,ሬቤካ,ኤሌና,2,B,ኤሌና
510,ሬቤካ በቤቱ ውስጥ ከኤሚሊ ጋር ስትነፃፀር ብዙ ተባዮች ነበሯት. ምክንያቱም _ በከተማ ውስጥ ትኖር ነበር.,ሬቤካ,ኤሚሊ,2,B,ኤሚሊ
540,_ ለጋሽ ለመሆን ገንዘብ ስላልነበራት ኤሌና ለቪክቶሪያ የስጦታ ሳጥን ላከች.,ኤሌና,ቪክቶሪያ,2,B,ቪክቶሪያ
555,ኒይል ከሎውረንስ የበለጠ ምቾት ነበረው. ምክንያቱም _ ትላትሎች በሰውነታቸው ውስጥ ነበሩ.,ኒይል,ሎውረንስ,2,B,ሎውረንስ
556,ዴኒስ ከቤንጃሚን ይልቅ ኩርባ በመወርወሩ በጣም የከፋ ነበር. ምክንያቱም _ የኮሌጅ ቤዝቦል ተጫውቷል.,ዴኒስ,ቤንጃሚን,2,B,ቤንጃሚን
569,ፊሊሺያ አንዳንድ ውድ አልማዞችን ለኤሪን ሸጣለች. ምክንያቱም _ የተወሰነ ገንዘብ አስፈልጓታል.,ፊሊሺያ,ኤሪን,1,A,ፊሊሺያ
598,ሜሪ ከኤሚሊ ጋር ብዙ ልጆች ማግኘት ፈለገች. ግን _ ሌላ ልጅ እንደማትፈልግ ተናገረች.,ሜሪ,ኤሚሊ,2,B,ኤሚሊ
603,ዴኒስ ክሬግ እንዲመጣ እና በማስተናገድ ስራዎች እንዲረዳ ጋበዘው. ምክንያቱም _ ድግሶችን በተደጋጋሚ ያደርግ ነበር.,ዴኒስ,ክሬግ,2,B,ክሬግ
614,ኒክ የ ኤል ኢ ዲ አምፖሎችን በመግዛት ከሌስሊ የበለጠ የኃይል ፍጆታቸውን ቀንሷል. ምክንያቱም _ የአየር ንብረት ለውጥን አያምንም ነበረ.,ኒክ,ሌስሊ,2,B,ሌስሊ
650,ታንያ ላውራ ለምን ለእረፍት መሄድ እንደፈለገች ለመረዳት እየሞከረች ነበር. ምክንያቱም _ ከስራ መራቅን ስለምትጠላ ነው.,ታንያ,ላውራ,1,A,ታንያ
651,ማሪያ በንብ ከንፈሯ ላይ እንደተወጋች ለካሪ ነገረቻት. ነገር ግን _ ራሷን ፊቷ ላይ በእውነት መትታለች.,ማሪያ,ካሪ,1,A,ማሪያ
652,ለመመረቅ መፈለግ የሎጋን እንጂ የራንዲ ግብ አልነበረም. ምክንያቱም _ ለመማር በጣም ፈጣን ነበር.,ሎጋን,ራንዲ,1,A,ሎጋን
660,"ላውረንስ መምረጥ አልቻለም ስለዚህ ኤሪክ መረጠለት, ምክንያቱም _ በጣም ትዕግስት የሌለው ነው.",ላውረንስ,ኤሪክ,2,B,ኤሪክ
665,ብድር በሜሪ ከሬቾል ተወስዷል. ስለዚህ _ ጥሩ የፋይናንስ አቋም አላት.,ሜሪ,ሬቾል,2,B,ሬቾል
682,ኤሌና ፀጉሯን በፖኒቴል ኣስይዛው ነበር ሆኖም ሳማንታ እንደዛ አልተሰራችም ምክኒያቱም _ በጣም አጭር ፀጉር ስለነበራት ነው.,ኤሌና,ሳማንታ,2,B,ሳማንታ
722,ኬይላ አዲሷ የማደጎ ድመት እንዲኮላሽ አድርጋ ነበር. ነገር ግን ኤሌና አላደረገችም. ምክንያቱም _ ሰብአዊነት የጎደለው እንደሆነ ተሰምቷታል.,ኬይላ,ኤሌና,2,B,ኤሌና
