sample_id,id,sentence
1,54,She spruced up before the job interview.
1,55,Emma gave bad advice to Harriet.
1,56,"John told, and Harry showed, Seymour that Sally was a virgin."
1,57,Can he not have been working?
1,58,This doll is hard to see.
1,59,She liked Moya's football.
1,60,I looked the number up.
1,61,John has chosen for the position.
1,62,A review copy of the book was sent to her by the publisher.
1,63,A choir sang in the church.
1,64,They want to write to her.
1,65,There are three Davids in my class.
1,66,The cottage which Mrs Dashwood accepted was rather small.
1,67,We expect them to examine themselves.
1,68,The dog barked.
1,69,Who was it obvious that Plato loved?
1,70,Brenda and Molly met.
1,71,"The dumplings which Sasha is gobbling down faster than I can reheat them are extremely tasty, if I do say so."
1,72,Reports which the government prescribes the height of the lettering on the covers of are invariably boring.
1,73,What the hell do you wonder how to say?
1,74,"John seems fond of ice cream, and Bill seems, too."
1,75,That piece of ice is too big for for him to be able to pick up with a teaspoon to be likely.
1,76,Bartlett and Toni danced.
1,77,He I often sees Mary.
1,78,the pencil with that he is writing broke.
1,79,Brown equipped a camera next to Jones.
1,80,That joke never fails to amuse little children.
1,81,the book of poems and of fiction from Blackwell takes a very long time to read.
1,82,It is the garden that the gardener planted with roses.
1,83,The professor found some strong evidences of water on Mars.
1,84,Smith envied his good fortune to Jones.
1,85,Philippa cried herself to sleep.
1,86,Would for him to have played the piano have surprised you?
1,87,The jeweller inscribed the ring with the name.
1,88,Joe hoped to find a solution.
1,89,John is prouder of having gone than nobody expected me to believe he would be.
1,90,Kane ate dirt.
1,91,That ball sang a student.
1,92,There appeared the ship on the horizon.
1,93,"Mary claimed that eating cabbage, Holly started."
1,94,Nathan showed Benjamin himself in the mirror.
1,95,Willow said that she'd kiss Tara and kick Xander.
1,96,Mary will soon play the violin.
1,97,Here's a knife for you to say was on the table.
1,98,"He might maybe do that, mightn't he?"
1,99,"John would, because he's such a nice guy, like that."
1,100,John has been chosen for the position.
1,101,I considered Fred after the party crazy.
1,102,Willy is taller than Bill by that much.
1,103,It was in the park last night that the policeman met several young students.
1,104,I kicked yourself
1,105,John believes it to be raining.
1,106,How did he eat the food?
1,107,Amanda drove the package from Boston to New York.
1,108,Gillian has made pasta and David is too.
1,109,"Always, any lion is majestic."
1,110,The student enjoyed his English syntax class last semester.
1,111,The package drove to New York.
1,112,I know I bought the book you recommended.
1,113,Sue said something although she was the most likely not to say anything.
1,114,The package weighed 10 lb.
1,115,Will can he do it?
1,116,What we are using is their teaching material.
1,117,The famous mathematician existed a solution to the problem.
1,118,John rolled the ball from the tree to the bush.
1,119,I wonder when and how often she went that day.
1,120,Jason refrained from casting the spell
1,121,Willy is taller than that Bill is is generally believed.
1,122,"We gave every senator enough opportunity and, sure enough, he succumbed to corruption."
1,123,The scissors is lost
1,124,"Will Bill, this girl in the red coat will put a picture of Bill on your desk before tomorrow."
1,125,Who does Phineas know a girl who is working with?
1,126,Himself sang to George.
1,127,Sally eats the stuff more.
1,128,Gary and Kevin ran himself into exhaustion.
1,129,I sent she away.
1,130,I believe it to be her father who was primarily responsible.
1,131,"No student, and he wears socks, is a swinger."
1,132,He's the bit of a gossip.
1,133,"They cooked, thickened the soup."
1,134,I inquired if John likes his beer.
1,135,I said this he left
1,136,He was a bully.
1,137,Stephen persuaded there to be a fountain in the park.
1,138,George both built the houses.
1,139,The magician echoed the music.
1,140,There lived a man with his grandson.
1,141,Why she told him is unclear.
1,142,The box at once contained the ball.
1,143,Fanny stopped talking when in came Aunt Norris.
1,144,"Handsome though Dick is fair, Nordic, strong and, I'm still going to marry Herman."
1,145,We yelled Harry hoarse.
1,146,Her family are all avid skiers.
1,147,I watched the Indians who the man who had been my advisor in my freshman year had advised me to study when I got to Utah talk.
1,148,That dog bites people.
1,149,This list includes my name on itself.
1,150,Mary didn't see almost any flower.
1,151,The professor talked us into a stupor.
1,152,What do you think Matt kissed?
1,153,Erika made her mother an omelet and the kitchen a mess.
1,154,Every boy named Mercury and Venus.
1,155,The tank filled with petrol out of the pump.
1,156,There seem to be a good feeling developing among the students.
1,157,What the thing which I ate cost almost broke me.
1,158,There was known to everyone.
1,159,There sang a man with a pipe.
1,160,I consider there to be a man in that garden.
1,161,Could they have left?
1,162,"Bill seems to be obnoxious, but I don't think that Sam turns out."
1,163,Who did that Plato loved prove to be his undoing.
1,164,The boy whose guardian's employee we elected president betrayed us.
1,165,I didn't eat any ice cream or the cake.
1,166,Stephen seems to be irritating.
1,167,Alyssa kept her syntax book.
1,168,Bill pushed Harry off the sofa for hours.
1,169,The man arrived on the train was my brother.
1,170,Chris said that himself was angry.
1,171,The boys and the girls seem happy.
1,172,Jessica splashed water at me.
1,173,the room contains few furniture.
1,174,Did that he played the piano surprise you?
1,175,A variety of styles have been in vogue for the last year.
1,176,The writers so believed the boy.
1,177,I tried and buy some whiskey.
1,178,"Bob is very serious about Mary, but less so than Paul."
1,179,Myron is making Suzie's claim that dead is better than red.
1,180,"You should always lock your door, no matter how fancy the hotel."
1,181,"Mary questioned Joe's desire to eat cabbage, but only after I had questioned Sally's desire to."
1,182,I didn't eat any ice cream and any cake.
1,183,The writers of none of the reports.
1,184,"Clearly, John immediately will probably learn French perfectly."
1,185,What did you meet someone who understands?
1,186,I've never known a smarter dog than Fido.
1,187,The bear sniffs
1,188,Brenda and Molly haggled.
1,189,John not left the town.
1,190,To which city and which conference did Bill go to?
1,191,The cake was been eating.
1,192,I hunted for game in the woods.
1,193,Who did Kim work for and Sandy rely on Mary?
1,194,"Every student, who attended the party, had a good time."
1,195,Michelle kept the papers behind the desk.
1,196,I separated the egg yolks and the egg whites.
1,197,Sally is such a fool as people think.
1,198,They drank the pub.
1,199,John write books.
1,200,I know how fast you ran.
1,201,The excellent whisky which I went to the store and have bought was very costly.
1,202,Half the doctor that Maxwell's father was sat down.
1,203,John made Mary cooking Korean food.
1,204,Any man who saw the fly in the food didn't eat dinner.
1,205,"I can well imagine the more him eating, the fatter him getting."
1,206,What is bothering you?
1,207,Tom drives like that man.
1,208,She always wore herself.
1,209,John wrote books.
1,210,What I know the boy who was wearing is this hat.
1,211,The cat is out of the bag.
1,212,How was the plot discovered by the authorities?
1,213,Sharon brought Willa breathless.
1,214,There are several people sick.
1,215,John will leave the party earlier.
1,216,He was arrested for being drunk.
1,217,You can rely on Edward's help.
1,218,This actress must play in this movie and she will play in this movie.
1,219,They expected us to should leave him.
1,220,John seems to be easy to fool Ben.
1,221,This drug's testing on oneself is too risky.
1,222,"Every student in Mary's class, by virtue of being in her class, is working on polarity items."
1,223,I lent Tony the book most of the way.
1,224,The department has been chosen John for the position.
1,225,They wouldn't leave soon.
1,226,Who did he believe the claim that he had never met?
1,227,It is unclear why she told him.
1,228,How slowly would you say he was driving?
1,229,They read the sing book.
1,230,Who seemed to have left first?
1,231,Traci gave the whale a lollipop.
1,232,Tom played it under the table.
1,233,I've never seen the taller man than my father.
1,234,I could have little known that more trouble was just around the corner.
1,235,The bear sniff
1,236,They told Sue who to talk to and Virginia when to leave.
1,237,Duty made them never miss the weekly meetings.
1,238,Won't John go to school?
1,239,I am drinking lemonade and eating a brownie.
1,240,Calvin not will eat the beef waffles.
1,241,The window broke from hail stones.
1,242,Mary believed his to have loved her.
1,243,Every who read anything passed.
1,244,The hardest that that it has snowed here is believed was last January 12th.
1,245,"You didn't leave, left you?"
1,246,Fruit fell against the house.
1,247,The city destroyed.
1,248,The horse kicked Penny in the shin.
1,249,Fred feels fine.
1,250,The horse jumped out of the stream.
1,251,John is very fond of Mary.
1,252,Which girl did he give my binoculars to?
1,253,I was happier there than I'm here.
1,254,Columbus believed that the earth was round.
1,255,Emily showed himself to Benjamin in the mirror.
1,256,Mary gets depressed if she listens to the Grateful Dead.
1,257,He would not finish.
1,258,Any lawyer could tell you that.
1,259,Moya's football team loved her
1,260,I found myself doing need sleep.
1,261,Medea tried to poison her children.
1,262,The more people I ask what he will give to the more he reads.
1,263,I saw him leaving the main building.
1,264,The thief chased down the street.
1,265,Which poisonous plant is it certain that we will find in Amazonia?
1,266,John placed the flute.
1,267,I sent to you recipes.
1,268,"They can't do it, can't they?"
1,269,I shipped the package all the way around the world.
1,270,Fruit hit the ground from the tree.
1,271,Kim sang and was accompanied by Sandy.
1,272,"That he was sick, we talked about for days."
1,273,Cohen proved the independence of the continuum hypothesis.
1,274,Some girl who saw anything was happy.
1,275,A good friend is remained to me.
1,276,Ellen and Helen conferred together.
1,277,Bill understands Mary and himself.
1,278,I funneled the mixture to Rina.
1,279,Jason would prefer Medea to have cursed Agamemnon.
1,280,The door hinges squeaked.
1,281,John saw the man with a telescope.
1,282,Reports of which the government prescribes the height of the Lettering on the covers are invariably boring.
1,283,Jake threw the ball all the way to Bill.
1,284,He would can go
1,285,"It is the folks up at corporate headquarters who the sooner you solve this problem, the more easily you'll satisfy."
1,286,Mary thinks that Bill will come.
1,287,Mary didn't see almost every flower.
1,288,John is prouder of having gone than John expected me not to believe he would be.
1,289,I said that she runs.
1,290,Mary considered to have loved her.
1,291,Have they left?
1,292,I praised Mary.
1,293,Jessica stuffed boxes at the truck.
1,294,That brought the letter is Bill.
1,295,Ellen complained about the situation to Helen.
1,296,John intimately spoke to Mary.
1,297,Susan gave the ball halfway to Bill.
1,298,Maxwell isn't half the doctor that I'm certain that he would be if he studied.
1,299,The pigs grunts
1,300,The horse budged.
2,1,Chew the biscuit!
2,2,No man has ever beaten the centaur.
2,3,The hardest that I ever knew a man who said that it had snowed was last January 12th.
2,4,Someone attended every seminar.
2,5,He tries to put on everyone who he doesn't like.
2,6,The chickens seem fond with the farmer.
2,7,John received the parcel.
2,8,Paul exhaled on Mary.
2,9,Some sentences can go on and on and on and on.
2,10,Patrick is likely that left.
2,11,The window broke from hail stones.
2,12,Mary jumped the horse over the last fence perfectly.
2,13,The umpire fell it off.
2,14,Bill followed the road into the forest.
2,15,"Pat has become crazy, and Chris in good spirits."
2,16,He kept some girls who had been injured in the wreck company.
2,17,Free enterprise is compatible with American values and traditions.
2,18,We rummaged the desk for papers.
2,19,Which celebrity did he mention the fact that he had run into?
2,20,John made Mary cook Korean food.
2,21,What was Euclid interested in Plato's description of?
2,22,I dislike it for him to tickle myself.
2,23,Lilly recounted a story to remember because Holly had also recounted a story to.
2,24,The students met to discuss the project.
2,25,"The fatter that that he gets bothers him, the more he eats."
2,26,I am not certain about if he will come.
2,27,The irritating and a bully man was my brother.
2,28,How did Sheila marry tall a man?
2,29,Every man surrounded the fort.
2,30,The tuna will have been eaten.
2,31,John is as intelligent as Mary.
2,32,Jennifer shook her finger at the naughty child.
2,33,He can't have been working.
2,34,Rory eats muffins.
2,35,Joe is taller than I think Mary.
2,36,Anson left before Jenny saw himself.
2,37,How ill has Hobbs been?
2,38,Kim has wondered in which room Gary stayed.
2,39,John has chosen for the position.
2,40,They said him to be rich.
2,41,Chris must liking syntax.
2,42,I often have eaten muffins.
2,43,Gilgamesh might have not been reading the cuneiform tablets.
2,44,Plays and ballets alternate together.
2,45,The foxes seem compatible with the chickens.
2,46,The tuna will be being eaten.
2,47,There stood on the comer a statue of Jefferson.
2,48,Alan told me who wanted to seem to be invincible.
2,49,That Bill's breath smells of onions bothers Erin.
2,50,There ran many people.
2,51,How intelligent do you wonder whether I consider John?
2,52,Ann may spends her vacation in Italy.
2,53,It was several young students in that the policeman met the park last night.
2,54,John wills leave the party early.
2,55,The Paris I used to know is no more
2,56,"When Bill smokes, all the more Susan hates him."
2,57,Susan gave the ball halfway to Bill.
2,58,The middle class will benefit from the new tax laws.
2,59,Absolutely any pilot could be flying this plane.
2,60,Gilgamesh might have been not reading the cuneiform tablets.
2,61,The policeman met several young students in the park last night.
2,62,Did he try ever to talk to the student?
2,63,The kennel in which Mary keeps drugs and Fido sleeps has been stolen.
2,64,Benjamin gave to Lee it.
2,65,Mickey slips all the time up.
2,66,Tessa sprained Mary 's ankle.
2,67,Mary is more than six feet tall.
2,68,Heather cabled the news at Sara.
2,69,There was known to everyone.
2,70,John saw.
2,71,I know you like the back of my hand.
2,72,The audience laughed.
2,73,I lifted onto the table.
2,74,The monkeys seem want to leave the meeting.
2,75,Ayala sent back her cousin the diamond necklace.
2,76,The chicken has eaten.
2,77,The magician echoed the music.
2,78,A friend of mine and a girl who was from his home town met in Vienna who was working in Europe.
2,79,I owe that the jury acquitted me to you.
2,80,Jean was given a prize.
2,81,Amanda drove at the package to New York.
2,82,Fifteen years represent a long period of his life.
2,83,We caught them eat the bananas.
2,84,The fatter he goes to a doctor when he gets the more he eats.
2,85,I believe that the sun was out.
2,86,I sent the package to London.
2,87,I handed the ball.
2,88,Mary should know that you must go to the station.
2,89,Cotton clothes dry easily.
2,90,Ellen warned to Helen.
2,91,John will see which picture of himself?
2,92,"The more you eat, the more you want."
2,93,The potion boiled over
2,94,That the world is round is obvious.
2,95,Pavarotti relied on Loren and Bond Hepburn.
2,96,Any lion is usually majestic.
2,97,I read him Judy's statement about himself.
2,98,Michael asked a question.
2,99,Dana was quite competent.
2,100,Is likely Jean to leave.
2,101,I liked Mary and John.
2,102,No one expected him to to win.
2,103,I haven't left yet
2,104,Cynthia devoured .
2,105,I funneled into the bottle.
2,106,How easy to tease John it is!
2,107,Mary tried to go abroad.
2,108,Better you not drink.
2,109,Stacy danced at the palace.
2,110,I don't know the people present.
2,111,Carrie touched the stick into the cat.
2,112,"The sooner you solve this problem, the more easily you'll satisfy the folks up at corporate headquarters."
2,113,He walked up the hill.
2,114,"She made light, not too surprisingly, of the difficulties we might have at the border."
2,115,What what I ate cost almost broke me.
2,116,I intoned that she was happy
2,117,Where did Perseus see the Gorgon?
2,118,"The money which I will make a proposal that we squander amounts to $400,000."
2,119,John has been taken to the library.
2,120,Brenda and Molly chatted.
2,121,He's enough of the coward to pull the trigger.
2,122,The claim you won't need it is being made by Jack.
2,123,It is to be gentle that John promised.
2,124,We wonder that Bill left.
2,125,It is likely that Bill likes chocolate.
2,126,Mary sent a book to Bill.
2,127,Sam may be had been interrogating by the FBI.
2,128,What did John buy?
2,129,Through the hall echoed a loud cry.
2,130,The bears sniffs
2,131,I didn't eat any ice cream or the cake.
2,132,Gilgamesh never flies dragons.
2,133,"Our friends won't buy this analysis, let alone the next one we propose."
2,134,Linda winked her nose.
2,135,is taller than that man.
2,136,I am delighted that Mary finished his thesis.
2,137,The children amused at the clown.
2,138,That John coughed bothers me.
2,139,I wonder who what bought?
2,140,Robert thinks that students should eat asparagus.
2,141,Mary managed John to go abroad.
2,142,The men were promised to leave.
2,143,Wilma completed the assignment.
2,144,Talkative and a bully entered.
2,145,Conflict engenders.
2,146,John thinks that left.
2,147,The pitchfork loaded the truck.
2,148,The boy ran.
2,149,"This is the problem that you'll beat the competition more easily, the sooner you solve."
2,150,Brian wiped the fingerprints from outside the cupboard.
2,151,The squirrel is right angry.
2,152,Rub the baby with the cloth torn.
2,153,"Although in came Aunt Norris, Fanny continued talking."
2,154,The jeweller inscribed the ring with the name.
2,155,The time elapsed the day.
2,156,Mary noticed John's excessive appreciation of himself.
2,157,Tessa sprained.
2,158,Dorothy needs the skills in her.
2,159,For John either to make up such a story or to repeat it is outrageous.
2,160,John deposited some money in the bank on Friday.
2,161,The drunk and the lamppost hugged.
2,162,They are intense of Bill.
2,163,He believed there to be likely that he won the game.
2,164,Bartlett and Toni danced.
2,165,Carla shoveled the walk of snow.
2,166,I loaned my binoculars a man who was watching the race.
2,167,I gave a birthday present to my brother.
2,168,The beer bubbled.
2,169,The big man from NY has often said that he gave peanuts to elephants.
2,170,The roof is leaked.
2,171,That that John showed up pleased her was obvious.
2,172,The tub filled with water.
2,173,No student who read anything passed.
2,174,John believes himself to be proud of Mary.
2,175,I wonder who Bill saw and Mary liked.
2,176,The ball rolled the hill.
2,177,Myself shaved me.
2,178,We proclaimed to the public John to be a hero.
2,179,Didn't that guy who the Game Warden and him had seen a flying saucer crack up?
2,180,Pelé visited his uncle.
2,181,Paul exhaled at Mary.
2,182,The building is tall and tall.
2,183,Did that Medea killed her children upset Jason?
2,184,The University's students are intelligent and faculty is committed to freedom.
2,185,The poem that Homer wrote.
2,186,Carol carved the tree's branch.
2,187,He gave me many marbles.
2,188,There hopes to finish the project.
2,189,"They can't do it, can he?"
2,190,It is Ireland that he is going.
2,191,I sent money to Mary.
2,192,I sent the package all the way around the world.
2,193,Agamemnon seems to have left.
2,194,You shouldn't play with rifles because play with rifles to is dangerous.
2,195,I was happier there than I'm here.
2,196,Benjamin gave Lee the cloak.
2,197,Susan hopes to sleep.
2,198,He rowed Penny across the lake.
2,199,I read a statement which was about that man.
2,200,Jennifer craned her arm.
2,201,John sounded the student.
2,202,Bill alleged that Roger had eaten the cake.
2,203,What did he reply?
2,204,Tony bent Mary in the arm.
2,205,This girl in the red coat will and dress must put a picture of Bill on your desk.
2,206,The fans were deliberately provoked by a rival group.
2,207,Mira blamed Terry for the accident.
2,208,The door was pushed open.
2,209,John couldn't leave the party.
2,210,John is taller than that man is.
2,211,Myra took Betty's snooze.
2,212,John saw Stephan
2,213,There seems to run many people to the station.
2,214,Why don't you leaving me concentrate on my work?
2,215,She writes clearly enough.
2,216,Some happy pigs which can fly love truffles
2,217,"John gave Mary, and Joan presented to Fred, books which looked."
2,218,Maxwell isn't half the doctor that I know an African chief who is.
2,219,Briana showed himself Justin.
2,220,She buys for Harrods.
2,221,I've never seen the one man taller than my father.
2,222,How quickly did you eat the cake?
2,223,The child wail
2,224,I introduced her to he.
2,225,John tried for Bill to play checkers.
2,226,I mixed the eggs and cream.
2,227,"José asks that we go to the meeting, and Sally will tell us when."
2,228,The secretary transcribed the record with the speech.
2,229,much tool is needed.
2,230,The change pocketed.
2,231,John is prouder of having gone than nobody expected me to believe he would be.
2,232,"John may drink water, and Bill drink beer."
2,233,The house is been remodelling.
2,234,John was unknown to be the murderer.
2,235,"The police read the detainees their rights, but not a single one was paying attention."
2,236,John put books in the box.
2,237,Every man who said he would buy some salmon did buy some salmon.
2,238,I asked what John kissed.
2,239,He walked right the wall.
2,240,He has will seeing his children.
2,241,He could not have been working.
2,242,That you came early surprised me.
2,243,John did leave.
2,244,Which god the statue?
2,245,The student knowing the answers.
2,246,The company sent China its senior mining engineers to help plan the new mines.
2,247,Time flies like an arrow.
2,248,Sam offered the ball off the shelf.
2,249,Sasha is gobbling down dumplings faster than I can reheat them.
2,250,"Those people, after the party, will not come home."
2,251,John knows that she left.
2,252,The horse broke Penny in the shin.
2,253,"Fluffy is sick, as surprises me."
2,254,Mickey pointed that Gary had left out.
2,255,Which books did Robin read and talk to Chris?
2,256,The monkey seems despondent that it is in a cage.
2,257,How brave he is tall and!
2,258,the enemy's destruction of the city was horrific.
2,259,Melissa searched a clue in the papers.
2,260,It was such an awful picture that I tore it up.
2,261,There tried to be intelligent.
2,262,I wonder who it was who saw you.
2,263,She said Moya liked football.
2,264,The kennel which Mary made and Fido sleeps in has been stolen.
2,265,Eat dirt!
2,266,A solution to the problem presented itself yesterday.
2,267,I wondered who had Medea poisoned.
2,268,Cheese mice love stinks.
2,269,It was John that was waiting at the restaurant.
2,270,It is the main street.
2,271,Which pictures of himself did Chris see in the gallery?
2,272,How fond of Esther is Agamemnon?
2,273,Carol carved the stone.
2,274,The puppy loved peanut butter cookies.
2,275,little clue could be found.
2,276,Mary has more friends than just Bill and Pete are.
2,277,The piano kicked a student.
2,278,They lent me with a bicycle.
2,279,I prefer for the girl to win.
2,280,Bill seems to him to be handsome.
2,281,I sent Bill money to Mary to Sam.
2,282,I gave the package to London.
2,283,What she thought that was the poison was neutralised
2,284,Who did he believe the claim that he had never met?
2,285,Bill left when I believe the bomb had just exploded.
2,286,The dog that the rat bit chased the cat.
2,287,I wondered whether Medea had fled.
2,288,What is bothering you?
2,289,Steve pelted Anna with acorns.
2,290,It is an alive fish.
2,291,The magician vanished a rabbit into thin air.
2,292,Every student who handed in any homework will get a prize.
2,293,The cat touched.
2,294,It was kissed the puppy.
2,295,Baseballs toss easily.
2,296,You kicked you
2,297,I assumed him to be innocent
2,298,much armchair is needed.
2,299,Rory has eaten the muffins.
2,300,Jason arrived by Medea.
3,1,The place which I live at is the place where Route 150 crosses the Hudson River.
3,2,Children poison easily.
3,3,The book valued at $200.
3,4,It is that he wants to quit school that John told us.
3,5,the bottle drained the liquid free.
3,6,Sally believes that she is brilliant.
3,7,It's not the case that every boy has any potatoes.
3,8,Tessa sprained.
3,9,John's mother sent a letter to Mary.
3,10,John does not like Mary.
3,11,I sent to you it.
3,12,To please John is ready.
3,13,You or Kerry have perjured yourselves.
3,14,Angela characterized Shelly as a lifesaver.
3,15,That anybody ever left at all is not certain.
3,16,few equipment is available.
3,17,She disappeared when the main party arrived.
3,18,There tried to be intelligent.
3,19,I differed this flyer from that flyer.
3,20,The cat trotted in the kitchen.
3,21,They read the book.
3,22,Mary really appreciates and constantly praises herself and Sue knows it.
3,23,The therapist analysed Lucy
3,24,Mary believed his to have loved her.
3,25,John is prouder of having gone than John expected me not to believe he would be.
3,26,Which poet wrote which ode?
3,27,For John to train his horse would be desirable.
3,28,The best writer was considered Andrew.
3,29,"The more you eat, the less you want."
3,30,There seems to be a fountain in the park.
3,31,Suddenly there entered the hall an ugly old man.
3,32,Anson gave Fluffy to Jenny.
3,33,A variety of styles have been in vogue for the last year.
3,34,Drowning cats are hard to rescue.
3,35,Which boy's guardian's did we elect employer president?
3,36,I am fond of circus performers.
3,37,It is this hat that it is certain that he was wearing.
3,38,The president declared Smith press secretary.
3,39,I've kicked more of a man than you have.
3,40,He is believed by John to have been at the game.
3,41,Is this teacher a genius?
3,42,Most boys did not laugh.
3,43,They told Sue who to talk to and Virginia when to leave.
3,44,John promised Bill to leave tomorrow morning.
3,45,He's reliable enough a man.
3,46,"Sally is tall, and may be, and Sheila is short, and definitely is, blond."
3,47,Kim must bakes a cake.
3,48,They painted their house a hideous shade of green.
3,49,Jill gave the ball towards Bob.
3,50,I was hunting game.
3,51,"Mary was told to bring something to the party, so she asked Sue what to."
3,52,Mary has more friends than just Bill and Pete are.
3,53,I gave her so.
3,54,There is strangers in that garden.
3,55,They read the every book.
3,56,Heidi said that Bill's pictures of herself were embarrassing.
3,57,We all thought him was unhappy
3,58,I didn't eat any ice cream or Mary's cake.
3,59,She tried to left
3,60,What the baby did was chew the biscuit.
3,61,I put.
3,62,That he is coming is clear.
3,63,This matter was on which I consulted with the chairman of the Select Committee.
3,64,The person with who we were talking left.
3,65,The student knows the answers.
3,66,He's such a tall man.
3,67,Sally eats more the stuff.
3,68,Any pilot except Sue could be flying this plane.
3,69,"Although he likes cabbage too, Fred likes eggplants."
3,70,John believes him to be a nice guy.
3,71,Has John sung a song?
3,72,Her efficient looking of the answer up pleased the boss.
3,73,They brought the hat to the teacher
3,74,The box gradually contained the ball.
3,75,The two boys looked up the high stairs.
3,76,Dina posed as a lawyer.
3,77,Ellen told a story.
3,78,I am angrier than sad.
3,79,The king kept putting his gold under the bathtub.
3,80,Carol carved the tree's branch.
3,81,It was Tom who spilled beer on this couch.
3,82,This is the box in which John put his gold.
3,83,John got the book from Bill.
3,84,"Once Janet left, Fred became much crazier."
3,85,They should have all sent Oedipus to Thebes
3,86,The crew have both agreed to change sponsor.
3,87,The room was left angry by Mary.
3,88,"The harder it has rained, how much faster a flow appears in the river?"
3,89,Italy and France touch.
3,90,It's high time Fiona gets a job.
3,91,There might be a unicorn in the garden.
3,92,That's a kindest answer that I ever heard.
3,93,Tagalog is speak in the Philippines.
3,94,Would for him to have played the piano have surprised you?
3,95,The intrepid pirate and the fearful captain's mate sunk the galleon.
3,96,Sam cut himself free.
3,97,Jennifer swatted Steve.
3,98,Snow caps the mountain.
3,99,The explosives destroyed the warehouse.
3,100,The tall nurse who Tony has a Fiat and yearns for is cruel to him.
3,101,Jessica loaded boxes at the truck.
3,102,John that we are looking for showed up.
3,103,Everyone who had been worrying himself stiff said that he was relieved.
3,104,The students demonstrated the technique this morning
3,105,The box contained the ball.
3,106,"I don't think Fred will, either."
3,107,Joe hoped for Beth to find a solution.
3,108,On whom does Dana believe Chris knows Sandy trusts?
3,109,The audience laughed.
3,110,Being lovely to look at has its advantages.
3,111,Susan gave the ball halfway to Bill.
3,112,Any lion is generally majestic.
3,113,I wonder you ate how much.
3,114,You're going to hurt yourself one of these days.
3,115,Amanda drove the package from Boston.
3,116,There arrived by Medea.
3,117,Volunteers praise easily.
3,118,Beans I don't like.
3,119,The tornadoes that tear through this county every spring is more than just a nuisance.
3,120,much advice is needed.
3,121,Ivan got a headache on Wednesday from the disgruntled students of phonology from Michigan.
3,122,They persuaded it to rain.
3,123,They can very.
3,124,This is the politician on whom Sandy relies.
3,125,The picture of Bill she slept.
3,126,That she loved him and it was painfully evident that he loved another.
3,127,There was him in the garden.
3,128,Strings have been pulled many times to get students into that university.
3,129,Sue knows the answer.
3,130,A friend of mine who was working in Europe and a girl met in Vienna who was from his home town.
3,131,"They said nobody would pay up, but pay up I know a boy who did."
3,132,He is the kind of person with whom to consult.
3,133,Is putting the book in the box.
3,134,There ran a little boy in the yard.
3,135,The next morning we set out for Seoul.
3,136,People are seething in the square.
3,137,We caught them eat the bananas.
3,138,The rope stretched over the pulley.
3,139,I showed every boy a planet.
3,140,Chris said that himself was angry.
3,141,One of the story has appeared in your newspaper.
3,142,Catherine feared that was the Abbey haunted.
3,143,Which celebrity did he mention the fact that he had run into?
3,144,What do you believe that iron is to be a fact well known to virtually everybody?
3,145,The new policy was approved by the executive committee.
3,146,"They can't stand each other, they."
3,147,the whistle tune was beautiful.
3,148,The elevator rumbled itself to the ground.
3,149,"Because never had Sir Thomas been so offended, even Mr Yates left."
3,150,Experts all agree that dreams cause great anxiety and stress are called nightmares.
