sample_id,sentence_id,words
1,89,"After 9/11 , Yazid Sufaat traveled to Afghanistan and Pakistan to work for the Taliban Medical Brigade and to continue his work with anthrax ."
1,90,"Never miss an appointment because they will charge you the price of a treatment , even if you had an emergency ."
1,91,Can you recommend where these companies each fit within the new organization ?
1,92,My only concern is that we take the boys away from their overwhelming task .
1,93,- ENRON.XLS << File : ENRON.XLS >>
1,94,They did it once already in Iraq .
1,95,Thank you .
1,96,"At the Barton hearing , a liberal democrat ( Filner ) and a conservative Republican ( Hunter ) locked arms in calling for refunds ."
1,97,"Seems like all they care about is the money and getting home on time , NO care for the customers AT ALL !!!"
1,98,"Point is : You might be able to get a good deal on some nice furniture -- which I did -- but they 're not very communicative and god forbid something goes wrong , you 'll have to fight to get it resolved ."
1,99,Senator Leahy was Chairman of both the Judiciary Committee overseeing the FBI and Appropriations Subcommittee in charge of foreign aid to these countries .
1,100,"I called Home - Excel the next day to order a replacement screen for the window , and was happily surprised when they said that they were n't even going to charge me for the replacement screen ... that it would be covered under their guarentee ."
2,1,"Bangs said the agency has established viable wolf packs in the northern Rockies , as required by federal regulations ."
2,2,"Note that the credit thresholds are in US $ , but the MACS are designated in British Pounds ."
2,3,"My wife and I , in our 60's at the time , originally planned a 3 generation trip but some family emergencies caused everyone else to cancel ."
2,4,I 'm really thankful for the folks at HR Office .
2,5,select EnronOnLine ( this is the EOL Datamanager )
2,6,"I had paid in cash , and he said he had no receipt / record of my purchase ."
2,7,"It 's a really huge place over there , and so many visitors / foreigners went to put chains and locks over there !"
2,8,We were booked at the Sheraton with a number of other out - of - town wedding guests .
2,9,She asked me to bring the original piece back and I told her I had to use it on the job .
2,10,Decide volunteering is not your thing and give them back !
2,11,I 'll be in town through Sunday morning .
2,12,"Nice local pub , excellent food ( especially wings ) , and do n't go if you have a limited amount of time ."
2,13,I am definitely going back
2,14,"they may then chose to ask you to bring more evidence , or just look up the record and hand you the certificate ."
2,15,Overall Hino finance dealer of the year .
2,16,"To prevent animal cruelty , many countries forbid Halal and Kosher meat ."
2,17,OVERVIEW
2,18,I am very unhappy here .
2,19,"Finally , it must be said that Stuart is a fantastic person to work with , because of his solid strategies and equally as importantly because he is a genuinely good person and a great communicator ."
2,20,We should have left then .
2,21,I have used Just Like Family several times now and they have provided great care for my two dogs .
2,22,"Keep in mind though that if you end up failing I will not let you forget it ( and , as we have established , I have the memory of an elephant ) ."
2,23,"The conference call has been rescheduled for Friday , Sept. 17 at 9 am ( Houston ) which is 11 am ( Sao Paulo ) ."
2,24,Incredibly rude and I will not return to it .
2,25,"As the leaders like to boast , the Mujahedeen is a family affair ."
2,26,In a few days the snake will begin to shed its skin .
2,27,"So , can rabbits and chickens live together as long as they have separate places for their food and water ?"
2,28,"The administration is hell bent on finding a "" fall guy . """
2,29,Remarkably clear explanation .
2,30,When the male gets his titts out the female gets mad with him knowing he ca n't produce milk .
2,31,Remember snakes can go a while without eating .
2,32,"He took the time to explain things to me about my computer , i would recommend you go to him ."
2,33,No Moslem preacher has ever blown himself up .
2,34,Horrible Service !
2,35,Here it is .
2,36,She had to hack her way through the ceiling of her beauty shop as flood waters rose in the city of half a million people - much of which lies below sea level .
2,37,Would a more appropriate time be after the Global Operations Controller meeting in October when we should have worldwide buy - in and commitment to these standards and ( hopefully ) our first draft of a meaningful exception report ?
2,38,"The telephony group has the new TW Hotline number and extensions ready for use , I have the solution center entering the greetings and Terry Kowalke has a new form and procedure for the Customer Service Reps. to use for updates ."
2,39,How to convince my parents to let me get a Ball python ?
2,40,"Sometimes back , Paul told George in the Apple offices that the new generations are a bundle of idiots and useless people , but in any way they would have also been slaves of the Beatles ."
2,41,"If no one objects , I will be the lead coordinator on Florida starting tomorrow ."
2,42,"In 1972 , Baba Groom was a smart , funny young woman smack - dab in the middle of an exciting US Senate campaign ."
2,43,( I am also a little suspicious of all these glowing reviews ... )
2,44,4.7 m - Number of bankruptcies that were declared during Bush 's first three years in office .
2,45,"If you have not already made these decisions , Essie 's guidance should be helpful ."
2,46,louise
2,47,"On the other hand , the report thinks the news might not be so bad for the North Atlantic fisheries ."
2,48,"After the sentencing one of Robinson 's tearful supporters "" turned to Claudia Vercellotti , a local leader of the Survivors Network for Those Abused by Priests [ SNAP ] , who had helped reopen the case , and told her , ' I hope you rot in hell ! ' """
2,49,Everything around you is so vast .
2,50,"Randy , this is the issue I left you the voice mail on ."
2,51,But we can be very thankful to have such great parents and to have had the privilege to have been raised in such loving homes .
2,52,And this was simply his opening gambit ; he would start talking about that he had been out late the night before drinking .
2,53,It surrounds you .
2,54,- Filet - O - Fish
2,55,Going to be a wild ride .
2,56,John Schwartzenburg@ENRON_DEVELOPMENT
2,57,So the last weekend in January would work well ( and I will need a rest from formal affairs ! ) .
2,58,"In all this so - called controversy , has anyone considered that perhaps George Bush just wanted to fly jets ?"
2,59,""" ( China ) could be the second country to do that , "" Pike said ."
2,60,"The service was also excellent - friendly , helpful and informative without being overbearing ."
2,61,Does that work for you ?
2,62,We have never had a bad experience buying from Edmark .
2,63,"You are right , we do need a formal plan , Thane has started an initial draft ."
2,64,----------------------------------------------------------------------
2,65,GOODWYN : Archibald says the frequency with which Mr. Bush discussed the subject was off - putting to him .
2,66,"I used one of these cages short term for a pet and it was n't that great to be honest , pretty cheaply made , the door springs are annoying and it does n't last very well ."
2,67,"Arthritis of the spine , neck , waist and other joints will be removed ."
2,68,"In the photo on the couch , the pillow she is resting on clashes with everything else in the shot ."
2,69,She 's very reachable and she has always responded quickly to any questions or requests .
2,70,Within a week we noticed one of the boards on our gate splitting where a nail had gone in .
2,71,"My concern is that between now and then Dunn , the AG have the time and resources to make a heckuvalot of mischief , which could be detrimental to generators / marketers ' claims ."
2,72,The present evidence relating to Atta 's alleged travel to Prague does not warrant a conclusion that Al Qaeda obtained the Ames strain from Iraq .
2,73,We had an inside cabin and it is what I would recommend .
2,74,"Service was average , but nothing special , and restaurants that are supposed to be excellent should do a better job of training their waitstaff to be communicative and friendly , not merely capable ."
2,75,"What I heard was the Mayor of New Orleans , saying that he did n't order the buses or anything else to be used because he was waiting on someone else to tell him what to do ."
2,76,Ben Rogers
2,77,I really ca n't help you .
2,78,"Our distinguished colleagues in this business transaction include the sitting vice-president of the United States of America , Richard Cheney , who is an original partner in the Iraq venture and former head of the Halliburton oil company , and Condoleeza Rice , whose professional dedication to the venture was demonstrated in the naming of a Chevron oil tanker after her ."
2,79,[ Karzai also has to deal with the stepped up rivalry between India and Pakistan in Afghanistan .
2,80,Diane Goode Senior Specialist
2,81,I have worked with Shannon as my massage therapist and intuitive bodyworker for years and have never been disappointed .
2,82,"It will give you a lot more power , as well as control over how your black and white photo looks :"
2,83,John
2,84,"Some conservationists want the protection extended so wolves can move into other states , including Colorado , Utah and Oregon , among others ."
2,85,"Regards ,"
2,86,Some of the better comments :
2,87,Professional and inspiring
2,88,Islamabad accuses New Delhi of using its consulates in Kandahar and Jalalabad to train Balochi insurgents who are active in Pakistani Balochistan .
2,89,They are also very secretive about being in a relationship .
2,90,it s for a craft project ..... i want to use it the way u would use icing ....
2,91,DENISE LAGESSE
2,92,I hav n't heard of it .
2,93,How is the site doing ?
2,94,"Michael Gapinski Account Vice President Emery Financial Group PaineWebber , Inc. 713-654-0365 800-553-3119 x365 Fax : 713-654-1281 Cell : 281-435-0295"
2,95,After discussions with the commercial group I propose that that redlined language be added to the attached Dynegy agreement and to the 4 other negotiated rate agreements we 've done .
2,96,Why does it always have to be my deals ...?!!!
2,97,"To my friend , thank you for your recommendation ... you were true to your words in saying Gerry is a "" Saintly Instructor ... Absolutely Simple the Best Instructor and Best Driving school there is !"
2,98,When was the last time you heard about a ship sinking ?
2,99,"The newly released papers , showing him complicit in the airliner bombing , were mentioned"
2,100,My Favorite in McLean
3,1,Wednesday does n't work for me .
3,2,""" Thou art growing less doltish and more shrewd every day , Sancho , "" said Don Quixote ."
3,3,Hello .
3,4,"For example , is the system of Crowleyan Thelema a failed alchemical process ?"
3,5,"I came to know of you in my search for a reliable and reputable person to handle a very confidential business transaction , which involves the transfer of a huge sum of money to an account requiring maximum confidence ."
3,6,It was a no brainer really .
3,7,"Your cycle of learning through the school of hard knocks has come to an end , Gemini , and now you 're going to start reaping the rewards these "" lessons "" have left in their wake ."
3,8,"Because of such talk , Posada has been taken into custody by Immigration officials ."
3,9,"Hopefully , if we 're still dating come December , you and Chuck can meet him when you come back to visit ."
3,10,"While there was n't too much available for their age ( ball pit , bouncy area and a little padded pyramid to climb on ) , we went right when they opened at 10 am on a winter weekday and ended up being the only ones there , so we were given a little more liberty than we would have if others had been there ."
3,11,I called the front desk and got no answer .
3,12,"Before treatment , my food cravings were "" out of control "" which caused me to be stressed out ."
3,13,Fear complexes will be removed .
3,14,Base Salary 65 k
3,15,Our attorneys and internal audit area have made one language revision concerning Section XIII Audit Rights .
3,16,Saddam never did anything practical to help the Palestinians .
3,17,"An altar cloth was draped over her half - naked body , which was posed as if she had been sexually assaulted ."
3,18,The price is quoted in JPY ( the ' Foreign Currency ' ) per US Dollar ( the ' Base Currency ' ) .
3,19,"We met a couple of weeks later , Ted was late ."
3,20,"Anyway , I tried to get a preorder but no places were selling it so I missed out on 2 / 3 weekend events ."
3,21,UNITED PRESS INTERNATIONAL
3,22,3 Days For get that ...
3,23,"35 m - Number of Americans that the government defines as "" food insecure , "" in other words , hungry ."
3,24,It 's only $ 10 and in essence just one big petting zoo .
3,25,I saw this place and it looked like the HOLY GRAIL .
3,26,http://news.bbc.co.uk/2/hi/programmes/this_world/4446342.stm
3,27,"Chalabi describing Sha'lan as a "" Ba'athist "" and a "" former double agent for Saddam and the CIA "" , while Sha'lan dismisses Chalabi as a "" thief "" and an "" Iranian stooge who longs for his own origins by defending Iran "" ."
3,28,"I needed a part for my appliance , the cost was very high so I said never mind , paid the fee and called a local business for a second quote ."
3,29,China launches its second manned spaceflight mission
3,30,Please only reviews on the three I mentioned earlier .
3,31,http://nigeria.usembassy.gov/scams.html
3,32,It reminds me too much of the ARVN officers who were secretly working for the other side in Vietnam .
3,33,Question ID : 420072
3,34,The white pages allowed me to get in touch with parents of my high school friends so that I could track people down one by one and the restaurant section is basically my cookbook .
3,35,"she knows she is invading someone else 's territory , but ca n't help it , and has no where to go ."
3,36,Senior US diplomats and military officials have warned India also .
3,37,Kathleen
3,38,Please let me know Monday morning .
3,39,"It 's just no longer bureaucratically impolite to openly contest the FBI 's ( former ) theory about a lone , American scientist ."
3,40,I 'll take TCO pool at Index and sale Leach or Pool at Index - $ .04 .
3,41,I also realize that some may not have done any works on paper or they are outrageously expensive .
3,42,"2005 is bound to bring at least one major success in the love department , and your career will be brimming with new enthusiasm and innovation ."
3,43,"Flex your muscles , friend Libra , and prepare for a relatively easy ride ."
3,44,it is centrally situated .
3,45,"Now , Debbie wants it ."
3,46,Rosalee
3,47,"One compelling argument for reintroduction was the wolf acts as a keystone predator , an animal that affects the populations , behavior and ecology of a wide variety of species within its range ."
3,48,"No matter what progress we make as individuals in becoming healthier , we will never achieve real health until we collectively decide to create a healthier reality ."
3,49,"I really enjoyed the staff at Wessex , also the manager Sherri was always very nice and helpful ."
3,50,"Rev. Bill McGinnis , Director http://www.LoveAllPeople.org and http://www.InternetchurchOfChrist.org"
3,51,"I never got a price quote over the phone and they take your cc info just to make the appointment because if you do n't show up , they 'll charge you ."
3,52,"The bus is obviously the cheaper option , and travelling up from Buenos Aires the trip is a full 20 hours , although the buses are very comfortable with spacious reclining seats ."
3,53,Travelled to Delhi twice and stayed there twice .
3,54,She has always been there for Gracee even for last minute calls !
3,55,See you all there - this is ling overdue
3,56,"I am nervous that my other fish will eat them , and I do n't know what to feed them !"
3,57,Try visiting the kittens a few times a day for short periods of time .
3,58,- Alberta Transmission Access and Pricing Analysis_0712 .doc << File : Alberta Transmission Access and Pricing Analysis_0712 .doc >>
3,59,Sinh Cafe is not a Cafe .
3,60,"I enjoyed your presentation , and meeting you briefly afterwards , at the SIAM Workshop last Friday ."
3,61,Please review and let me know what you think .
3,62,01/25/2001 02:02 AM
3,63,Peace .
3,64,Excellent bagels and excellent service !
3,65,"When we expressed our discontent to the manager ( that 's right , the manager ) , did he say he would return some money , did he say he would give a discount on our next visit , did he just say "" I 'm sorry "" ."
3,66,"Working with Rod Jacobsen was my first experience working with a CPA , so I did not know what to expect ."
3,67,I thought I would have to wait until I went home to NYC .
3,68,I have not had the patience to get it working - I will call you some evening and we can walk thru it .
3,69,"NO , I have not done an EPM test but have done an extensive blood panel and my vet did a neurological physical exam ."
3,70,"Again , pairs or trios and pretty big living space ."
3,71,"The answer is likely D : all of the above , due to this being a complex reality we live in ."
3,72,Both bathrooms look like they were flooded and the wood cabinets are thrashed at the bottom and they slapped some pieces of wood over to try to cover it up .
3,73,"The investigative committee , headed by state Sen. Joe Dunn , D - Santa Ana , is focusing on a series of events last fall filled with enough Shakespearean plot twists and intrigue that it has earned a name around the Capitol : "" the palace coup . """
3,74,I always thought Mayko or Meiko is a Japanese name .
3,75,He is now being outperformed by his successors .
3,76,"They trust you and me to be befuddled by their actions , while they "" do as they wilt . """
3,77,You appear to be feeling better though .
3,78,A Sri Lanka - born Tamil with a Norwegian passport was arrested by Thai authorities in 2000 for his links with the LTTE .
3,79,46 - Percentage of Republican federal judges when Bush came to office .
3,80,Ken
3,81,I will email names and email addresses ( or postal addresses ) of signers to NCRC4ME in time for their “ lobby day ” in Raleigh on March 15 .
3,82,"However if you plan on getting one , then get more than one at the same time they need company ."
3,83,Your mama is so fat : When she hauls ass she has to make two trips .
3,84,"However , in April 2001 , the IAEA published Fifteen Years after the Chernobyl Accident - Lessons learned . which contradict the earlier reports ."
3,85,"A girl would show up , then a guy in a nice car would show up ."
3,86,"My hair looks amazing , and I get compliments all the time ."
3,87,I can tell you we were pleasantly surprised -- BT has taste memory and each time back the food was consistently delicious -- same dishes -- were consistent .
3,88,86M - Enron Net Works LLC
3,89,it wase nt going an had a gear box problem ....
3,90,We stopped in and got some take out and can not stop going back .
3,91,China has its own reserves of oil and natural gas and once was a net oil exporter .
3,92,"Visualize the inside of your body bathed in the golden light , absorbing every ray and glowing as radiantly as the sun ."
3,93,"My 2004 x - type was getting close to 100,000 miles so it was time for an upgrade ."
3,94,You did a great job at the hearing ---- it went decidely downhill after you left .
3,95,From : saem_aero - ga on 26 Oct 2004 18:11 PDT
3,96,What s the easiest thing ?
3,97,Thank you for the invitation .
3,98,"Huge selection and , great suggestions from the staff and they refer you to reliable places if they do n't have what you need ."
3,99,"3 ) Make Iraq another Afghanistan , using the Republican Right 's own tactics against them ."
3,100,"Thank you for your concern , but Europe is still irrelevant . """
