item_id,premise,hypothesis
ps_de_003332,"Während alle Hoffnung, die Taliban zu vertreiben, schwand, wurde die Debatte über geheime Unterstützung der Gegner des Regimes neu entfacht.","Die Taliban konnten nicht aus Kabul entfernt werden, also diskutierten einige Mitglieder des US-Militärs über die Unterstützung ihrer Gegner."
ps_de_003404,"Siehe Geheimdienstberichte, Verhöre von KSM, 1. Juli 2003; 5. September 2003.",KSM wurde 2003 verhört.
ps_de_003412,"Die Explosion tötete sechs Menschen, verletzte etwa 1.000 weitere und entdeckte Schwachstellen in der Notfallvorsorge des World Trade Centers und der Stadt auf.",Ungefähr eintausend Menschen wurden bei der Explosion verletzt.
ps_de_003480,"Er gab außerdem an, dass Atta ein Kernkraftwerk auf seiner vorläufigen Zielliste hatte, Bin Laden jedoch entschied, diese Idee fallen zu lassen.",Auf der endgültigen Zielliste stand kein Atomkraftwerk.
ps_de_003630,Wir werden das Ziel erreichen.,Wir werden das Ziel von $ 2 Millionen erreichen.
ps_de_003703,"Diese Spender Gruppe hilft direkt der Universitätsleitung um notwendige kosten für Dotzenten, Studenten und Angestellte zu decken.",Der Kanzler wird bei der Ausführung seines Amtes Unterstützung erhalten.
ps_de_003742,Es ist Zeit für den sprichwörtlichen LETZTEN AUFRUF!,"Es ist Zeit für den letzten Anruf, weil wir um 2 Uhr morgens schließen."
ps_de_003802,"Sollten Sie weitere Fragen haben, zögern Sie bitte nicht, unseren Mitgliedschafts-Koordinator, Chris Young, unter (800) 877-6773 anzurufen.","Chris Young ist ein Mann, der unser Koordinator für die Mitgliederbetreuung ist."
ps_de_003834,"Ich machte mein Indianapolis-Debüt als Regisseur vor einem Monat mit Wer den Wind sät, einem Klassiker der amerikanischen Bühne, an dem mehr als 5.500 Junior-High- und High-School-Schüler teilnahmen.",Mehrere tausend Schüler der Mittel- und Oberstufe haben ein Theaterstück gesehen bei dem ich Regie geführt habe.
ps_de_003848,Und doch wird es im Wandel Kontinuität geben.,Die Veränderung wird ein neuer Anfang sein.
ps_de_003920,"Eine vor Kurzem durchgeführte Lou-Harris-Umfrage zeigt, dass über 66% der heutigen weiblichen Geschäftsführerinnen bei den Pfadfindern waren.",Zwei Drittel der weiblichen Geschäftsführerinnen waren früher Pfadpfinderinnen.
ps_de_003922,"Sie und alle anderen interessierten Mitglieder helfen dabei, das stolze Erbe unseres Staates zu bewahren und zu fördern.",Der Staat braucht Hilfe.
ps_de_003980,"Auf diese Art und Weise versucht YMCA  seine Mission zu erfüllen, christliche Werte mithilfe von Programmen zu implementieren, die persönliche Entfaltung unterstützen und zu spiritueller, geistiger und körperlicher Gesundheit für alle beitragen.","Der YMCA fördert nur Prinzipien, die von der Church of Satan in ihren Programmen vertreten werden."
ps_de_003986,Die Freunde arbeiten auf zwei ebenen die Stadtweiten Freunde und die lokalen Freunde - und du kannst entweder bei einer oder bei beiden ebenen mitmachen.,Es gibt zwei Arten von Freunden.
ps_de_004003,"Bitte denken Sie betend darüber nach, wie viel Sie geben können.","Ich weiß, dass Sie religiös sind, also denken Sie bitte daran, was Gott dazu sagen würde, wenn Sie etwas spenden würden."
ps_de_004049,Es gibt jedoch einen Trostpreis für die Menschheit.,Es gibt keine positive Seite für Menschen in dieser Situation.
ps_de_004091,"Es ist offensichtlich, dass unsere Diskussion ruhen muss, bis dieses ehrgeizige Buch veröffentlicht wird.",Wir können diese Diskussion sicherlich nicht fortsetzen bis Veröffentlichung des Buches stattgefunden hat.
ps_de_004191,Die gängige Meinung über die musikalische Ragtime schwankt weiter.,Die junge Generation weiß nichts über das Musical „Ragtime“.
ps_de_004239,Sie Können Keine Billigere Antwort Finden,Sie können keine billigere Antwort aus dem Buch finden.
ps_de_004335,Das selbe kann nicht für die New York Times gesagt werden. In ihrem Leitartikel über die Kokain Kontroverse hat die Times empfohlen das Bush ehrlich sein sollte und das Land sein Mass nehmen soll.,"Die Times sagte, Bush sollte alle belügen."
ps_de_004344,"Gerade in Bezug auf die Beschwerde über den Verlass auf Freundinnen schlägt Prudie jedoch vor, dass Sie ein langes und ernstes Gespräch von Herz zu- erz mit Ihrer Frau haben, die Ihre Störung mit ihren Entscheidungen umreißt.","Prudie sagt, du solltest deiner Frau sagen, dass ihre Freunde dich hassen."
ps_de_004388,Solche Ausbrüche des Wahnsinns dauerten drei Jahrzehnte lang und wurden mehr Rokoko.,Der Wahnsinn wurde zu der Zeit nicht bemerkt.
ps_de_004392,"Lass mich damit schließen, die Frage im Voraus zu beantworten, wovon ich weiß, dass sie gestellt wird, nämlich, Meinst du das wirklich ernst?","Ich werde sicherlich hunderte von E-Mails erhalten, in denen ich gefragt werde, ob ich das hier ernst meine."
ps_de_004409,"Die auffallendste Implikation der CMP-Theorie ist, dass die Sorge um die relative Position in Gesellschaften verschwindet, in denen Partner durch andere Mechanismen als Reichtum zugeordnet werden.",Bei der CMP-Theorie geht es um die Paarung von Tieren.
ps_de_004498,"Die Vorschriften der FDA machen es Erwachsenen nicht schwerer, Zigaretten zu kaufen.","FDA Regulationen haben es für Erwachsene fast unmöglich gemacht, Zigaretten zu kaufen."
ps_de_004527,"Und ich sympathisiere mit Ihrer Bemerkung auf Seite 19: Brunners Erstes Autorengesetz. In jedem Text gibt es mindestens einen Fehler, den der Autor dreimal gelesen hat.",Schriftsteller sind sehr sorgfältig; kein einziger Fehler bleibt unbemerkt unter ihren Augen.
ps_de_004651,"Die gebräuchlichsten sind die Wörter in der dritten Gruppe, welche Sexualakte originell definieren.",Einige Wörter beschreiben Sex.
ps_de_004679,"Nichts unterstreicht die subtile Komplexität von Sprachen deutlicher als die Missverständnisse, welche zwischen Piloten, Crewmitgliedern und der Flugsicherung auftreten können.","Die Piloten sind zu sehr im Fliegen gefangen, um gut kommunizieren zu können."
ps_de_004712,"Es gibt Nationalitäten und ethnische Gruppen, die so selbstsicher und so zufrieden mit sich sind, dass ethnische Epitheta entweder wie Kiesel von einem Elefanten abprallen oder als amüsant oder sogar ornamental adoptiert werden.","Einige ethnische Gruppen sind wirklich stolz, weil sie alle Kriege gewinnen."
ps_de_004717,"Goistering war ein seltsamer Begriff für lautes weibliches Lachen; ein schlechter Arbeiter wurde gerufen, seine Entschuldigung könnte gut sein, Old Laurence hat mich heute erwischt!",Goistering bezieht sich auf das Lachen eines Babys.
ps_de_004737,"Schlock Schlecht, billig hergestellte Ware,",Gut gemachte und originelle Ware.
ps_de_004755,Spanisches Geschimpfe ist originell -- echar sapos y culebras bedeutet wörtlkich Frösche und Schlangen schmeissen.,"Spanisch Profanität ist einfallsreich; echar sapos y culebras bedeutet, Frösche und Schlangen zu vertreiben."
ps_de_004763,"(Bevor Sie fortfahren, möchte der Leser vielleicht auch dieses Kunststück versuchen.)","Der Leser möchte vielleicht diese Herausforderung ausprobieren, bevor er fortfährt."
ps_de_004868,"Die einzige Erwähnung, die ich habe, die den Streifen überhaupt erwähnt (Das Pinguin-Buch der Comics), ist im Detail eher lückenhaft.","Die Referenz, die ich habe, ist lückenhaft."
ps_de_004914,Der negativ besetzte Begriff ausgetüftelter Plan tauchte in der Anhörungen mit den Worten des Abgeordneten Jack Brooks auf...,Jack Brooks ist ein Politiker.
ps_de_004917,"Ich war so schnell wie--wie ein Blitz, verstehst du.","Die Veranstaltung hat ewig gedauert, weißt du?"
ps_de_005000,"Inglish unterscheidet sich von Englisch durch fünf Wörter, Ausdrücke, Grammatik, Aussprache und Rythmus.",Inglish ist schwieriger als Englisch.
