form,lemma,irregular,changed,ambiguous,rare,easy,subgroup
and,and,False,False,False,False,True,easy
fought,fight,True,True,False,False,False,irregular
for,for,False,False,False,False,True,easy
in,in,True,False,False,False,False,irregular
Fallujah,Fallujah,False,False,False,False,True,easy
.,.,True,False,False,False,False,irregular
Click,click,False,False,False,True,False,rare
here,here,False,False,False,False,True,easy
To,to,True,False,False,False,False,irregular
view,view,False,False,False,False,True,easy
it,it,True,False,False,False,False,irregular
.,.,True,False,False,False,False,irregular
He,he,True,False,False,False,False,irregular
makes,make,False,True,False,False,False,changed
some,some,False,False,False,False,True,easy
good,good,False,False,False,False,True,easy
observations,observation,False,True,False,True,False,rare
on,on,True,False,False,False,False,irregular
a,a,True,False,True,False,False,irregular
few,few,False,False,False,False,True,easy
of,of,True,False,False,False,False,irregular
the,the,False,False,True,False,False,ambiguous
pic's,pic,False,True,False,False,False,changed
.,.,True,False,False,False,False,irregular
One,one,False,False,True,False,False,ambiguous
of,of,True,False,False,False,False,irregular
the,the,False,False,True,False,False,ambiguous
pictures,picture,False,True,False,False,False,changed
shows,show,False,True,False,False,False,changed
a,a,True,False,True,False,False,irregular
flag,flag,False,False,False,False,True,easy
that,that,False,False,False,False,True,easy
was,be,True,True,False,False,False,irregular
found,find,True,True,False,False,False,irregular
in,in,True,False,False,False,False,irregular
Fallujah,Fallujah,False,False,False,False,True,easy
.,.,True,False,False,False,False,irregular
On,on,True,False,False,False,False,irregular
the,the,False,False,True,False,False,ambiguous
next,next,False,False,False,False,True,easy
two,two,False,False,False,False,True,easy
pictures,picture,False,True,False,False,False,changed
he,he,True,False,True,False,False,irregular
took,take,True,True,False,False,False,irregular
screenshots,screenshot,False,True,False,True,False,rare
of,of,True,False,False,False,False,irregular
two,two,False,False,False,False,True,easy
beheading,beheading,False,False,False,True,False,rare
video's,video,False,True,False,False,False,changed
.,.,True,False,False,False,False,irregular
Compare,compare,False,False,False,False,True,easy
the,the,False,False,True,False,False,ambiguous
flags,flag,False,True,False,False,False,changed
to,to,True,False,True,False,False,irregular
the,the,False,False,True,False,False,ambiguous
Fallujah,Fallujah,False,False,False,False,True,easy
one,one,False,False,False,False,True,easy
.,.,True,False,False,False,False,irregular
You,you,False,False,True,False,False,ambiguous
have,have,False,False,False,False,True,easy
to,to,True,False,True,False,False,irregular
see,see,False,False,False,False,True,easy
these,this,True,True,False,False,False,irregular
slides,slide,False,True,False,False,False,changed
....,....,False,False,False,False,True,easy
they,they,False,False,False,False,True,easy
are,be,True,True,False,False,False,irregular
amazing,amazing,False,False,False,False,True,easy
.,.,True,False,False,False,False,irregular
This,this,False,False,False,False,True,easy
Fallujah,Fallujah,False,False,False,False,True,easy
operation,operation,False,False,False,False,True,easy
my,may,True,True,True,False,False,irregular
turn,turn,False,False,False,False,True,easy
out,out,False,False,True,False,False,ambiguous
to,to,True,False,True,False,False,irregular
be,be,True,False,False,False,False,irregular
the,the,False,False,True,False,False,ambiguous
most,most,False,False,False,False,True,easy
important,important,False,False,False,False,True,easy
operation,operation,False,False,False,False,True,easy
done,do,True,True,True,False,False,irregular
by,by,True,False,False,False,False,irregular
the,the,False,False,True,False,False,ambiguous
US,US,True,False,False,False,False,irregular
Military,military,False,False,False,False,True,easy
since,since,False,False,False,False,True,easy
the,the,False,False,True,False,False,ambiguous
end,end,False,False,False,False,True,easy
of,of,True,False,False,False,False,irregular
the,the,False,False,True,False,False,ambiguous
war,war,False,False,False,False,True,easy
.,.,True,False,False,False,False,irregular
Let,let,False,False,False,False,True,easy
me,I,True,True,False,False,False,irregular
join,join,False,False,False,False,True,easy
the,the,False,False,True,False,False,ambiguous
chorus,chorus,False,False,False,True,False,rare
of,of,True,False,False,False,False,irregular
annoyance,annoyance,False,False,False,True,False,rare
over,over,False,False,True,False,False,ambiguous
Google,Google,False,False,True,False,False,ambiguous
's,'s,True,False,True,False,False,irregular
new,new,False,False,False,False,True,easy
toolbar,toolbar,False,False,False,False,True,easy
",",",",True,False,False,False,False,irregular
which,which,False,False,False,False,True,easy
",",",",True,False,False,False,False,irregular
as,as,True,False,False,False,False,irregular
noted,note,False,True,False,False,False,changed
in,in,True,False,False,False,False,irregular
the,the,False,False,True,False,False,ambiguous
linked,link,False,True,False,False,False,changed
article,article,False,False,False,False,True,easy
",",",",True,False,False,False,False,irregular
commits,commit,False,True,False,False,False,changed
just,just,False,False,False,False,True,easy
about,about,False,False,False,False,True,easy
every,every,False,False,True,False,False,ambiguous
sin,sin,False,False,False,False,True,easy
an,a,True,True,False,False,False,irregular
online,online,False,False,False,False,True,easy
marketer,marketer,False,False,False,True,False,rare
could,could,False,False,False,False,True,easy
commit,commit,False,False,False,False,True,easy
",",",",True,False,False,False,False,irregular
and,and,False,False,False,False,True,easy
makes,make,False,True,False,False,False,changed
up,up,True,False,False,False,False,irregular
a,a,True,False,True,False,False,irregular
few,few,False,False,False,False,True,easy
new,new,False,False,False,False,True,easy
ones,one,False,True,False,False,False,changed
besides,besides,False,False,False,False,True,easy
.,.,True,False,False,False,False,irregular
I,I,True,False,False,False,False,irregular
'm,be,True,True,False,False,False,irregular
not,not,False,False,False,False,True,easy
fond,fond,False,False,False,True,False,rare
of,of,True,False,False,False,False,irregular
the,the,False,False,True,False,False,ambiguous
Google,Google,False,False,True,False,False,ambiguous
-,-,True,False,False,False,False,irregular
hates,hate,False,True,False,False,False,changed
-,-,True,False,False,False,False,irregular
privacy,privacy,False,False,False,True,False,rare
argument,argument,False,False,False,True,False,rare
(,(,True,False,False,False,False,irregular
You,you,False,False,True,False,False,ambiguous
do,do,True,False,True,False,False,irregular
n't,not,True,True,False,False,False,irregular
need,need,False,False,False,False,True,easy
to,to,True,False,True,False,False,irregular
use,use,False,False,False,False,True,easy
their,their,False,False,True,False,False,ambiguous
site,site,False,False,False,False,True,easy
",",",",True,False,False,False,False,irregular
you,you,False,False,True,False,False,ambiguous
can,can,False,False,False,False,True,easy
opt,opt,False,False,False,True,False,rare
-,-,True,False,False,False,False,irregular
out,out,False,False,True,False,False,ambiguous
of,of,True,False,False,False,False,irregular
sharing,share,False,True,False,False,False,changed
your,your,False,False,False,False,True,easy
information,information,False,False,False,False,True,easy
",",",",True,False,False,False,False,irregular
you,you,False,False,True,False,False,ambiguous
do,do,True,False,True,False,False,irregular
n't,not,True,True,False,False,False,irregular
need,need,False,False,False,False,True,easy
to,to,True,False,True,False,False,irregular
send,send,False,False,False,False,True,easy
stuff,stuff,False,False,False,False,True,easy
to,to,True,False,True,False,False,irregular
anyone,anyone,False,False,False,False,True,easy
with,with,False,False,False,False,True,easy
a,a,True,False,True,False,False,irregular
Gmail,Gmail,False,False,False,False,True,easy
account,account,False,False,False,False,True,easy
",",",",True,False,False,False,False,irregular
and,and,False,False,False,False,True,easy
if,if,True,False,False,False,False,irregular
--,--,True,False,False,False,False,irregular
wonder,wonder,False,False,False,False,True,easy
of,of,True,False,False,False,False,irregular
wonders,wonder,False,True,False,False,False,changed
--,--,True,False,False,False,False,irregular
you,you,False,False,True,False,False,ambiguous
're,be,True,True,False,False,False,irregular
worried,worried,False,False,False,False,True,easy
that,that,False,False,False,False,True,easy
you,you,False,False,True,False,False,ambiguous
might,might,False,False,False,False,True,easy
send,send,False,False,False,False,True,easy
something,something,False,False,False,False,True,easy
to,to,True,False,True,False,False,irregular
someone,someone,False,False,False,False,True,easy
who,who,False,False,False,False,True,easy
would,would,False,False,False,False,True,easy
forward,forward,False,False,False,False,True,easy
an,a,True,True,False,False,False,irregular
excerpt,excerpt,False,False,False,True,False,rare
to,to,True,False,True,False,False,irregular
someone,someone,False,False,False,False,True,easy
who,who,False,False,False,False,True,easy
would,would,False,False,False,False,True,easy
then,then,False,False,True,False,False,ambiguous
store,store,False,False,False,False,True,easy
it,it,True,False,False,False,False,irregular
on,on,True,False,False,False,False,irregular
a,a,True,False,True,False,False,irregular
Gmail,Gmail,False,False,False,False,True,easy
account,account,False,False,False,False,True,easy
...,...,False,False,False,False,True,easy
you,you,False,False,True,False,False,ambiguous
have,have,False,False,False,False,True,easy
far,far,False,False,False,False,True,easy
",",",",True,False,False,False,False,irregular
far,far,False,False,False,False,True,easy
too,too,False,False,False,False,True,easy
much,much,False,False,False,False,True,easy
time,time,False,False,False,False,True,easy
on,on,True,False,False,False,False,irregular
your,your,False,False,False,False,True,easy
hands,hand,False,True,False,False,False,changed
),),True,False,False,False,False,irregular
.,.,True,False,False,False,False,irregular
However,however,False,False,False,False,True,easy
",",",",True,False,False,False,False,irregular
this,this,False,False,False,False,True,easy
toolbar,toolbar,False,False,False,False,True,easy
is,be,True,True,False,False,False,irregular
really,really,False,False,False,False,True,easy
bad,bad,False,False,False,False,True,easy
news,news,False,False,False,False,True,easy
.,.,True,False,False,False,False,irregular
On,on,True,False,False,False,False,irregular
the,the,False,False,True,False,False,ambiguous
other,other,False,False,False,False,True,easy
hand,hand,False,False,False,False,True,easy
",",",",True,False,False,False,False,irregular
it,it,True,False,False,False,False,irregular
looks,look,False,True,False,False,False,changed
pretty,pretty,False,False,False,False,True,easy
cool,cool,False,False,False,False,True,easy
.,.,True,False,False,False,False,irregular
Iran,Iran,False,False,False,False,True,easy
says,say,False,True,False,False,False,changed
it,it,True,False,False,False,False,irregular
is,be,True,True,False,False,False,irregular
creating,create,False,True,False,False,False,changed
nuclear,nuclear,False,False,False,False,True,easy
energy,energy,False,False,False,False,True,easy
without,without,False,False,False,False,True,easy
wanting,want,False,True,False,False,False,changed
nuclear,nuclear,False,False,False,False,True,easy
weapons,weapon,False,True,False,False,False,changed
.,.,True,False,False,False,False,irregular
The,the,False,False,False,False,True,easy
United,United,False,False,False,False,True,easy
States,State,False,True,False,False,False,changed
does,do,True,True,False,False,False,irregular
n't,not,True,True,False,False,False,irregular
believe,believe,False,False,False,False,True,easy
the,the,False,False,True,False,False,ambiguous
Iranian,Iranian,False,False,False,False,True,easy
Government,government,False,False,False,False,True,easy
.,.,True,False,False,False,False,irregular
One,one,False,False,True,False,False,ambiguous
can,can,False,False,False,False,True,easy
suspect,suspect,False,False,False,False,True,easy
the,the,False,False,True,False,False,ambiguous
Iranian,Iranian,False,False,False,False,True,easy
Government,government,False,False,False,False,True,easy
.,.,True,False,False,False,False,irregular
But,but,False,False,False,False,True,easy
there,there,False,False,True,False,False,ambiguous
is,be,True,True,False,False,False,irregular
no,no,True,False,False,False,False,irregular
proof,proof,False,False,False,False,True,easy
.,.,True,False,False,False,False,irregular
I,I,True,False,False,False,False,irregular
read,read,False,False,False,False,True,easy
an,a,True,True,False,False,False,irregular
Article,article,False,False,False,False,True,easy
in,in,True,False,False,False,False,irregular
Time,Time,False,False,False,True,False,rare
magazine,magazine,False,False,False,True,False,rare
accusing,accuse,False,True,False,True,False,rare
the,the,False,False,True,False,False,ambiguous
Iranian,Iranian,False,False,False,False,True,easy
Government,government,False,False,False,False,True,easy
of,of,True,False,False,False,False,irregular
being,be,True,True,False,False,False,irregular
willing,willing,False,False,False,False,True,easy
to,to,True,False,True,False,False,irregular
start,start,False,False,False,False,True,easy
a,a,True,False,True,False,False,irregular
nuclear,nuclear,False,False,False,False,True,easy
war,war,False,False,False,False,True,easy
and,and,False,False,False,False,True,easy
I,I,True,False,False,False,False,irregular
sympathise,sympathise,False,False,False,True,False,rare
with,with,False,False,False,False,True,easy
the,the,False,False,True,False,False,ambiguous
Article,article,False,False,False,False,True,easy
.,.,True,False,False,False,False,irregular
They,they,False,False,False,False,True,easy
are,be,True,True,False,False,False,irregular
certainly,certainly,False,False,False,False,True,easy
being,be,True,True,False,False,False,irregular
nasty,nasty,False,False,False,False,True,easy
to,to,True,False,True,False,False,irregular
the,the,False,False,True,False,False,ambiguous
United,United,False,False,False,False,True,easy
Nations,Nation,False,True,False,False,False,changed
Security,Security,False,False,False,False,True,easy
Council,Council,False,False,False,False,True,easy
in,in,True,False,False,False,False,irregular
connection,connection,False,False,False,False,True,easy
with,with,False,False,False,False,True,easy
the,the,False,False,True,False,False,ambiguous
anti-proliferation,anti-proliferation,False,False,False,True,False,rare
treaty,treaty,False,False,False,True,False,rare
.,.,True,False,False,False,False,irregular
The,the,False,False,False,False,True,easy
President,President,False,False,True,False,False,ambiguous
has,have,True,True,False,False,False,irregular
also,also,False,False,False,False,True,easy
said,say,True,True,False,False,False,irregular
he,he,True,False,True,False,False,irregular
would,would,False,False,False,False,True,easy
like,like,False,False,False,False,True,easy
to,to,True,False,True,False,False,irregular
see,see,False,False,False,False,True,easy
Israel,Israel,False,False,False,True,False,rare
wiped,wipe,False,True,False,True,False,rare
off,off,False,False,False,False,True,easy
the,the,False,False,True,False,False,ambiguous
map,map,False,False,False,False,True,easy
which,which,False,False,False,False,True,easy
he,he,True,False,True,False,False,irregular
could,could,False,False,False,False,True,easy
n't,not,True,True,False,False,False,irregular
even,even,False,False,False,False,True,easy
begin,begin,False,False,False,False,True,easy
to,to,True,False,True,False,False,irregular
try,try,False,False,False,False,True,easy
without,without,False,False,False,False,True,easy
nuclear,nuclear,False,False,False,False,True,easy
weapons,weapon,False,True,False,False,False,changed
.,.,True,False,False,False,False,irregular
But,but,False,False,False,False,True,easy
he,he,True,False,True,False,False,irregular
has,have,True,True,False,False,False,irregular
insisted,insist,False,True,False,False,False,changed
that,that,False,False,False,False,True,easy
he,he,True,False,True,False,False,irregular
wants,want,False,True,False,False,False,changed
nuclear,nuclear,False,False,False,False,True,easy
power,power,False,False,False,False,True,easy
for,for,False,False,False,False,True,easy
peaceful,peaceful,False,False,False,True,False,rare
purposes,purpose,False,True,False,False,False,changed
.,.,True,False,False,False,False,irregular
Many,many,False,False,False,False,True,easy
people,people,False,False,False,False,True,easy
want,want,False,False,False,False,True,easy
to,to,True,False,True,False,False,irregular
use,use,False,False,False,False,True,easy
diplomacy,diplomacy,False,False,False,False,True,easy
with,with,False,False,False,False,True,easy
Iran,Iran,False,False,False,False,True,easy
rather,rather,False,False,False,False,True,easy
than,than,False,False,False,False,True,easy
military,military,False,False,False,False,True,easy
pressure,pressure,False,False,False,False,True,easy
.,.,True,False,False,False,False,irregular
But,but,False,False,False,False,True,easy
will,will,False,False,False,False,True,easy
diplomacy,diplomacy,False,False,False,False,True,easy
work,work,False,False,False,False,True,easy
?,?,True,False,False,False,False,irregular
And,and,False,False,False,False,True,easy
can,can,False,False,False,False,True,easy
anyone,anyone,False,False,False,False,True,easy
use,use,False,False,False,False,True,easy
military,military,False,False,False,False,True,easy
pressure,pressure,False,False,False,False,True,easy
without,without,False,False,False,False,True,easy
proof,proof,False,False,False,False,True,easy
?,?,True,False,False,False,False,irregular
One,one,False,False,True,False,False,ambiguous
reader,reader,False,False,False,True,False,rare
pointed,point,False,True,False,False,False,changed
out,out,False,False,True,False,False,ambiguous
that,that,False,False,False,False,True,easy
the,the,False,False,True,False,False,ambiguous
President,President,False,False,True,False,False,ambiguous
watched,watch,False,True,False,False,False,changed
the,the,False,False,True,False,False,ambiguous
Americans,American,False,True,False,False,False,changed
in,in,True,False,False,False,False,irregular
the,the,False,False,True,False,False,ambiguous
embassy,embassy,False,False,False,True,False,rare
when,when,False,False,False,False,True,easy
they,they,False,False,False,False,True,easy
took,take,True,True,False,False,False,irregular
them,they,False,True,True,False,False,ambiguous
hostage,hostage,False,False,False,False,True,easy
.,.,True,False,False,False,False,irregular
He,he,True,False,False,False,False,irregular
has,have,True,True,False,False,False,irregular
denied,deny,False,True,False,True,False,rare
this,this,False,False,False,False,True,easy
.,.,True,False,False,False,False,irregular
We,we,True,False,False,False,False,irregular
do,do,True,False,True,False,False,irregular
n't,not,True,True,False,False,False,irregular
have,have,False,False,False,False,True,easy
to,to,True,False,True,False,False,irregular
believe,believe,False,False,False,False,True,easy
him,he,True,True,False,False,False,irregular
.,.,True,False,False,False,False,irregular
But,but,False,False,False,False,True,easy
we,we,True,False,False,False,False,irregular
ca,can,True,True,False,False,False,irregular
n't,not,True,True,False,False,False,irregular
prove,prove,False,False,False,False,True,easy
it,it,True,False,False,False,False,irregular
.,.,True,False,False,False,False,irregular
It,it,True,False,False,False,False,irregular
does,do,True,True,False,False,False,irregular
seem,seem,False,False,False,False,True,easy
that,that,False,False,False,False,True,easy
Iranians,Iranian,False,True,False,False,False,changed
frequently,frequently,False,False,False,False,True,easy
make,make,False,False,False,False,True,easy
statements,statement,False,True,False,False,False,changed
and,and,False,False,False,False,True,easy
then,then,False,False,True,False,False,ambiguous
hide,hide,False,False,False,True,False,rare
behind,behind,False,False,False,False,True,easy
lack,lack,False,False,False,False,True,easy
of,of,True,False,False,False,False,irregular
proof,proof,False,False,False,False,True,easy
.,.,True,False,False,False,False,irregular
Angry,angry,False,False,False,False,True,easy
crowds,crowd,False,True,False,False,False,changed
chanted,chant,False,True,False,True,False,rare
anti-American,anti-American,False,False,False,True,False,rare
slogans,slogan,False,True,False,False,False,changed
in,in,True,False,False,False,False,irregular
the,the,False,False,True,False,False,ambiguous
western,western,False,False,False,True,False,rare
city,city,False,False,False,False,True,easy
of,of,True,False,False,False,False,irregular
Falluja,Falluja,False,False,False,False,True,easy
(,(,True,False,False,False,False,irregular
pop.,pop.,False,False,False,True,False,rare
"256,000",256000,False,True,False,True,False,rare
),),True,False,False,False,False,irregular
as,as,True,False,False,False,False,irregular
the,the,False,False,True,False,False,ambiguous
security,security,False,False,False,False,True,easy
police,police,False,False,False,False,True,easy
killed,kill,False,True,False,False,False,changed
in,in,True,False,False,False,False,irregular
a,a,True,False,True,False,False,irregular
friendly,friendly,False,False,False,False,True,easy
fire,fire,False,False,False,False,True,easy
incident,incident,False,False,False,True,False,rare
by,by,True,False,False,False,False,irregular
US,US,True,False,False,False,False,irregular
troops,troops,False,False,False,False,True,easy
were,be,True,True,False,False,False,irregular
buried,bury,False,True,False,True,False,rare
on,on,True,False,False,False,False,irregular
Saturday,Saturday,False,False,False,False,True,easy
.,.,True,False,False,False,False,irregular
Reuters,Reuters,False,False,False,False,True,easy
reported,report,False,True,False,False,False,changed
that,that,False,False,False,False,True,easy
"""","""",True,False,False,False,False,irregular
Sunni,Sunni,False,False,False,False,True,easy
clerics,cleric,False,True,False,False,False,changed
in,in,True,False,False,False,False,irregular
the,the,False,False,True,False,False,ambiguous
town,town,False,False,False,False,True,easy
issued,issue,False,True,False,False,False,changed
a,a,True,False,True,False,False,irregular
',',True,False,True,False,False,irregular
Declaration,declaration,False,False,False,True,False,rare
by,by,True,False,False,False,False,irregular
the,the,False,False,True,False,False,ambiguous
people,people,False,False,False,False,True,easy
of,of,True,False,False,False,False,irregular
Fallujah,Fallujah,False,False,False,False,True,easy
',',True,False,True,False,False,irregular
condemning,condemn,False,True,False,False,False,changed
the,the,False,False,True,False,False,ambiguous
deaths,death,False,True,False,False,False,changed
of,of,True,False,False,False,False,irregular
the,the,False,False,True,False,False,ambiguous
security,security,False,False,False,False,True,easy
guards,guard,False,True,False,False,False,changed
and,and,False,False,False,False,True,easy
police,police,False,False,False,False,True,easy
",",",",True,False,False,False,False,irregular
announcing,announce,False,True,False,False,False,changed
three,three,False,False,False,False,True,easy
days,day,False,True,False,False,False,changed
of,of,True,False,False,False,False,irregular
mourning,mourning,False,False,False,True,False,rare
",",",",True,False,False,False,False,irregular
and,and,False,False,False,False,True,easy
calling,call,False,True,False,False,False,changed
for,for,False,False,False,False,True,easy
a,a,True,False,True,False,False,irregular
general,general,False,False,False,False,True,easy
strike,strike,False,False,False,True,False,rare
today,today,False,False,False,False,True,easy
.,.,True,False,False,False,False,irregular
"""","""",True,False,False,False,False,irregular
It,it,True,False,False,False,False,irregular
read,read,False,False,False,False,True,easy
",",",",True,False,False,False,False,irregular
"""","""",True,False,False,False,False,irregular
The,the,False,False,False,False,True,easy
people,people,False,False,False,False,True,easy
of,of,True,False,False,False,False,irregular
Fallujah,Fallujah,False,False,False,False,True,easy
condemn,condemn,False,False,False,False,True,easy
the,the,False,False,True,False,False,ambiguous
massacre,massacre,False,False,False,True,False,rare
which,which,False,False,False,False,True,easy
was,be,True,True,False,False,False,irregular
committed,commit,False,True,True,False,False,ambiguous
on,on,True,False,False,False,False,irregular
Friday,Friday,False,False,False,False,True,easy
against,against,False,False,False,False,True,easy
people,people,False,False,False,False,True,easy
dedicated,dedicated,False,False,True,True,False,ambiguous
to,to,True,False,True,False,False,irregular
the,the,False,False,True,False,False,ambiguous
protection,protection,False,False,False,False,True,easy
of,of,True,False,False,False,False,irregular
Fallujah,Fallujah,False,False,False,False,True,easy
.,.,True,False,False,False,False,irregular
Let,let,False,False,False,False,True,easy
aggressive,aggressive,False,False,False,False,True,easy
(,(,True,False,False,False,False,irregular
American,American,False,False,False,False,True,easy
),),True,False,False,False,False,irregular
leaders,leader,False,True,False,False,False,changed
and,and,False,False,False,False,True,easy
soldiers,soldier,False,True,False,False,False,changed
know,know,False,False,False,False,True,easy
that,that,False,False,False,False,True,easy
we,we,True,False,False,False,False,irregular
are,be,True,True,False,False,False,irregular
capable,capable,False,False,False,True,False,rare
of,of,True,False,False,False,False,irregular
protecting,protect,False,True,False,True,False,rare
the,the,False,False,True,False,False,ambiguous
city,city,False,False,False,False,True,easy
's,'s,True,False,True,False,False,irregular
security,security,False,False,False,False,True,easy
and,and,False,False,False,False,True,easy
safety,safety,False,False,False,True,False,rare
",",",",True,False,False,False,False,irregular
