item_num,correct_answer_num,correct_letter,correct_text
262,2,B,ሳሙኤል
263,1,A,ሞኒካ
264,1,A,ጆሴፍ
265,1,A,ጀስቲን
266,1,A,ስቲቨን
267,1,A,ጆኤል
268,2,B,ማቲው
269,2,B,ካትሪና
270,2,B,ክርስቲን
271,2,B,ሃንተር
272,1,A,ጄፍሪ
273,1,A,ክሬግ
274,1,A,ፓትሪሺያ
275,2,B,ኬኔት
276,2,B,ሳማንታ
277,1,A,ኔልሰን
278,2,B,ኤሪን
279,2,B,ፌሊሺያ
280,1,A,ሳማንታ
281,1,A,አሮን
282,2,B,አሮን
283,1,A,ክሪስቶፈር
284,2,B,ብሪያን
285,2,B,ጄሰን
286,2,B,ካሪ
287,1,A,ኒክ
288,2,B,ሊንዚ
289,2,B,ናታሊ
290,2,B,ሬቾል
291,2,B,ክሬግ
292,2,B,ኬይላ
293,1,A,ማይክል
294,2,B,ሳሙኤል
295,1,A,አዳም
296,1,A,ናታሊ
297,1,A,ጄሲካ
298,1,A,ኤሚ
299,2,B,ጆሴፍ
300,1,A,ፊሊሺያ
301,1,A,ካሪ
302,2,B,ሳማንታ
303,2,B,ካትሪና
304,1,A,ካትሪና
305,1,A,ኬኔት
306,2,B,ማሪያ
307,1,A,ሜጋን
308,2,B,ኤሚሊ
309,1,A,ብራያን
310,2,B,ሞኒካ
311,1,A,ሳማንታ
312,1,A,ሎጋን
313,2,B,ሬቾል
314,1,A,ሎጋን
315,1,A,ኒክ
316,1,A,ሮበርት
317,2,B,ሃንተር
318,2,B,ሣራ
319,2,B,ብሪያን
320,2,B,ቤንጃሚን
321,1,A,ሜሪ
322,1,A,ሜሪ
323,2,B,ቤንጃሚን
324,1,A,ኬኔዝ
325,1,A,ፓትሪሺያ
326,2,B,አዳም
327,2,B,ዶናልድ
328,1,A,ሜጋን
329,2,B,ሊንሴይ
330,1,A,ማይክል
331,2,B,ማቲው
332,2,B,ኤሌና
333,1,A,ክሪስቲን
334,1,A,ሎጋን
335,1,A,ጄሲካ
336,1,A,ጄኒፈር
337,1,A,ጆሴፍ
338,1,A,ሳማንታ
339,1,A,ላውራ
340,2,B,ዴኒስ
341,1,A,አዳም
342,2,B,ሲንቲያ
343,2,B,ካይላ
344,1,A,ብሪያን
345,1,A,ጄኒፈር
346,1,A,ፓትሪሺያ
347,1,A,ሌስሊ
348,2,B,ሬቤካ
349,2,B,ራንዲ
350,2,B,ማይክል
351,2,B,ካሪ
352,1,A,ኬይላ
353,2,B,ሞኒካ
354,2,B,ሳማንታ
355,1,A,ሜሪ
356,1,A,ሃንተር
357,1,A,ፓትሪሺያ
358,2,B,ሜጋን
359,2,B,ቤንጃሚን
360,2,B,ክሬግ
361,1,A,ሜጋን
362,2,B,ኤሪክ
363,2,B,ሜሪ
364,2,B,ዊልያም
365,1,A,ብሬት
366,1,A,ቤቲ
367,1,A,ዊልያም
368,1,A,ኤሚሊ
369,1,A,ኢያን
370,2,B,ናታሊ
371,1,A,ፊሊሺያ
372,1,A,ፊሊሺያ
373,2,B,ቪክቶሪያ
374,1,A,ዴኒስ
375,1,A,ዊልያም
376,2,B,ኔልሰን
377,2,B,ኤሚ
378,1,A,ካይል
379,1,A,ስቲቨን
380,2,B,ኤሚሊ
381,2,B,ጀስቲን
382,1,A,ክሪስቶፈር
383,2,B,ካይል
384,1,A,አንጄላ
385,2,B,ካይል
386,1,A,ዶናልድ
387,1,A,ካሪ
388,1,A,ጆኤል
389,1,A,ሮበርት
390,2,B,ኤሪን
391,1,A,ሞኒካ
392,1,A,ፌሊሺያ
393,2,B,ጄሲካ
394,1,A,አንጄላ
395,2,B,ማሪያ
396,1,A,ሳይንቲያ
397,2,B,ናታሊ
398,1,A,ቪክቶሪያ
399,2,B,ብሬት
400,1,A,ዶናልድ
401,2,B,ሎጋን
402,2,B,ካይል
403,1,A,ኤሚ
404,2,B,ክርስቲን
405,2,B,ሳሙኤል
406,1,A,ሲንቲያ
407,2,B,ሜጋን
408,2,B,ናታሊ
409,2,B,ሮበርት
410,1,A,ኤሌና
411,2,B,ጄፍሪ
412,1,A,ማሪያ
413,2,B,ኤሚ
414,1,A,ኔልሰን
415,2,B,ክርስቲን
416,1,A,ጆኤል
417,1,A,ቢንያም
418,2,B,ራያን
419,1,A,ኤሚሊ
420,2,B,ሲንቲያ
421,1,A,ሮበርት
422,1,A,ጄፍሪ
423,2,B,ኢየን
424,2,B,ሊንዚ
425,1,A,ዴኒስ
426,1,A,ሊንሴይ
427,1,A,ብሬት
428,2,B,ዶናልድ
429,1,A,ክሬግ
430,1,A,ብሬት
431,1,A,ቤንጃሚን
432,2,B,ስቲቨን
433,2,B,ኤሚ
434,2,B,ሜጋን
435,2,B,ራንዲ
436,1,A,ጄኒፈር
437,2,B,ላውራ
438,2,B,አዳም
439,2,B,ሎራ
440,1,A,ኒይል
441,1,A,ሎውረንስ
442,2,B,ብሬት
443,2,B,ኤሪን
444,2,B,ሳራ
445,1,A,ራንዲ
446,2,B,ዴኒስ
447,2,B,ራንዲ
448,1,A,ኬኔት
449,1,A,ፌሊሺያ
450,2,B,ዶናልድ
451,1,A,ሞኒካ
452,1,A,ኒክ
453,1,A,ሜጋን
454,1,A,ሎውረንስ
455,2,B,ዴኒስ
456,1,A,ስቲቨን
457,2,B,ሳማንታ
458,2,B,ቪክቶሪያ
459,2,B,ጀስቲን
460,2,B,ቤንጃሚን
461,2,B,ማይክል
462,2,B,ኬይላ
463,1,A,ኤሌና
464,2,B,ኤሚ
465,1,A,ጄፍሪ
466,2,B,ካትሪን
467,1,A,ካትሪና
468,1,A,ቤንጃሚን
469,1,A,ኬኔት
470,2,B,ኢያን
471,1,A,ጄሰን
472,1,A,ክሪስቲን
473,1,A,ኬቨን
474,1,A,ጄሲካ
475,2,B,ታንያ
476,1,A,ክሪስቶፈር
477,2,B,ኤሌና
478,2,B,ጆሴፍ
479,1,A,ራንዲ
480,2,B,ጄሲካ
481,1,A,ካይል
482,2,B,አሮን
483,2,B,ኒይል
484,2,B,አንጄላ
485,1,A,አሮን
486,1,A,ፌሊሺያ
487,2,B,ጀስቲን
488,1,A,ዊልያም
489,2,B,ሊንዚ
490,2,B,ሞኒካ
491,1,A,ሳማንታ
492,2,B,ሃንተር
493,2,B,ሳማንታ
494,1,A,አንጄላ
495,2,B,ታንያ
496,2,B,ኒክ
497,2,B,ኔልሰን
498,1,A,ቪክቶሪያ
499,1,A,ማይክል
500,2,B,ሪያን
501,1,A,ሜሪ
502,1,A,ማይክል
503,2,B,ኤሌና
504,1,A,ዴሪክ
505,1,A,ካትሪና
506,2,B,ሊንዚ
507,1,A,ካይል
508,1,A,ኤሪክ
509,2,B,ማቲው
510,2,B,ኤሚሊ
511,1,A,ሬቤካ
512,1,A,ክሪስቶፈር
513,1,A,ክሬግ
514,1,A,ጄኒፈር
515,1,A,ጀስቲን
516,2,B,አሮን
517,2,B,ሬቤካ
518,1,A,ኤሚ
519,1,A,ፓትሪሺያ
520,2,B,ጆሴፍ
521,2,B,ሬቤካ
522,2,B,ዴኒስ
523,2,B,ኤሚሊ
524,1,A,ዴሪክ
525,1,A,ብሬት
526,2,B,ዶናልድ
527,1,A,ሳሙኤል
528,2,B,ክርስቲን
529,2,B,ዶናልድ
530,1,A,ክሬግ
531,1,A,ፌሊሺያ
532,1,A,ካትሪና
533,2,B,ማይክል
534,2,B,ጄኒፈር
535,1,A,ኤሚ
536,2,B,ራንዲ
537,2,B,ጆኤል
538,1,A,ካትሪና
539,1,A,ካይል
540,2,B,ቪክቶሪያ
541,2,B,ራንዲ
542,1,A,ራያን
543,2,B,ካትሪና
544,2,B,አዳም
545,2,B,ኒክ
546,1,A,ጆኤል
547,2,B,ፓትሪሺያ
548,2,B,ሲንቲያ
549,1,A,ክርስቶፈር
550,1,A,ሎጋን
551,1,A,ዴሪክ
552,1,A,ኔልሰን
553,1,A,ካሪ
554,2,B,ጀስቲን
555,2,B,ሎውረንስ
556,2,B,ቤንጃሚን
557,2,B,ሊንዚ
558,2,B,ጆኤል
559,1,A,ራንዲ
560,1,A,ካሪ
561,2,B,ሎጋን
562,2,B,ፊሊሺያ
563,2,B,ኬኔት
564,2,B,ክሬግ
565,1,A,ጄፍሪ
566,1,A,ሳማንታ
567,2,B,ጄኒፈር
568,2,B,ኒክ
569,1,A,ፊሊሺያ
570,2,B,ኤሪን
571,2,B,ሮበርት
572,1,A,ክሬግ
573,1,A,ጀስቲን
574,1,A,ራንዲ
575,1,A,አሮን
576,1,A,ኤሚ
577,2,B,ክርስቲን
578,2,B,አዳም
579,1,A,ኤሪን
580,1,A,ኤሪክ
581,1,A,ሜጋን
582,2,B,ርቤካ
583,1,A,ሃንተር
584,2,B,ካሪ
585,1,A,ማሪያ
586,2,B,ማቲው
587,1,A,ኒክ
588,1,A,ፌሊሺያ
589,2,B,ኔልሰን
590,2,B,ጄፍሪ
591,2,B,ማቲው
592,1,A,ብሬት
593,1,A,ኤሚሊ
594,2,B,ዴሪክ
595,2,B,ሃንተር
596,1,A,ዶናልድ
597,2,B,ጆል
598,2,B,ኤሚሊ
599,1,A,ኬቨን
600,1,A,ታንያ
601,2,B,ኤሪን
602,1,A,ኬኔት
603,2,B,ክሬግ
604,1,A,ኤሌና
605,1,A,ዴኒስ
606,1,A,ኤሚ
607,2,B,ዊልያም
608,1,A,ዴኒስ
609,1,A,ናታሊ
610,2,B,ማሪያ
611,1,A,ሌስሊ
612,2,B,ክሪስቶፈር
613,1,A,ካይል
614,2,B,ሌስሊ
615,1,A,ስቲቨን
616,2,B,ኤሪክ
617,2,B,ስቲቨን
618,2,B,ኤሌና
619,1,A,ሞኒካ
620,1,A,ታንያ
621,2,B,ፓትሪሺያ
622,2,B,ኤሌና
623,1,A,ኤሪን
624,2,B,ላውራ
625,2,B,ክሬግ
626,2,B,ጆኤል
627,2,B,ሞኒካ
628,2,B,ራያን
629,1,A,ሣራ
630,1,A,አንጄላ
631,2,B,ዴሪክ
632,1,A,ዊልያም
633,1,A,ኤሌና
634,2,B,ክሬግ
635,1,A,ኒክ
636,1,A,ኤሌና
637,2,B,ዴኒስ
638,2,B,ኤሪክ
639,1,A,አንጄላ
640,2,B,ኤሚ
641,1,A,ጄኒፈር
642,1,A,ሳራ
643,1,A,ሎውረንስ
644,2,B,ፌሊሺያ
645,2,B,ታንያ
646,1,A,ስቲቨን
647,2,B,አሮን
648,2,B,ጆል
649,1,A,ሃንተር
650,1,A,ታንያ
651,1,A,ማሪያ
652,1,A,ሎጋን
653,1,A,ኢየን
654,1,A,ሎጋን
655,1,A,ፊሊሲያ
656,2,B,ኒክ
657,1,A,ማሪያ
658,1,A,ክርስቲን
659,1,A,ሜጋን
660,2,B,ኤሪክ
661,1,A,ክርስቲን
662,2,B,ቤቲ
663,1,A,ካይል
664,2,B,ዴሪክ
665,2,B,ሬቾል
666,2,B,ዊልያም
667,1,A,ኒይል
668,1,A,ቤንጃሚን
669,1,A,ሬቤካ
670,1,A,ሊንሴ
671,2,B,ክሪስቶፈር
672,1,A,ጆሴፍ
673,2,B,አንጄላ
674,2,B,ዴሪክ
675,2,B,ክሬግ
676,2,B,ሲንቲያ
677,1,A,ኤሚሊ
678,1,A,ኤሌና
679,1,A,አሮን
680,1,A,ናታሊ
681,2,B,ፓትሪሺያ
682,2,B,ሳማንታ
683,1,A,ኤሌና
684,2,B,ሎጋን
685,1,A,ሜጋን
686,1,A,ጄኒፈር
687,2,B,ዊልያም
688,2,B,ፓትሪሺያ
689,2,B,ሃንተር
690,2,B,ኤሌና
691,1,A,ጆኤል
692,2,B,ጄፍሪ
693,2,B,ስቲቨን
694,1,A,አዳም
695,1,A,ፌሊሺያ
696,2,B,ኤሚ
697,1,A,ብሪያን
698,1,A,ታንያ
699,2,B,ሲንቲያ
700,2,B,ኤሪክ
701,1,A,ብሬት
702,1,A,ፓትሪሺያ
703,2,B,ማሪያ
704,1,A,ኤሪን
705,1,A,ማሪያ
706,2,B,ሳማንታን
707,2,B,ካሪ
708,2,B,ክሪስቲን
709,2,B,ጀስቲን
710,1,A,ሌስሊ
711,1,A,ሊንዚ
712,1,A,ቤንጃሚን
713,2,B,ቤቲ
714,1,A,ብሬት
715,1,A,ራንዲ
716,2,B,ሊንዚ
717,2,B,ብሪያን
718,2,B,ቪክቶሪያ
719,1,A,ሳማንታ
720,2,B,ሬቤካ
721,2,B,ዶናልድ
722,2,B,ኤሌና
723,2,B,ሳማንታ
724,1,A,ጄሲካ
725,1,A,ራንዲ
726,2,B,ጆኤል
727,2,B,ሬቤካ
728,1,A,ራንዲ
729,1,A,ጄሰን
730,2,B,ሎውረንስ
731,1,A,ጆኤል
732,2,B,ቪክቶሪያ
733,1,A,ጄፍሪ
734,2,B,ኒክ
735,2,B,ጆሴፍ
736,2,B,ቪክቶሪያ
737,1,A,ጀስቲን
738,2,B,ኒል
739,1,A,ክሬግ
740,1,A,ራንዲ
741,2,B,ራንዲ
742,1,A,ዶናልድ
743,1,A,ሌስሊ
744,2,B,ራያን
