item_id,sentence,option_a,option_b,gold_answer
pr_fr_000119,John n' a pas pu finir de regarder le film dans le temps que sa mère lui a donné parce que _ est long.,le temps,le film,B
pr_fr_000120,John n' a pas pu finir de regarder le film dans le temps que sa mère lui a donné parce que _ est court.,le temps,le film,A
pr_fr_000121,"L' aspirateur que j' ai acheté était bien meilleur que le simple balai, car _ était puissant.",l' aspirateur,le balai,A
pr_fr_000122,"L' aspirateur que j' ai acheté était bien meilleur que le simple balai, car _ était faible.",l' aspirateur,le balai,B
pr_fr_000123,"Elle a ressenti beaucoup de colère en voyant l' école, mais pas en voyant l' église, parce que _ est l' endroit où elle a eu de mauvaises expériences.",l' école,l' église,A
pr_fr_000124,"Elle a ressenti beaucoup de colère en voyant l' école, mais pas en voyant l' église, parce que c' est dans _ qu' elle a eu de bonnes expériences.",l' école,l' église,B
pr_fr_000125,Jeremy préférait mettre du miel sur ses toasts plutôt que du beurre car _ était sucré.,le beurre,le miel,B
pr_fr_000126,Jeremy préférait mettre du miel sur ses toasts plutôt que du beurre car _ était fade.,le miel,le beurre,B
pr_fr_000127,La femme a cousu la dentelle sur la robe parce qu' elle trouvait que _ était belle.,la dentelle,la robe,A
pr_fr_000128,La femme a cousu la dentelle sur la robe parce qu' elle pensait que _ avait l' air simple.,la robe,la dentelle,A
pr_fr_000129,"La cuillère était trop chaude pour être touchée après s' être assise dans la soupe, car _ avait absorbé toute sa chaleur.",la soupe,la cuillère,B
pr_fr_000130,"La cuillère était trop chaude au toucher après s' être assise dans la soupe, car _ avait transféré toute sa chaleur.",la cuillère,la soupe,B
pr_fr_000131,"Sarah voulait mettre le miroir dans son sac à main, mais il ne rentrerait pas parce que _ était trop grand.",le miroir,le sac,A
pr_fr_000132,"Sarah voulait mettre le miroir dans son sac à main, mais il ne rentrerait pas parce que _ était trop petit.",le miroir,le sac,B
pr_fr_000133,"Les tomates mûrissent plus vite dans le pot que dans le jardin, car _ les expose au soleil.",le pot,le jardin,A
pr_fr_000134,"Les tomates mûrissent plus vite dans le pot que dans le jardin, car _ les protège de la lumière du soleil.",le jardin,le pot,A
pr_fr_000135,Je suis plus à l' aise pour cuire le poulet dans un four que sur le gril car _ a une jauge de température.,le gril,le four,B
pr_fr_000136,Je suis plus à l' aise pour cuire le poulet dans un four que sur le gril car _ n' a pas d' indicateur de température.,le four,le gril,B
pr_fr_000137,Nous avons décidé d' acheter une nouvelle sécheuse lorsque nous avons déménagé et avons gardé la même laveuse car _ ne fonctionnait pas.,la laveuse,la sécheuse,B
pr_fr_000138,Nous avons décidé d' acheter une nouvelle sécheuse lorsque nous avons déménagé et avons gardé la même laveuse car _ était en état de marche.,la laveuse,la sécheuse,A
pr_fr_000139,L' école a duré plus longtemps que l' usine car on s' occupait de _.,l' usine,l' école,B
pr_fr_000140,L' école a duré plus longtemps que l' usine parce que _ était négligée.,l' usine,l' école,A
pr_fr_000141,"Le PDG a remplacé le tapis au travail dans la salle de repos par du bois dur pendant les vacances d' hiver, _ était vieux.",le tapis,le bois,A
pr_fr_000142,"Le PDG a remplacé le tapis au travail dans la salle de repos par du bois dur pendant les vacances d' hiver, _ était à la mode.",le tapis,le franc,B
pr_fr_000143,"De tous les types de bois, Julian préférait le chêne le plus et détestait l' érable parce que _ était plus utile.",le chêne,l' érable,A
pr_fr_000144,"De tous les types de bois, Julian préférait le chêne le plus et détestait l' érable parce que _ était moins utile.",l' érable,le chêne,A
pr_fr_000145,Le jeune animal de compagnie courait et jouait avec la ficelle mais pas la chaussure parce que _ était intéressante.,la ficelle,la chaussure,A
pr_fr_000146,Le jeune animal de compagnie courait et jouait avec la ficelle mais pas la chaussure parce que _ était ennuyeuse.,la chaussure,la ficelle,A
pr_fr_000147,"Joey a utilisé la communication sous forme de texte pour rompre leur relation avec sa petite amie, mais _ était trop compliquée.",la communication,la relation,B
pr_fr_000148,"Joey a utilisé la communication sous forme de texte pour rompre leur relation avec sa petite amie, mais _ était trop facile.",la communication,la relation,A
pr_fr_000149,Le restaurateur a versé de l' eau de la cruche dans la casserole jusqu' à ce que _ soit vide.,la cruche,la casserole,A
pr_fr_000150,Le restaurateur a versé de l' eau de la cruche dans la casserole jusqu' à ce que _ soit pleine.,la casserole,la cruche,A
pr_fr_000151,Nous avions besoin d' une échelle plus longue pour atteindre le haut de la boîte car _ était trop courte.,la boîte,l' échelle,B
pr_fr_000152,Nous avions besoin d' une échelle plus longue pour atteindre le haut de la boîte car _ était trop haute.,la boîte,l' échelle,A
pr_fr_000153,"Après avoir lu la critique, l' homme a décidé de séjourner dans un hôtel plutôt que dans un motel car _ était plus agréable.",l' hôtel,le motel,A
pr_fr_000154,"Après avoir lu la critique, l' homme a décidé de séjourner dans un hôtel plutôt que dans un motel car _ était moins attrayant.",l' hôtel,le motel,B
pr_fr_000155,"Il est beaucoup plus difficile de créer un site Web que de créer un logo, car _ Web a un processus plus long.",le site,le logo,A
pr_fr_000156,"Il est beaucoup plus difficile de créer un site Web que de créer un logo, car _ a un processus plus court.",le logo,le site,A
pr_fr_000157,L' appel est arrivé en premier et le message plus tard dans la journée car _ se déroule rapidement.,l' appel,le message,A
pr_fr_000158,L' appel est arrivé en premier et le message plus tard dans la journée car _ est lent.,le message,l' appel,A
pr_fr_000159,"Les propriétaires ont dû remplacer le vinyle sur le revêtement, mais ont laissé le bois intact parce que _ était endommagé.",le bois,le vinyle,B
pr_fr_000160,"Les propriétaires ont dû remplacer le vinyle sur le revêtement, mais ont laissé le bois intact parce que _ était encore bon.",le vinyle,le bois,B
pr_fr_000161,Le hamburger géant a été placé dans le micro-ondes sur le comptoir car _ était chaud.,le micro-ondes,le hamburger,A
pr_fr_000162,Le hamburger géant a été placé dans le micro-ondes sur le comptoir car _ était froid.,le micro-ondes,le hamburger,B
pr_fr_000163,Le fermier a mis l' engrais du chariot sur le jardin jusqu' à ce que _ soit couvert.,le jardin,le chariot,A
pr_fr_000164,Le fermier a mis l' engrais du chariot dans le jardin jusqu' à ce que _ soit vide.,le chariot,le jardin,A
pr_fr_000165,"Comme l' homme essayait de s' en tenir à son plan financier, il a acheté le sandwich au lieu du hamburger parce que _ était bon marché.",le hamburger,le sandwich,B
pr_fr_000166,"Comme l' homme essayait de s' en tenir à son plan financier, il a acheté le sandwich au lieu du hamburger parce que _ était cher.",le sandwich,le hamburger,B
pr_fr_000167,La science autour de la fleur tropicale a dû être revérifiée car _ n' était pas concluante.,la fleur,la science,B
pr_fr_000168,La science autour de la fleur tropicale a dû être revérifiée car _ était unique.,la fleur,la science,A
pr_fr_000169,Le charpentier a pu utiliser un ciseau pour couper le bois parce que _ était tranchant.,le bois,le ciseau,B
pr_fr_000170,Le menuisier a pu utiliser un ciseau pour couper le bois car _ était tendre.,le bois,le ciseau,A
pr_fr_000171,"Pour soulager la douleur dans son dos, l' homme a utilisé la glace au lieu de la chaleur parce que _ était inefficace.",la glace,la chaleur,B
pr_fr_000172,"Pour soulager la douleur dans son dos, l' homme a utilisé la glace au lieu de la chaleur parce que _ était efficace.",la chaleur,la glace,B
pr_fr_000173,"Le curcuma est devenu salissant après quelques fois, nous avons donc utilisé du paprika par la suite car _ était humide.",le paprika,le curcuma,B
pr_fr_000174,"Le curcuma est devenu salissant après quelques fois, nous avons donc utilisé du paprika par la suite car _ était sec.",le paprika,le curcuma,A
pr_fr_000175,"L' avion était stable, mais le bus tremblait, car _ avait un mécanicien paresseux.",l' avion,le bus,B
pr_fr_000176,"L' avion était stable, mais le bus tremblait, parce que _ avait un mécanicien qui travaillait dur.",l' avion,le bus,A
pr_fr_000177,La nouvelle voiture ne rentrera pas sur la remorque car _ est trop longue.,la voiture,la remorque,A
pr_fr_000178,La nouvelle voiture ne rentrera pas sur la remorque car _ est trop courte.,la remorque,la voiture,A
pr_fr_000179,"Le pain que Sara a acheté hier au magasin faisait déjà pousser de la moisissure, car _ était oublié.",le magasin,le pain,B
pr_fr_000180,"Le pain que Sara a acheté hier au magasin faisait déjà pousser de la moisissure, car _ était inepte.",le magasin,le pain,A
pr_fr_000181,Le spectacle était beaucoup plus merveilleux que le dessin animé parce que _ était très imaginatif.,le spectacle,le dessin,A
pr_fr_000182,Le spectacle était beaucoup plus merveilleux que le dessin animé parce que _ animé était très ennuyeux.,le dessin,le spectacle,A
pr_fr_000183,"Le marqueur avait une meilleure pointe que le crayon, car _ était vieux et terne.",le marqueur,le crayon,B
pr_fr_000184,"Le marqueur avait un meilleur point que le crayon, car _ était nouveau et frais.",le marqueur,le crayon,A
pr_fr_000185,"L' air en quarantaine a été remplacé par du liquide car _ était contaminé, nous avons donc agi rapidement.",l' air,le liquide,A
pr_fr_000186,"L' air de la quarantaine a été remplacé par du liquide car _ était propre, nous avons donc agi rapidement.",l' air,le liquide,B
pr_fr_000187,Je préfère utiliser un spray plutôt qu' un piège pour tuer les cafards car _ est rapide et efficace.,le piège,le spray,B
pr_fr_000188,Je préfère utiliser un spray plutôt qu' un piège pour tuer les cafards car _ est lent et inefficace.,le spray,le piège,B
pr_fr_000189,La ville a donné au maire un ruban au lieu d' un trophée pour la reconnaissance de tout son travail acharné parce que _ était disponible.,le trophée,le ruban,B
pr_fr_000190,La ville a donné au maire un ruban au lieu d' un trophée pour la reconnaissance de tout son travail acharné parce que _ a été volé.,le ruban,le trophée,B
pr_fr_000191,La femme voulait mettre l' eau dans la cantine mais _ était trop petite.,la cantine,l' eau,A
pr_fr_000192,La femme voulait mettre l' eau dans la cantine mais _ était trop chaude.,l' eau,la cantine,A
pr_fr_000193,Le traducteur a utilisé le microphone au lieu du mégaphone pendant que _ clarifiait sa voix.,le microphone,le mégaphone,A
pr_fr_000194,"Le traducteur a utilisé le microphone au lieu du mégaphone, _ confondant sa voix.",le microphone,le mégaphone,B
pr_fr_000195,Le chêne qu' il a acheté pour construire une chaise était bien meilleur que l' autre bois parce que _ était fort.,le chêne,le bois,A
pr_fr_000196,Le chêne qu' il a acheté pour construire une chaise était bien meilleur que l' autre bois car _ était faible.,le bois,le chêne,A
pr_fr_000197,"Alors qu' elle s' ennuyait pendant son jour de congé, Alexandrie a décidé de passer du temps à lire le livre et à ne pas regarder le film parce que _ était intéressant.",le livre,le film,A
pr_fr_000198,"Alors qu' elle s' ennuyait pendant son jour de congé, Alexandrie a décidé de passer du temps à lire le livre et à ne pas regarder le film parce que _ était terne.",le film,le livre,A
pr_fr_000199,"J' ai acheté un paquet de soda, mais tout ne rentrerait pas dans le réfrigérateur car _ était trop plein.",le soda,le réfrigérateur,B
pr_fr_000200,"J' ai acheté un paquet de soda, mais tout ne rentrerait pas dans le réfrigérateur car _ était trop grand.",le soda,le réfrigérateur,A
pr_fr_000201,Le cerf vivait dans le hangar et non dans l' habitat parce qu' il était blessé et que _ offrait une protection.,le hangar,l' habitat,A
pr_fr_000202,Le cerf vivait dans le hangar et non dans l' habitat parce qu' il était blessé et que _ était dangereux.,le hangar,l' habitat,B
pr_fr_000203,Le livre de poésie est plus stimulant que la biographie car _ est assez superficielle.,le poésie,la biographie,B
pr_fr_000204,Le livre de poésie est plus stimulant que la biographie parce que _ de est assez profond.,la biographie,le poésie,B
pr_fr_000205,Le photographe voulait prendre une photo avec son appareil photo de la lumière du coucher de soleil mais _ n' a pas fonctionné.,l' photo,la lumière,A
pr_fr_000206,Le photographe voulait prendre une photo avec son appareil photo de la lumière du coucher de soleil mais _ n' a pas duré.,la lumière,l' photo,A
pr_fr_000207,"Il a rapidement résolu le puzzle, mais n' a pas été en mesure de terminer le labyrinthe, car _ était simple.",le puzzle,le labyrinthe,A
pr_fr_000208,"Il a rapidement résolu le puzzle, mais n' a pas pu terminer le labyrinthe, car _ était complexe.",le labyrinthe,le puzzle,A
pr_fr_000209,"Les enfants autistes n' ont pas été aidés par la clinique, mais l' école a été utile, car _ manquait de ressources éducatives appropriées.",la clinique,l' école,A
pr_fr_000210,"Les enfants autistes n' ont pas été aidés par la clinique, mais l' école a été utile, car _ avait les ressources éducatives appropriées.",l' école,la clinique,A
pr_fr_000211,"Lors de la réunion, j' ai salué la femme à l' ascenseur plutôt qu' au bureau parce qu' elle ne savait pas où se trouvait _.",le bureau,l' ascenseur,A
pr_fr_000212,"Lors de la réunion, j' ai salué la femme à l' ascenseur plutôt qu' au bureau car elle savait où se trouvait _.",l' ascenseur,le bureau,A
pr_fr_000213,Jeremy voulait une œuvre d' art unique pour sa maison et a obtenu la statue mais pas la peinture parce que _ était cool.,la peinture,la statue,B
