id,sentence,gold_entities
48,"Paul Justin , starting for the sidelined Jim Harbaugh , was 14-of-23 for 144 yards and a touchdown for the the Colts , who played their last home game of the season .",[]
49,DETROIT 15 9 4 81 53 34,[]
50,"In 2010/11 , domestic demand should rise further to 1.233 million tonnes while production will only reach about 914,000 tonnes .",[]
51,TORONTO AT NY RANGERS,[]
52,"' ' The reactions from business and unions which I have seen have been almost unanimously positive , so I do n't see any problem , ' ' he said .",[]
53,"Plastic surgery is booming , especially among men , as Brazilians spend much of their new-found wealth on the latest beauty treatments , said the organisers of a four-day international plastic surgery conference that opened on Friday .",[]
54,19= Kate Pace Lindsay ( Canada ) 23,[]
55,WINNIPEG 1996-12-06,[]
56,NEW YORK 1996-12-07,[]
57,Ljubljana ( Slovenia ) 9 6 3 15,[]
58,West Bromwich 20 5 9 6 26 31 24,[]
59,"The agreement includes the early privatisation and modernisation of Polish oil refineries , which will be obliged to offer equal treatment to all buyers .",[]
60,LONDON 1996-12-06,[]
61,SEATTLE 5 8 0 250 317,[]
62,"K.J. Matthew said at the Asia Rubber Markets meeting here Indian production of natural rubber in 1996/97 will reach 547,000 tonnes against projected demand of 578,000 tonnes , a gap of 31,000 tonnes .",[]
63,Results in last of the group matches at the World Grand Prix badminton finals on Friday :,[]
64,Thai rice vessels loading and movements at Dec 06 .,[]
65,""" We hope that if the front moves forward or stabilises then we will have access ( to the large group of refugees ) with reconnaissance or humanitarian agencies .",[]
66,SOCCER - BALKAN STRIKE FORCE WIN OLD FIRM GAME FOR REAL .,[]
67,5. Ricco Gross ( Germany ) 26:33.0 ( 1 ),[]
68,1. Renate Goetschl ( Austria ) one minute 47.71 seconds,[]
69,He was responding to questions at a news conference called to discuss next week 's ministerial meeting of the Organisation of the Islamic Conference ( OIC ) in Jakarta .,[]
70,""" If there are any movements toward freer trade , then Singapore 's economy and the electorate would gain , "" he said . """,[]
71,Sevilla 15 4 2 9 13 20 14,[]
72,"30,018",[]
73,"Benjamin 9.4-0-43-1 ( 1nb 1w ) , Hooper 10-0-27-2 ( 1nb ) , McLean",[]
74,Sevilla ( Spain ) 9 4 5 13,[]
75,semifinals at the World Grand Prix finals on Saturday :,[]
76,""" In 1970s , Poland received from unclaimed accounts in Switzerland a sum of 460,000 francs .",[]
77,"Regular defender Artur Lekbello , who is injured , was missing from Hafizi 's squad named on Saturday for the Belfast match .",[]
78,A statement said Piniel Sindiso Ncube was hanged at dawn .,[]
79,Dong Jiong ( China ) beat Thomas Stuer-Lauridsen ( Denmark ) 15-10 15-6,[]
80,Van Boxmeer would not say how much higher 1997 profits or market share could be but said sales of leading Polish brewers should rise as the country 's young urban professionals gradually switch from vodka to beer .,[]
81,Tampa Bay 2 LOS ANGELES 1,[]
82,ROME 1996-12-06,[]
83,China made a promising debut on the freestyle skiing world cup circuit in an aerials event in the French resort of Tignes on Saturday .,[]
84,first division match :,[]
85,It gave no further details .,[]
86,Results of French first division,[]
87,"On Tuesday and Wednesday , opposition leader Aung San Suu Kyi was restricted to her home by the military government to prevent her from being drawn into the protests .",[]
88,"-- Chris Aspin , Mexico City newsroom +525 728-7903",[]
89,"Charleroi - Eric Cleymans 18 , Ron Ellis 18 , Jacques Stas 14",[]
90,4. Grunde Njos ( Norway ) 1:16.44,[]
91,Aug 97 72.41 72.07 68.01 69.45-74.18,[]
92,"28,418",[]
93,SOCCER - NORTHERN IRELAND PREMIER DIVISION RESULTS / STANDINGS .,[]
94,"TIGNES , France 1996-12-07",[]
95,MELBOURNE 1996-12-06,[]
96,19. Stefanie Schuster ( Austria ) 89,[]
97,"They have 104 points , 15 ahead of USA I 's Jim Herberich and breakman Garrett Hines who managed only 10th place on Saturday .",[]
98,SOCCER SHOWCASE-BETTING ON REAL MADRID V BARCELONA .,[]
99,"-- Rosemary Bennett , London Newsroom 44 171 542 2774",[]
