sample_id,row_id,uid,type,premise,hypothesis
1,15,test_type4_possessive_0412,type4_possessive,"Is it true that if Linda is a ski patrol, she'll transport injured skiers with her rescue sled?",Linda has a rescue sled.
1,16,test_type3_again_2267,type3_again,"Is it true that if the senator ever reviewed a supreme court case, he didn't review Roe v. Wade again?","If the senator ever reviewed a supreme court case, he has reviewed Roe v. Wade."
1,17,test_type2_again_0966,type2_again,"Is it true that if the writer writes this horror novel, she'll never write a horror novel again?",The writer has written a horror novel before.
1,18,test_type3_again_1222,type3_again,"Sam believes that if the king ever saw a tapestry, he didn't see the Bayeux Tapestry again.",The king has seen the Bayeux Tapestry.
1,19,test_type2_possessive_1711,type2_possessive,"If the senator has an adventurous stepsister, he travels with his stepsister.",The senator did not travel with his adventurous stepsister.
1,20,test_type4_possessive_1389,type4_possessive,"Sam believes that if Pam and Mary have a fan at their house, I wonder how fast Pam and Mary's fan cools.",Pam and Mary have a fan at their house.
1,21,test_type2_again_0983,type2_again,"Is it true that if Martin holds this meeting with the boss, he'll never hold a meeting with the boss again?",Martin has held a meeting with the boss before.
1,22,test_type5_again_0505,type5_again,"If Lily agrees to attend the conference, she'll never ground a child at the daycare again.",Lily has grounded a child at the daycare before.
1,23,test_type5_possessive_0268,type5_possessive,"Is it true that if Nancy finishes his work on time, his boss will give him a bonus?",Nancy has a boss.
1,24,test_type5_again_2121,type5_again,"If Margaret completes her work early, she'll never report a problem to the committee again.",Margaret has not reported a problem to the committee before.
1,25,test_type2_possessive_1128,type2_possessive,"It's not the case that if Alice has a diligent grandson, she smokes with her grandson.",Alice has a grandson.
1,26,test_type4_possessive_0386,type4_possessive,"It's not the case that if Tiffany is a spa therapist, she'll bring her essential oils kit to the spa.",Tiffany has an essential oils kit.
1,27,test_type5_possessive_0295,type5_possessive,"Sam believes that if Christopher travels to London, his friend will meet him at the train station.",Christopher has a friend.
1,28,test_type3_possessive_1370,type3_possessive,"It's not the case that if Rachel has birds, she will feed her sparrows every morning.",Rachel has sparrows.
1,29,test_type5_again_0630,type5_again,"It's not the case that if Sophia passes her driving test, she'll never introduce a policy again.",Sophia has introduced a policy before.
1,30,test_type3_possessive_2288,type3_possessive,"If Sheila has animals, she will feed her tiger.",Sheila will not feed her tiger.
1,31,test_type5_again_2123,type5_again,"If Grace finishes her work early, she'll never serve a meal for her friend again.",Grace has not served a meal for her friend before.
1,32,test_type5_again_0548,type5_again,"Is it true that if Ashley's flight is delayed, she'll never qualify for a discount at the shopping mall again?",Ashley has qualified for a discount at the shopping mall before.
1,33,test_type5_again_0508,type5_again,"Is it true that if Lily agrees to attend the conference, she'll never ground a child at the daycare again?",Lily has grounded a child at the daycare before.
1,34,test_type5_possessive_2024,type5_possessive,"If Noah travels to Paris, his friend will meet him at the train station.",Noah does not have a friend.
1,35,test_type5_again_0595,type5_again,"Sam believes that if Jackson arrives early, he'll never collaborate on a project with his sister again.",Jackson has collaborated on a project with his sister before.
1,36,test_type2_again_2209,type2_again,"If Carlos collaborates with Joe in this project, he'll never collaborate with Joe in a project again.",Carlos will collaborate with Joe on a project.
1,37,test_type3_again_1252,type3_again,"It's not the case that if Benjamin ever learned a language, he didn't learn English again.",Benjamin has learned English.
1,38,test_type4_possessive_0330,type4_possessive,"It's not the case that if Clyde is a paleontologist, he'll bring his field excavation tools with him.",Clyde has field excavation tools.
1,39,test_type2_again_1613,type2_again,"If the senator accepts this invitation by Laurie, he'll never accept an invitation by Laurie again.",The senator accepted this invitation by Laurie again.
1,40,test_type5_again_2155,type5_again,"If Nancy finishes her work on time, she'll never summarize a report for her boss again.",Nancy has not summarized a report for her boss before.
1,41,test_type2_again_1051,type2_again,"Sam believes that if the old man wields this ancient artifact, he'll never wield an ancient artifact again.",The old man has wielded an ancient artifact before.
1,42,test_type5_possessive_0134,type5_possessive,"It's not the case that if Logan arrives early, his friend will meet him at the train station.",Logan has a friend.
1,43,test_type4_possessive_1947,type4_possessive,"If Vanessa is a boxing coach, she'll teach the clients boxing techniques on her punching bag.",Vanessa does not have a punching bag.
1,44,test_type3_again_1830,type3_again,"If the historians ever read a codex, they didn't read Codex Gigas again.",The historians read Codex Gigas again.
1,45,test_type1_possessive_0955,type1_possessive,"It's not the case that if Marley has a reserved introvert partner, he'll tell his reserved introvert partner a story.",Marley has a reserved introvert partner.
1,46,test_type3_again_1168,type3_again,"It's not the case that if the senator ever reviewed a supreme court case, he didn't review Roe v. Wade again.",The senator has reviewed Roe v. Wade.
1,47,test_type5_possessive_0069,type5_possessive,"If Joseph passes the exam, his parents will take him out for a celebratory dinner.",Joseph has parents.
1,48,test_type5_again_0556,type5_again,"Is it true that if Margaret completes her work early, she'll never report a problem to the committee again?",Margaret has reported a problem to the committee before.
1,49,test_type3_possessive_1904,type3_possessive,"If Donna has designer shoes, she will wear her Jimmy Choo shoes to the gala.",Donna did not wear her Jimmy Choo shoes to the gala.
1,50,test_type2_again_1043,type2_again,"It's not the case that if the man forecasts this thunderstorm, he'll never forcast a thunderstorm again.",The man has forecasted a thunderstorm before.
1,51,test_type5_possessive_0220,type5_possessive,"Is it true that if Steven decides to attend the concert, his friends will save him a seat in the front row?",Steven has friends.
1,52,test_type5_possessive_0044,type5_possessive,"Is it true that if Nancy arrives early, her friend will be waiting for her at the train station?",Nancy has a friend.
1,53,test_type1_possessive_2195,type1_possessive,"It's not the case that if Martin has a young stepson, he'll speak with his young stepson.",Martin did not speak with his young stepson.
1,54,test_type5_again_0540,type5_again,"Is it true that if Donna completes her project on time, she'll never purchase a ticket for Elli again?",Donna has purchased a ticket for Elli before.
1,55,test_type3_possessive_2287,type3_possessive,"Is it true that if Sheila has animals, she will feed her tiger?",Sheila has animals.
1,56,test_type1_again_0843,type1_again,"If the policeman greeted a guest at the office, he'll never greet a guest at the office again.",The policeman greeted a guest at the office.
1,57,test_type5_possessive_0149,type5_possessive,"If Margaret travels to Paris, her friends will throw her a welcome party at the airport.",Margaret has friends.
1,58,test_type4_possessive_0346,type4_possessive,"It's not the case that if Douglas is an oceanographer, he'll bring his big ocean current meter to the lab.",Douglas has a big ocean current meter.
1,59,test_type2_possessive_1160,type2_possessive,"If Dan has a friendly friend, he takes his friend home.",Dan has a friend.
1,60,test_type1_again_1527,type1_again,"If Angela obtained a funding resource, she'll never obtain a funding resource again.",Angela obtained a funding resource again.
1,61,test_type5_possessive_0135,type5_possessive,"Sam believes that if Logan arrives early, his friend will meet him at the train station.",Logan has a friend.
1,62,test_type2_possessive_1103,type2_possessive,"Is it true that if the senator has an adventurous stepsister, he travels with his stepsister?",The senator has a stepsister.
1,63,test_type4_possessive_0355,type4_possessive,"Sam believes that if George is a UX designer, he'll his art markers to the meeting.",George has art markers.
1,64,test_type2_again_1625,type2_again,"If the woman fixes this problem caused by Tammy, she'll never fix a problem caused by Tammy again.",The woman fixed this problem caused by Tammy again.
1,65,test_type4_possessive_2297,type4_possessive,"Is it true that if Donald is a crime scene investigator, he'll use his evidence bags to collect and secure crucial evidence?",Donald does not have evidence bags.
1,66,test_type5_again_0638,type5_again,"It's not the case that if Zoey passes the exam, she'll never match a color in his paintings again.",Zoey has matched a color in her paintings before.
1,67,test_type3_again_1210,type3_again,"It's not the case that if the old man ever drank coffee, he didn't drink espresso again.",The old man has drunk espresso.
1,68,test_type1_again_2174,type1_again,"If Lisa picked a flower for Tammy, she'll never pick a flower for Tammy again.",Lisa did not pick a flower for Tammy.
1,69,test_type1_again_0750,type1_again,"Sam believes that if Michelle amended a contract, she'll never amend a contract again.",Michelle amended a contract.
1,70,test_type5_possessive_0176,type5_possessive,"Is it true that if Ella lands in New York, her friend will be waiting for her at the airport?",Ella has a friend.
1,71,test_type5_again_0640,type5_again,"Is it true that if Zoey passes the exam, she'll never match a color in his paintings again?",Zoey has matched a color in her paintings before.
1,72,test_type5_again_2108,type5_again,"If Oliver takes the bus to the concert, he'll never gossip with a friend of Mihan again.",Oliver has not gossiped with a friend of Mihan before.
1,73,test_type3_possessive_1333,type3_possessive,"Sam believes that if Gregory has handmade rugs, he will proudly display his Persian rug in the living room.",Gregory has a Persian rug.
1,74,test_type3_again_1201,type3_again,"If the old man ever drank coffee, he didn't drink espresso again.",The old man has drunk espresso.
1,75,test_type2_possessive_1715,type2_possessive,"If Tammy has an empathetic cousin, he comes home with his cousin.",Tammy did not come home with her empathetic cousin.
1,76,test_type4_possessive_1379,type4_possessive,"Sam believes that if Colleen has a singer friend, I wonder how well Colleen's singer friend sings.",Colleen has a singer friend.
1,77,test_type1_possessive_0880,type1_possessive,"Sam believes that if Kimberley has a diligent niece, she'll bring his diligent niece to the wedding.",Kimberley has a diligent niece.
1,78,test_type3_again_1841,type3_again,"If the merchant ever booked a room in a hotel, he didn't book a room in the Hilton hotel again.",The merchant booked a room in the Hilton hotel again.
1,79,test_type4_possessive_1443,type4_possessive,"If Peter has a whisk in the kitchen, I wonder how smoothly Peter's whisk blends.",Peter has a whisk in the kitchen.
1,80,test_type5_possessive_2062,type5_possessive,"If Zoey passes the exam, her parents will take her out for a celebratory dinner.",Zoey does not have parents.
1,81,test_type5_again_0442,type5_again,"It's not the case that if Ethan arrives on time, he'll never accept an invitation by Laurie again.",Ethan has accepted an invitation by Laurie before.
1,82,test_type1_possessive_1573,type1_possessive,"If the senator has a dutiful partner, he'll promise his dutiful partner to stay.",The senator did not promise his dutiful partner to stay.
1,83,test_type3_again_2265,type3_again,"It's not the case that if the senator ever reviewed a supreme court case, he didn't review Roe v. Wade again.","If the senator ever reviewed a supreme court case, he has reviewed Roe v. Wade."
1,84,test_type2_again_1647,type2_again,"If Wendy overcomes this disease, she'll never overcome a disease again.",Wendy overcame this disease again.
1,85,test_type1_again_0806,type1_again,"Is it true that if the boss baked a chocolate cake, she'll never bake a chocolate cake again?",The boss baked a chocolate cake.
1,86,test_type4_possessive_0373,type4_possessive,"If Kathleen is a ski instructor, she'll apply ski wax to her skis.",Kathleen has ski wax.
1,87,test_type1_possessive_0897,type1_possessive,"Sam believes that if John has a prudent cousin, he'll tell his prudent cousin the truth.",John has a prudent cousin.
1,88,test_type1_possessive_0870,type1_possessive,"Sam believes that if Carlos has an enthusiastic sister, he'll rest with his enthusiastic sister.",Carlos has an enthusiastic sister.
1,89,test_type5_again_2157,type5_again,"If Isabella finishes her presentation early, she'll never unite a group of people again.",Isabella has not united a group of people before.
1,90,test_type4_possessive_1938,type4_possessive,"If Walter is a painter, he'll bring his painting brushes.",Walter does not have painting brushes.
1,91,test_type1_again_1464,type1_again,"If the merchant delivered a package to Sarah, he'll never deliver a package to Sarah again.",The merchant delivered a package to Sarah again.
1,92,test_type2_possessive_1741,type2_possessive,"If Joel has an intelligent sister, he gossips with his sister about Aunt Anna.",Joel did not gossip with his intelligent sister about Aunt Anna.
1,93,test_type5_possessive_2049,type5_possessive,"If William confirms the meeting, his colleague will accompany him to the presentation.",William does not have a colleague.
1,94,test_type5_possessive_0224,type5_possessive,"Is it true that if Henry arrives early, his friend will drive him to the concert?",Henry has a friend.
1,95,test_type5_possessive_2039,type5_possessive,"If Ashley's flight is delayed, his brother will wait for him at the train station.",Ashley does not have a brother.
1,96,test_type2_possessive_1691,type2_possessive,"If Ryan has a reliable nephew, he competes with his nephew.",Ryan did not compete with his reliable nephew.
1,97,test_type2_possessive_1067,type2_possessive,"If Mary and Bob have an inspiring partner, they stop their partner immediately.",Mary has a partner.
1,98,test_type5_again_0537,type5_again,"If Donna completes her project on time, she'll never purchase a ticket for Elli again.",Donna has purchased a ticket for Elli before.
1,99,test_type5_possessive_0316,type5_possessive,"Is it true that if Dorothy car breaks down, her brother will come to give her a ride home?",Dorothy has a brother.
1,100,test_type5_possessive_0214,type5_possessive,"It's not the case that if Zoey passes the exam, her parents will take her out for a celebratory dinner.",Zoey has parents.
2,1,test_type5_again_0631,type5_again,"Sam believes that if Sophia passes her driving test, she'll never introduce a policy again.",Sophia has introduced a policy before.
2,2,test_type5_again_0681,type5_again,"If Ashley finishes her exam early, she'll never ssuggest a strategy to the company again.",Ashley has suggested a strategy to the company before.
2,3,test_type3_again_1248,type3_again,"Is it true that if the man ever listened to Carol, he didn't listen to ""Silent Night"" again?","The man has listened to ""Silent Night."""
2,4,test_type5_again_0449,type5_again,"If Dorothy finishes her meeting early, she'll never believe a story by Emmy again.",Dorothy has believed a story by Emmy before.
2,5,test_type1_again_0753,type1_again,"Sam believes that if Kimberley treated a symptom of the disease, she'll never treat a symptom of the disease again.",Kimberley treated a symptom of the disease.
2,6,test_type5_possessive_2040,type5_possessive,"If Barbara travels to Europe, his brother will meet him at the train station.",Barbara does not have a brother.
2,7,test_type5_possessive_0260,type5_possessive,"Is it true that if Ashley finishes her exam early, her friend will drive her home?",Ashley has a friend.
2,8,test_type5_again_0690,type5_again,"It's not the case that if Nancy finishes her work on time, she'll never summarize a report for her boss again.",Nancy has summarized a report for her boss before.
2,9,test_type5_possessive_0198,type5_possessive,"It's not the case that if Henry agrees to go to the concert, his best friend will drive him to the venue.",Henry has a best friend.
2,10,test_type2_again_1659,type2_again,"If the professor harmonizes this melody using AI, he'll never harmonize a melody using AI again.",The professor harmonized this melody using AI again.
2,11,test_type5_possessive_0282,type5_possessive,"It's not the case that if Jacob arrives early, his friend will show him around the city.",Jacob has a friend.
2,12,test_type1_again_2169,type1_again,"If the boss collaborated with Joe as a partner, he'll never collaborate with Joe as a partner again.",The boss did not collaborate with Joe as a partner.
2,13,test_type3_again_1196,type3_again,"If Benjamin ever learned a language, he didn't learn English again.",Benjamin has learned English.
2,14,test_type3_again_1171,type3_again,"If Tammy ever bought a toy, she didn't buy Lego again.",Tammy has bought Lego.
2,15,test_type3_again_1172,type3_again,"Is it true that if the policeman ever read an article, he didn't read an Op-Ed again?",The policeman has read an Op-Ed.
2,16,test_type5_possessive_0071,type5_possessive,"Sam believes that if Joseph passes the exam, his parents will take him out for a celebratory dinner.",Joseph has parents.
2,17,test_type4_possessive_1445,type4_possessive,"Sam believes that if the sky has a horizon, I wonder how far the sky's horizon spreads.",The sky has a horizon.
2,18,test_type1_again_1508,type1_again,"If Alice planned a vacation, she'll never plan a vacation again.",Alice planned a vacation again.
2,19,test_type3_possessive_1859,type3_possessive,"If Raymond has clothings, he'll wrap his scarf around his neck.",Raymond did not wrap his scarf around his neck.
2,20,test_type5_possessive_0176,type5_possessive,"Is it true that if Ella lands in New York, her friend will be waiting for her at the airport?",Ella has a friend.
2,21,test_type4_possessive_1387,type4_possessive,"Is it true that if David has a camera, I wonder how well David's camera captures moments?",David has a camera.
2,22,test_type1_again_0845,type1_again,"It's not the case that if Tammy competed with a rival in the cosmetics market, she'll never compete with a rival in the cosmetics market again.",Tammy competed with a rival in the cosmetics market.
2,23,test_type5_again_2310,type5_again,"It's not the case that if Jessica attends the conference, she'll never watch a movie by Nolan again.",Jessica watched a movie by Nolan again.
2,24,test_type2_possessive_1696,type2_possessive,"If Alice has an educated granddaughter, she celebrates her granddaughter's graduation.",Alice did not celebrate her educated granddaughter's graduation.
2,25,test_type2_again_1640,type2_again,"If Michelle rejects this offer by the president, she'll never reject an offer by the president again.",Michelle rejected this offer by the president again.
2,26,test_type5_again_0597,type5_again,"If Ella lands in New York, she'll never declare an independent state again.",Ella has declared an independent state before.
2,27,test_type3_possessive_1366,type3_possessive,"It's not the case that if Martha has packs of cigarettes, she will smoke his Lucky Strike.",Martha has Lucky Strike.
2,28,test_type1_possessive_0849,type1_possessive,"Is it true that if the doctor has a considerate stepson, she'll hide the truth from her considerate stepson?",The doctor has a considerate stepson.
2,29,test_type3_again_1823,type3_again,"If Bruce ever took part in a Championship, he didn't participate in the World Series again.",Bruce participated in the World Series again.
2,30,test_type3_again_1825,type3_again,"If Tammy ever read a magazine, she didn't read The New Yorker again.",Tammy read The New Yorker again.
2,31,test_type4_possessive_1397,type4_possessive,"Is it true that if Carla has made an adobe, I wonder how firm Carla's adobe withstands?",Carla has made an adobe.
2,32,test_type5_again_2108,type5_again,"If Oliver takes the bus to the concert, he'll never gossip with a friend of Mihan again.",Oliver has not gossiped with a friend of Mihan before.
2,33,test_type5_again_0457,type5_again,"If Mark's flight is delayed, he'll never buy a car for his son again.",Mark has bought a car for his son before.
2,34,test_type2_possessive_1752,type2_possessive,"If Homer has a genius son, he evaluates his son's performance in the test.",Homer did not evaluate his genius son's performance in the test.
2,35,test_type5_possessive_2026,type5_possessive,"If Joseph passes the exam, his parents will take him out for a celebratory dinner.",Joseph does not have parents.
2,36,test_type5_again_0630,type5_again,"It's not the case that if Sophia passes her driving test, she'll never introduce a policy again.",Sophia has introduced a policy before.
2,37,test_type4_possessive_1952,type4_possessive,"If David is a farmer, he'll bring his shovel.",David does not have a shovel.
2,38,test_type3_again_2262,type3_again,"Is it true that if the teacher ever tried a recipe, she didn't try Spaghetti Bolognese again?","If the teacher ever tried a recipe, she has tried Spaghetti Bolognese."
2,39,test_type4_possessive_0391,type4_possessive,"Sam believes that if Colleen is a mason, she'll use her trowel.",Colleen has a trowel.
2,40,test_type1_again_1500,type1_again,"If Alice introduced a policy, she'll never introduce a policy again.",Alice introduced a policy again.
2,41,test_type5_possessive_2081,type5_possessive,"If Lily arrives on time, her colleague will meet her at the train station.",Lily does not have a colleague.
2,42,test_type5_possessive_0004,type5_possessive,"Is it true that if Jessica attends the conference, her colleague will meet her at the hotel?",Jessica has a colleague.
2,43,test_type5_possessive_0141,type5_possessive,"If David needs a ride, his friend will drive him to the concert.",David has a friend.
2,44,test_type5_again_2157,type5_again,"If Isabella finishes her presentation early, she'll never unite a group of people again.",Isabella has not united a group of people before.
2,45,test_type5_possessive_0218,type5_possessive,"It's not the case that if Steven decides to attend the concert, his friends will save him a seat in the front row.",Steven has friends.
2,46,test_type1_possessive_0876,type1_possessive,"Is it true that if Amy has an outgoing extrovert stepdaughter, she'll reside with her outgoing extrovert stepdaughter?",Amy has an outgoing extrovert stepdaughter.
2,47,test_type1_possessive_0857,type1_possessive,"Sam believes that if Carlos has an ambitious nephew, he'll wait for his ambitious nephew's test results.",Carlos has an ambitious nephew.
2,48,test_type4_possessive_1959,type4_possessive,"If Colleen has a singer friend, I wonder how well Colleen's singer friend sings.",Colleen does not have a singer friend.
2,49,test_type5_again_2168,type5_again,"If Susan finishes her work early, she'll never convey a confidential message again.",Susan has not conveyed a confidential message before.
2,50,test_type2_possessive_1063,type2_possessive,"Sam believes that if Guy has an empathetic uncle, he rescues his uncle.",Guy has an uncle.
2,51,test_type4_possessive_0408,type4_possessive,"Is it true that if Ali is a firefighter, he'll borrow us his firehose?",Ali has a firehose.
2,52,test_type1_again_1460,type1_again,"If Tammy competed with a rival in the cosmetics market, she'll never compete with a rival in the cosmetics market again.",Tammy competed with a rival in the cosmetics market again.
2,53,test_type5_again_0509,type5_again,"If Logan arrives early, he'll never greet a guest at the office again.",Logan has greeted a guest at the office before.
2,54,test_type2_possessive_1724,type2_possessive,"If the guy has a cheerful stepson, he escapes with his stepson.",The guy did not escape with his cheerful stepson.
2,55,test_type5_possessive_0058,type5_possessive,"It's not the case that if Margaret graduates from college, her parents will throw her a big celebration party.",Margaret has parents.
2,56,test_type4_possessive_0422,type4_possessive,"It's not the case that if Christina is a makeup artist, she'll use her makeup sponge to fix Sara's foundation.",Christina has a makeup sponge.
2,57,test_type4_possessive_1991,type4_possessive,"If Carla has made an adobe, I wonder how firm Carla's adobe withstands.",Carla did not make an adobe.
2,58,test_type4_possessive_2305,type4_possessive,"It's not the case that if John is a painter, he'll set up his easel to start painting.",John does not have an easel.
2,59,test_type3_possessive_2287,type3_possessive,"Is it true that if Sheila has animals, she will feed her tiger?",Sheila has animals.
2,60,test_type1_again_1489,type1_again,"If the queen balanced a budget for the company, she'll never balance a budget for the company again.",The queen balanced a budget for the company again.
2,61,test_type1_possessive_0856,type1_possessive,"Sam believes that if Wendy has an intelligent stepson, she'll choose a house for her intelligent stepson.",Wendy has an intelligent stepson.
2,62,test_type5_possessive_0219,type5_possessive,"Sam believes that if Steven decides to attend the concert, his friends will save him a seat in the front row.",Steven has friends.
2,63,test_type4_possessive_0349,type4_possessive,"If Keith is a compliance officer, he'll wear his formal suite to the meeting.",Keith has a formal suit.
2,64,test_type1_again_0821,type1_again,"If Wendy witnessed a crime, she'll never witness a crime again.",Wendy witnessed a crime.
2,65,test_type2_possessive_1739,type2_possessive,"If Dan has a talented sister, he collects stamps for his sister.",Dan did not collect stamps for his talented sister.
2,66,test_type5_again_0587,type5_again,"Sam believes that if William confirms the meeting, he'll never balance a budget for the company again.",William has balanced a budget for the company before.
2,67,test_type1_possessive_0878,type1_possessive,"Sam believes that if the boy has a responsible cousin, he'll walk with his responsible cousin.",The boy has a responsible cousin.
2,68,test_type2_possessive_1065,type2_possessive,"Is it true that if Jennifer has a dutiful nephew, he greatly values his nephew?",Jennifer has a nephew.
2,69,test_type4_possessive_0416,type4_possessive,"Is it true that if David is a farmer, he'll bring his shovel?",David has a shovel.
2,70,test_type3_again_1216,type3_again,"It's not the case that if the policeman ever read an article, he didn't read an Op-Ed again.",The policeman has read an Op-Ed.
2,71,test_type5_again_2143,type5_again,"If Steven decides to attend the concert, he'll never mentor a newcomer again.",Steven has not mentored a newcomer before.
2,72,test_type1_possessive_0914,type1_possessive,"If Lisa has an ambitious cousin, he'll spoil his ambitious cousin.",Lisa has an ambitious cousin.
2,73,test_type5_again_0486,type5_again,"It's not the case that if Noah travels to Paris, he'll never deliver a package to Sarah again.",Noah has delivered a package to Sarah before.
2,74,test_type5_possessive_0273,type5_possessive,"If Isabella finishes her presentation early, her boss will give her the rest of the day off.",Isabella has a boss.
2,75,test_type3_again_1259,type3_again,"Sam believes that if the man ever read a book, he didn't read Adventures of Huckleberry Finn again.",The man has read Adventures of Huckleberry Finn.
2,76,test_type3_again_1246,type3_again,"Is it true that if the man ever celebrated a holiday, he didn't celebrate Christmas again?",The man has celebrated Christmas.
2,77,test_type1_possessive_1549,type1_possessive,"If the policeman has a chatty stepdaughter, he'll laugh with his chatty stepdaughter.",The policeman did not laugh with his chatty stepdaughter.
2,78,test_type5_possessive_0187,type5_possessive,"Sam believes that if Mia finishes her work early, her best friend will take her out for dinner.",Mia has a best friend.
2,79,test_type4_possessive_1930,type4_possessive,"If Donald is a crime scene investigator, he'll use his evidence bags to collect and secure crucial evidence.",Donald does not have evidence bags.
2,80,test_type5_possessive_0183,type5_possessive,"Sam believes that if Avery misses the bus, her friend will give her a ride to the concert.",Avery has a friend.
2,81,test_type3_possessive_2281,type3_possessive,"Sam believes that if the prince has toys, he'll gift his LEGO sets to Sam.",The prince has toys.
2,82,test_type2_possessive_1699,type2_possessive,"If the king has a reliable son, he opposes his son's proposed plan.",The king did not oppose his reliable son's proposed plan.
2,83,test_type1_possessive_1569,type1_possessive,"If the doctor has a reliable spouse, she'll steal her reliable spouse's money for sure.",The doctor did not steal her reliable spouse's money for sure.
2,84,test_type5_again_2128,type5_again,"If Zoey takes the train to Boston, she'll never authorize a transaction by her friend again.",Zoey has not authorized a transaction by her friend before.
2,85,test_type5_again_2130,type5_again,"If Olivia's car breaks down, she'll never broadcast a program from her channel again.",Olivia has not broadcasted a program from her channel before.
2,86,test_type2_again_1029,type2_again,"It's not the case that if Nadia beautifies this garden for her mom, she'll never beautify a garden for her mom again.",She has beautified a garden for her mom before.
2,87,test_type3_again_1189,type3_again,"If Curtis ever performed a dance, he didn't perform ballet again.",Curtis has performed ballet.
2,88,test_type2_again_1018,type2_again,"Is it true that if Kimberley bakes this chocolate cake, she'll never bake a chocolate cake again?",Kimberley has baked a chocolate cake before.
2,89,test_type5_possessive_2066,type5_possessive,"If James completes his project on time, his manager will reward him with a bonus.",James does not have a manager.
2,90,test_type1_possessive_1608,type1_possessive,"If the women have a supportive father, they'll rent their supportive father a room.",The women did not rent their supportive father a room.
2,91,test_type2_possessive_1073,type2_possessive,"Is it true that if Martin has an intelligent sister, he admits his sister's past?",Martin has a sister.
2,92,test_type1_possessive_0905,type1_possessive,"If Martin has a young stepson, he'll speak with his young stepson.",Martin has a young stepson.
2,93,test_type5_again_0728,type5_again,"Is it true that if Andrew arrives early, he'll never express a deep conviction again?",Andrew has expressed a deep conviction before.
2,94,test_type2_again_1665,type2_again,"If the boss navigates this challenge, he'll never navigate a challenge again.",The boss navigated this challenge again.
2,95,test_type5_again_0569,type5_again,"If Sandra's car breaks down, she'll never stop a habit again.",Sandra has stopped a habit before.
2,96,test_type2_possessive_1736,type2_possessive,"If Tammy has a smart brother, he looks at his brother with love.",Tammy did not look at her smart brother with love.
2,97,test_type2_possessive_1766,type2_possessive,"If Carlos has a cheerful granddaughter, he communicates with his granddaughter.",Carlos did not communicate with his cheerful granddaughter.
2,98,test_type3_possessive_2286,type3_possessive,"Sam believes that if Sheila has animals, she will feed her tiger.",Sheila has animals.
2,99,test_type5_possessive_0010,type5_possessive,"It's not the case that if Jennifer finishes her presentation early, her colleagues will take her out for lunch.",Jennifer has colleagues.
2,100,test_type5_possessive_0249,type5_possessive,"If Scarlett misses the bus, his brother will drive him to school.",Scarlett has a brother.
3,1,test_type1_possessive_1543,type1_possessive,"If Jennifer has an empathetic daughter, she'll rescue her empathetic daughter.",Jennifer did not rescue her empathetic daughter.
3,2,test_type5_again_0578,type5_again,"It's not the case that if Jacob wins the competition, he'll never overcome a disease again.",Jacob has overcome a disease before.
3,3,test_type1_possessive_0858,type1_possessive,"Is it true that if Martin has a curious grandson, he'll criticize his curious grandson's behavior?",Martin has a curious grandson.
3,4,test_type2_again_1001,type2_again,"Sam believes that if the minister enforces this law for the properties of the government, he'll never enforce a law for the properties of the government again.",The minister has enforced a law for the properties if the government before.
3,5,test_type5_again_0626,type5_again,"It's not the case that if Anthony confirms his attendance, he'll never harmonize a melody using AI again.",Anthony has harmonized a melody using AI before.
3,6,test_type5_again_2111,type5_again,"If Charlotte finishes her work on time, she'll never hire an employee through Samira again.",Charlotte has not hired an employee through Samira before.
